ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001520138-19-000056	1	21-DEC-2018	0	0
0000810704-19-000001	1		0	0
0001654954-19-003714	1	14-JUN-2018	2344	890
0001654954-19-003712	1	03-JUL-2018	761	469
0001146230-19-000003	2	04-DEC-2018	106566	81826
0001146230-19-000003	1	01-JUN-2018	123717	94386
0000853452-19-000003	1	15-NOV-2018	1	0
0001146032-19-000003	1	31-OCT-2018	10	3
0001146032-19-000003	2	31-DEC-2018	1	0
0001451217-19-000002	1	28-MAR-2019	0	0
0001060257-19-000001	2	31-JUL-2018	0	0
0001060257-19-000001	1		0	0
0001062993-19-001474	1	29-MAR-2019	0	0
0000911282-19-000002	2	27-AUG-2018	286	37
0000911282-19-000002	1	26-FEB-2018	303	45
0001393905-19-000098	1	27-MAR-2018	403	97
0001062993-19-001473	2	07-DEC-2018	160	66
0001062993-19-001473	1	17-JUL-2018	6718	2257
0000838141-19-000002	1	02-NOV-2018	1	1
0000820169-19-000005	1	15-MAR-2018	368	50
0000820169-19-000005	2	15-JUN-2018	507	162
0000820169-19-000005	3	15-SEP-2018	237	100
0000820169-19-000005	4	15-DEC-2018	46	0
0001573302-19-000001	1	20-DEC-2018	11776	348
0001199835-19-000010	1	23-OCT-2018	1	1
0001434234-19-000001	2	23-JAN-2018	6	0
0001434234-19-000001	4	06-JUN-2018	5	0
0001434234-19-000001	3	06-APR-2018	2	1
0001434234-19-000001	1	22-JAN-2019	1	1
0001410382-19-000002	1	28-MAR-2019	18152	6625
0000005076-19-000002	2	05-APR-2018	12074	8949
0000005076-19-000002	1	05-JAN-2018	11412	8207
0000005076-19-000002	4	11-OCT-2018	11657	8463
0000005076-19-000002	3	09-JUL-2018	11993	8256
0001718015-19-000002	1	31-AUG-2018	0	0
0000734846-19-000001	3	28-SEP-2018	40	5
0000734846-19-000001	2	29-JUN-2018	80	14
0000734846-19-000001	1	30-MAR-2018	105	37
0000734846-19-000001	4	31-DEC-2018	112	35
0001145893-19-000002	1	31-JAN-2018	198	118
0001145893-19-000002	12	31-DEC-2018	128	74
0001145893-19-000002	11	30-NOV-2018	65	37
0001145893-19-000002	10	31-OCT-2018	20	12
0001145893-19-000002	9	30-SEP-2018	69	48
0001145893-19-000002	8	31-AUG-2018	115	73
0001145893-19-000002	7	31-JUL-2018	165	94
0001145893-19-000002	6	30-JUN-2018	345	234
0001145893-19-000002	5	31-MAY-2018	140	62
0001145893-19-000002	4	30-APR-2018	58	32
0001145893-19-000002	3	31-MAR-2018	25	13
0001145893-19-000002	2	28-FEB-2018	69	50
0000071138-19-000001	1	12-JAN-2018	2	2
0000071138-19-000001	3	01-MAR-2018	2	2
0000071138-19-000001	2	23-JAN-2018	1	1
0000071138-19-000001	4	08-MAR-2018	6	4
0000071138-19-000001	14	23-OCT-2018	1	0
0000071138-19-000001	13	17-OCT-2018	1	0
0000071138-19-000001	5	06-APR-2018	11	10
0000071138-19-000001	11	11-OCT-2018	4	1
0000071138-19-000001	10	26-JUL-2018	2	0
0000071138-19-000001	9	19-JUL-2018	1	0
0000071138-19-000001	8	02-JUL-2018	1	1
0000071138-19-000001	7	31-MAY-2018	31	25
0000071138-19-000001	6	30-MAY-2018	48	37
0000071138-19-000001	12	16-OCT-2018	1	1
0001000952-19-000001	2	01-NOV-2018	24	13
0001000952-19-000001	1	01-MAR-2018	79	42
0001000952-19-000001	3	01-DEC-2018	305	104
0001720655-19-000001	1	29-MAR-2019	1	1
0000350797-19-000018	1	31-DEC-2018	0	0
0001085284-19-000001	2	27-APR-2018	23	4
0001085284-19-000001	1	12-MAR-2018	19	4
0000950123-19-002922	3	31-MAR-2018	196	25
0000950123-19-002922	11	30-NOV-2018	266	31
0000950123-19-002922	10	31-OCT-2018	156	19
0000950123-19-002922	9	30-SEP-2018	128	11
0000950123-19-002922	8	31-AUG-2018	173	33
0000950123-19-002922	7	31-JUL-2018	70	4
0000950123-19-002922	6	30-JUN-2018	113	10
0000950123-19-002922	1	31-JAN-2018	93	7
0000950123-19-002922	2	28-FEB-2018	159	15
0000950123-19-002922	12	31-DEC-2018	256	47
0000950123-19-002922	4	30-APR-2018	134	12
0000950123-19-002922	5	31-MAY-2018	296	27
0001145722-19-000003	5	05-NOV-2018	1	1
0001145722-19-000003	4	07-AUG-2018	1	1
0001145722-19-000003	3	04-APR-2018	1	1
0001145722-19-000003	2	26-FEB-2018	3	3
0001145722-19-000003	1	29-JAN-2018	1	1
0000734751-19-000002	2	12-JUL-2018	3298	1377
0000734751-19-000002	1	03-JAN-2018	3512	1346
0001227021-19-000004	1	29-MAR-2019	0	0
0001144204-19-016813	1		0	0
0001397265-19-000002	1	02-JAN-2018	1	1
0001397265-19-000002	4	01-AUG-2018	2	1
0001397265-19-000002	3	19-JUN-2018	1	1
0001397265-19-000002	2	01-MAY-2018	1	0
0001145697-19-000001	3	01-OCT-2018	34	0
0001145697-19-000001	2	21-JUL-2018	7	0
0001145697-19-000001	4	02-JAN-2019	21	0
0001145697-19-000001	1	23-APR-2018	10	0
0001140361-19-005910	3	31-MAR-2018	47	43
0001140361-19-005910	4	30-APR-2018	50	42
0001140361-19-005910	5	31-MAY-2018	19	19
0001140361-19-005910	6	30-JUN-2018	10	9
0001140361-19-005910	7	31-JUL-2018	23	23
0001140361-19-005910	1	31-JAN-2018	23	23
0001140361-19-005910	9	30-SEP-2018	19	18
0001140361-19-005910	10	31-OCT-2018	13	12
0001140361-19-005910	11	30-NOV-2018	13	11
0001140361-19-005910	12	31-DEC-2018	11	5
0001140361-19-005910	2	28-FEB-2018	37	36
0001140361-19-005910	8	31-AUG-2018	24	23
0001145722-19-000002	4	07-AUG-2018	1	1
0001145722-19-000002	5	05-NOV-2018	1	1
0001145722-19-000002	3	04-APR-2018	1	1
0001145722-19-000002	2	26-FEB-2018	3	3
0001145722-19-000002	1	29-JAN-2018	1	1
0001424912-19-000002	3	18-SEP-2018	733	25
0001424912-19-000002	2	07-MAY-2018	868	215
0001424912-19-000002	1	26-JAN-2018	597	18
0000914717-19-000002	5	31-MAY-2018	12	1
0000914717-19-000002	6	30-JUN-2018	13	0
0000914717-19-000002	7	31-JUL-2018	13	0
0000914717-19-000002	8	31-AUG-2018	13	0
0000914717-19-000002	9	30-SEP-2018	13	0
0000914717-19-000002	10	31-OCT-2018	13	0
0000914717-19-000002	12	31-DEC-2018	21	0
