ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000913181-13-000019	asServiceCompany	1	Gemini Fund Services	084-06083	4020 S 147th Street  Omaha  68137
0000913181-13-000019	serviceCompany	1	se2, Inc.	084-06285	5801 SW 6th Ave.  Topeka  66636-0001
0001557183-13-000010	asServiceCompany	1	FIRST NATIONAL BANK  OF OMAHA	084-06174	1620 DODGE STREET  OMAHA  68197
0001557183-13-000010	asServiceCompany	2	HARTFORD ADMINISTRATIVE SERVICES COMPANY	084-00353	500 BIELENBERG DRIVE  WOODBURY  55125
0001557183-13-000010	asServiceCompany	3	AMERICAN CENTURY SERVICES LLC	084-01406	4500 MAIN STREET  KANSAS CITY  81653
0001557183-13-000010	asServiceCompany	4	USAA TRANSFER AGENCY COMPANY	084-01197	9800 FREDERICKSBURG ROAD  SAN ANTONIO  78288
0001557183-13-000010	asServiceCompany	5	VANGUARD GROUP INC.	084-00772	100 VANGUARD BOULEVARD  MALVERN  19355
0001557183-13-000010	asServiceCompany	6	JP MORGAN CHASE BANK NA	085-11399	4 NEW YORK PLAZA  NEW YORK  10004-2413
0001557183-13-000010	serviceCompany	1	BOSTON FINANCIAL DATA SERVICES, INC.	084-00896	2000 CROWN COLONY DRIVE  QUINCY  02169
0001557183-13-000010	serviceCompany	2	DST SYSTEMS, INC.	084-00448	210 W. 10TH STREET  KANSAS CITY  64105
0001145893-13-000004	asServiceCompanyTransferAgent	1	U.S. Bank Trust National Association	085-11299	    
0001145893-13-000004	asServiceCompanyTransferAgent	2	Wells Fargo Bank, N.A.	085-10133	    
0001145893-13-000004	asServiceCompanyTransferAgent	3	SunTrust Bank	085-05123	    
0001145893-13-000004	asServiceCompanyTransferAgent	4	BOKF, National Association	085-10438	    
0001145893-13-000004	asServiceCompanyTransferAgent	5	Commerce Bank	085-10700	    
0001145893-13-000004	asServiceCompanyTransferAgent	6	Bank of America, N.A.	085-10189	    
0001145893-13-000004	asServiceCompanyTransferAgent	7	UMB Bank, NA	085-10225	    
0001145893-13-000004	asServiceCompanyTransferAgent	8	Wells Fargo Delaware Trust Company, N.A.	085-11389	    
