ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001004224-13-000004	The Walt Disney Company		Transferring to a commercial agent.	30-SEP-2013	N	N	N	Y
0001144204-13-051247	STATETRUST CAPITAL LLC		Outsourcing of transfer agency business	06-FEB-2013	N	N	N	Y
0001440452-13-000001	Aspen Stock Transfer Inc.		Ceasing Operations	01-SEP-2013	N	N	N	Y
0000944496-13-000011	Computershare Shareowner Services LLC		Effective June 30, 2013, the transfer agent entity Computershare Shareowner Services LLC merged into the registered transfer agent entity Computershare Inc.	30-JUN-2013	N	Y	N	Y
0001127186-13-000004	Australian-Canadian Oil Royalties Ltd.		Due to a proposed merger the Company's base of operations is moving to Canada so we have chosen a transfer agent in Canada to take over the performance of transfer agent functions.	26-JUL-2013	N	N	N	Y
0001242588-13-000006	Wells Capital, Inc.		Ceasing the performance of TA services on behalf of issuer(s). These functions were outsourced to DST Systems, Inc. and ACS Securities Services, Inc.	17-SEP-2012	N	N	N	Y
