ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001323210-13-000005	1		0	0
0001323210-13-000004	1		0	0
0000849542-13-000006	2	31-JUL-2012	28101	17946
0000849542-13-000006	3	06-NOV-2012	3399	2351
0000849542-13-000006	4	21-NOV-2012	33609	25692
0000849542-13-000006	1	30-MAR-2012	51731	35564
0000849542-13-000006	5	12-DEC-2012	9322	7677
0001534605-13-000003	1		0	0
0001428661-13-000002	1	31-DEC-2012	0	0
0000857128-13-000003	1	20-APR-2012	3	1
0000857128-13-000003	2	18-JUL-2012	3	0
0000857128-13-000003	3	28-SEP-2012	2	0
0000774710-13-000002	1	14-OCT-2011	7	2
0001214659-13-002164	1	19-FEB-2012	2	2
0001479495-13-000002	1		0	0
0001387131-13-001369	1	30-JUN-2012	34	10
0001387131-13-001369	2	30-SEP-2012	65	38
0001387131-13-001369	3	28-DEC-2012	77	53
0000724935-13-000003	1	15-MAR-2012	2562	850
0000724935-13-000003	2	31-AUG-2012	1876	300
0000878605-13-000006	1	18-JUN-2012	4	2
0000950123-13-002273	1	31-DEC-2012	0	0
0001458682-13-000003	1	18-MAY-2012	485	118
0001458682-13-000003	2	17-AUG-2012	503	56
0001297077-13-000001	1	10-AUG-2011	20	0
0000849542-13-000003	1	30-MAR-2012	51731	35564
0000849542-13-000003	2	31-JUL-2012	28101	17946
0000849542-13-000003	4	21-NOV-2012	33609	25692
0000849542-13-000003	3	06-NOV-2012	3399	2351
0000024179-13-000002	1	09-APR-2012	4677	1154
0000024179-13-000002	2	03-OCT-2012	3699	768
0001114874-13-000001	1	31-MAR-2012	0	0
0001114874-13-000001	2	30-OCT-2012	0	0
0000752336-13-000002	12	14-DEC-2012	9	6
0000752336-13-000002	11	14-NOV-2012	23	21
0000752336-13-000002	10	12-OCT-2012	48	29
0000752336-13-000002	9	13-SEP-2012	12	9
0000752336-13-000002	8	14-AUG-2012	17	12
0000752336-13-000002	7	13-JUL-2012	10	8
0000752336-13-000002	6	14-JUN-2012	46	35
0000752336-13-000002	5	14-MAY-2012	4	4
0000752336-13-000002	4	13-APR-2012	5	5
0000752336-13-000002	3	14-MAR-2012	12	12
0000752336-13-000002	2	14-FEB-2012	18	15
0000752336-13-000002	1	12-JAN-2012	7	3
0000938152-13-000001	1		0	0
0000949049-13-000003	1		0	0
0001521536-13-000303	1		0	0
0001078782-13-000591	6	19-JUL-2012	8	2
0001078782-13-000591	7	20-JUL-2012	5	2
0001078782-13-000591	8	01-NOV-2012	6	1
0001078782-13-000591	9	03-DEC-2012	97	2
0001078782-13-000591	10	21-DEC-2012	4	1
0001078782-13-000591	5	18-MAY-2012	147	86
0001078782-13-000591	4	03-APR-2012	37	7
0001078782-13-000591	2	18-JAN-2012	2	1
0001078782-13-000591	3	19-JAN-2012	1	0
0001078782-13-000591	1	03-JAN-2012	4	1
0000913801-13-000002	1		0	0
0000839196-13-000002	11	20-NOV-2012	2	0
0000839196-13-000002	10	22-OCT-2012	36	0
0000839196-13-000002	9	19-SEP-2012	20	1
0000839196-13-000002	8	20-AUG-2012	11	0
0000839196-13-000002	1	20-JAN-2012	38	2
0000839196-13-000002	6	21-JUN-2012	27	2
0000839196-13-000002	5	22-MAY-2012	36	1
0000839196-13-000002	4	20-APR-2012	47	2
0000839196-13-000002	3	28-MAR-2012	246	169
0000839196-13-000002	2	20-FEB-2012	11	0
0000839196-13-000002	12	20-DEC-2012	25	0
0000839196-13-000002	7	19-JUL-2012	43	0
