ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0000838141-07-000005	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838141-07-000005	currentAgent							0	0.0
0000838141-07-000005	dividendAndInterest							6612	414315073.0
0000838141-07-000005	dividendReinvDirectPurchasePlan							16	
0000838141-07-000005	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838141-07-000005	priorAgent							0	0.0
0000838141-07-000005	securityHolderAccounts	32.0	0.0	27.0	0.0	41.0	0.0		
0000838141-07-000005	transMaintainMasterSecHolder	4.0	0.0	15.0	0.0	6461.0	0.0		
0000838141-07-000005	directRegistrationSystem							0	
0001073187-07-000003	currentAgent								
0001073187-07-000003	transNotMaintMasterSecHolder								
0001073187-07-000003	transMaintainMasterSecHolder								
0001073187-07-000003	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001073187-07-000003	dividendReinvDirectPurchasePlan								
0001073187-07-000003	notTransMaintMasterSecHolder								
0001073187-07-000003	dividendAndInterest								
0001073187-07-000003	directRegistrationSystem								
0001073187-07-000003	priorAgent								
0000867218-07-000005	dividendAndInterest							974	9141859387.0
0000867218-07-000005	directRegistrationSystem							1	
0000867218-07-000005	currentAgent							0	0.0
0000867218-07-000005	notTransMaintMasterSecHolder	0.0	0.0	451.0	13.0	0.0	52.0		
0000867218-07-000005	priorAgent							0	0.0
0000867218-07-000005	securityHolderAccounts	8.0	0.0	65.0	15.0	0.0	12.0		
0000867218-07-000005	dividendReinvDirectPurchasePlan							5	
0000867218-07-000005	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000867218-07-000005	transMaintainMasterSecHolder	5.0	0.0	95.0	64.0	0.0	294.0		
0001371431-07-000003	dividendReinvDirectPurchasePlan								
0001371431-07-000003	transMaintainMasterSecHolder								
0001371431-07-000003	securityHolderAccounts								
0001371431-07-000003	priorAgent								
0001371431-07-000003	notTransMaintMasterSecHolder								
0001371431-07-000003	transNotMaintMasterSecHolder								
0001371431-07-000003	dividendAndInterest								
0001371431-07-000003	directRegistrationSystem								
0001371431-07-000003	currentAgent								
0000838617-07-000005	notTransMaintMasterSecHolder								
0000838617-07-000005	priorAgent								
0000838617-07-000005	securityHolderAccounts	92.0	0.0	0.0	0.0	8.0	0.0		
0000838617-07-000005	transMaintainMasterSecHolder								
0000838617-07-000005	currentAgent								
0000838617-07-000005	dividendReinvDirectPurchasePlan								
0000838617-07-000005	dividendAndInterest								
0000838617-07-000005	directRegistrationSystem								
0000838617-07-000005	transNotMaintMasterSecHolder								
0001128769-07-000008	directRegistrationSystem								
0001128769-07-000008	transNotMaintMasterSecHolder								
0001128769-07-000008	currentAgent								
0001128769-07-000008	dividendAndInterest								
0001128769-07-000008	dividendReinvDirectPurchasePlan								
0001128769-07-000008	notTransMaintMasterSecHolder								
0001128769-07-000008	priorAgent								
0001128769-07-000008	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001128769-07-000008	transMaintainMasterSecHolder								
0000728889-07-000333	dividendReinvDirectPurchasePlan							5	
0000728889-07-000333	dividendAndInterest							5	1127307206.0
0000728889-07-000333	priorAgent							0	0.0
0000728889-07-000333	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000728889-07-000333	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000728889-07-000333	transMaintainMasterSecHolder	0.0	0.0	5.0	0.0	0.0	0.0		
0000728889-07-000333	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000728889-07-000333	currentAgent							0	0.0
0000728889-07-000333	directRegistrationSystem							0	
0000728889-07-000332	priorAgent							0	0.0
0000728889-07-000332	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000728889-07-000332	dividendReinvDirectPurchasePlan							2	
0000728889-07-000332	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000728889-07-000332	transMaintainMasterSecHolder	2.0	0.0	0.0	0.0	0.0	0.0		
0000728889-07-000332	currentAgent							0	0.0
0000728889-07-000332	dividendAndInterest							2	34291928.0
0000728889-07-000332	directRegistrationSystem							0	
0000728889-07-000332	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001273515-07-000077	notTransMaintMasterSecHolder								
0001273515-07-000077	dividendReinvDirectPurchasePlan								
0001273515-07-000077	dividendAndInterest								
0001273515-07-000077	directRegistrationSystem								
0001273515-07-000077	currentAgent								
