ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0000897101-23-000424	Equiniti Trust Co		Merger	15-SEP-2023	N	Y	N	Y
0001943895-23-000002	Juro System Inc		At the annual shareholder meeting, the shareholders voted to re-organize the business by segregating ultimate holdings and intellectual property from operations. The shareholders elected to segregate subsidiaries by operational activities.	30-MAR-2023	N	N	N	N
