ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001826710-21-000002	1	25-JUN-2021	0	0
0001810222-21-000002	1	16-JUN-2021	0	0
0000882734-21-000003	1	30-JUN-2020	29	0
0001145888-21-000002	2	02-JUL-2020	3	3
0001145888-21-000002	1	20-FEB-2020	6	5
0001428661-21-000002	1		0	0
0001794142-21-000006	1	31-DEC-2020	0	0
0000024179-21-000003	1	06-MAY-2020	1623	723
0000024179-21-000003	2	10-NOV-2020	1527	576
0001812230-21-000002	1	31-DEC-2020	0	0
0001830271-21-000001	1	06-APR-2021	0	0
0000203281-21-000003	1	17-JUL-2020	4	4
0001736356-21-000003	1	31-DEC-2020	0	0
0001837247-21-000003	2	31-MAR-2021	0	0
0001837247-21-000003	1	31-DEC-2020	0	0
0001458682-21-000002	3	05-NOV-2020	299	116
0001458682-21-000002	2	17-APR-2020	400	133
0001458682-21-000002	1	09-JUN-2020	169	105
0000897101-21-000265	1	31-DEC-2020	0	0
0001434234-21-000001	15	05-MAY-2020	3	2
0001434234-21-000001	16	07-MAY-2020	1	0
0001434234-21-000001	17	18-MAY-2020	2	0
0001434234-21-000001	18	19-MAY-2020	1	1
0001434234-21-000001	19	01-JUN-2020	1	0
0001434234-21-000001	20	05-JUN-2020	1	0
0001434234-21-000001	21	16-JUN-2020	1	1
0001434234-21-000001	22	18-JUN-2020	1	1
0001434234-21-000001	23	24-JUN-2020	2	2
0001434234-21-000001	24	06-JUL-2020	1	0
0001434234-21-000001	25	17-JUL-2020	1	1
0001434234-21-000001	26	31-AUG-2020	1	0
0001720655-21-000003	1	31-MAR-2021	0	0
0001434234-21-000001	3	31-MAR-2020	1	0
0001434234-21-000001	2	24-FEB-2020	1	0
0001434234-21-000001	1	21-FEB-2020	1	1
0001388002-21-000002	2	30-OCT-2020	3	1
0001388002-21-000002	1	21-APR-2020	12	6
0001434234-21-000001	14	30-APR-2020	2	0
0001434234-21-000001	13	28-APR-2020	2	0
0001434234-21-000001	12	27-APR-2020	1	0
0001434234-21-000001	11	24-APR-2020	1	1
0001434234-21-000001	10	21-APR-2020	2	0
0001434234-21-000001	9	21-APR-2020	2	0
0001434234-21-000001	8	20-APR-2020	4	1
0001434234-21-000001	7	16-APR-2020	5	2
0001434234-21-000001	4	02-APR-2020	1	1
0001434234-21-000001	5	03-APR-2020	1	0
0001434234-21-000001	6	14-APR-2020	6	0
