ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001826710-21-000002	31-DEC-2020	NATASHA MICHELLE BOYLAND TRUST	None	N	SEC	Not applicable		0	0	0	0	0									0
0001810222-21-000002	31-DEC-2020	XX Investments LLC	None	N	SEC	Not applicable		0	20245	20245	0	20245	0			Not Applicable			0	0	0
0000882734-21-000003	31-DEC-2020	OLDE MONMOUTH STOCK TRANSFER CO INC /TA	None	N	SEC	Not applicable		1176	63589	6	0	14	0			Yes			0	0	0
0001145888-21-000002	31-DEC-2020	FIRST NORTHERN COMMUNITY BANCORP /TA	None	N	BGFRS	Not applicable		68	1381	1381	0	0	0			Not Applicable			0	0	1
0001428661-21-000002	31-DEC-2020	DST Stock Transfer Corp.	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001794142-21-000006	31-DEC-2020	Tokensoft Transfer Agent LLC	None	N	SEC	Yes, filed amendment(s)		27	20	18	17	18	0			Yes			27	0	0
0000024179-21-000003	31-DEC-2020	CONTINENTAL STOCK TRANSFER & TRUST CO /TA	None	Y	SEC	Not applicable		136915	1659005	1659005	27427	109205	0			Yes			0	0	2504
0001812230-21-000002	31-DEC-2020	Ankura Trust Company, LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0001830271-21-000001	31-DEC-2020	BlockQuake Transfer Agent, LLC	None	N	SEC	Not applicable		0	0	0	0	0	0			Not Applicable			0	0	0
0000203281-21-000003	31-DEC-2020	STANDARD REGISTRAR & TRANSFER AGENCY, INC /TA	None	N	SEC	Not applicable		19	2244	0	0	0	0			Yes			0	0	0
0001736356-21-000003	31-DEC-2020	Starion Bond Services /TA/	None	N	FDIC	No, failed to file amendment(s)	An amended TA-1 form was not submitted on time.  The only thing that changed were officers.  I tried submitting to the SEC online, but since we are regulated by the FDIC an email was sent.  However, this was after the 60 days.	0	2	0	0	0	0			Not Applicable			0	0	0
0001837247-21-000003	31-DEC-2020	BYRON DEVON LYNCH IV ESTATE	None	N	SEC	Not applicable		0	4	4	0	0	0			Not Applicable			0	0	0
0001458682-21-000002	31-DEC-2020	ClearTrust, LLC	None	Y	SEC	Yes, filed amendment(s)		1606	67157	67157	0	6266	0			Yes			0	0	0
0000897101-21-000265	31-DEC-2020	CORPORATE STOCK TRANSFER INC                            /TA	Some	Y	SEC	Not applicable		600	0	0	0	0	0			Yes			0	0	0
0001720655-21-000003	31-DEC-2020	StartEngine Secure LLC	None	N	SEC	Yes, filed amendment(s)		6062	262054	262054	0	0	0			No	2	0	0	0	0
0001434234-21-000001	31-DEC-2020	GLOBEX TRANSFER, LLC	Some	N	SEC	Not applicable		737	23708	23708	0	0	0			Yes			0	0	4
0001388002-21-000002	31-DEC-2020	HSBC Bank USA, National Association	None	N	OCC	Not applicable		3640	5754	5754	0	967	0			Yes			0	0	29
