ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001144204-12-068294	Heritage Trust Company / Heritage Transfer Agency Inc.		Heritage Trust Company's successor transfer agent has separated its U.S. operations from its other operations in other countries so Heritage U.S. Transfer Corp. does only U.S. transfers.	31-AUG-2012	N	N	N	Y
0001080272-12-000003	The Pension Company		We have never actually been a transfer agent. We are a Third Party Administration firm for retirement plans	18-APR-2008	N	N	N	N
0000898432-12-001099	Pearl Management Company		No longer a transfer agent to an investment company/investment company liquidated.	28-SEP-2012	N	N	N	N
