ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001393905-20-000206	empire stock transfer inc		Ownership change	08-JAN-2007	N	N	N	Y
0001767027-20-000001	Abacus Protocol Inc.		The Company has never conducted transfer agent functions and does not intend to do so following a shift in the Company's business activities.	28-JUN-2019	N	N	N	N
