ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001146028-12-000001	1	31-DEC-2011	0	0
0001429579-12-000009	1	31-DEC-2011	0	0
0001429579-12-000008	1	31-DEC-2010	0	0
0001429579-12-000007	1	31-DEC-2009	0	0
0001429579-12-000006	1	31-DEC-2008	0	0
0000950123-12-009104	1	30-DEC-2011	0	0
0001545615-12-000006	2	02-NOV-2011	53	27
0001545615-12-000006	1	10-MAR-2011	55	31
0001145722-12-000003	1		0	0
0000939057-12-000169	3	20-JUL-2011	2	0
0000939057-12-000169	4	19-SEP-2011	1	0
0000939057-12-000169	2	21-MAR-2011	1	1
0000939057-12-000169	1	11-MAR-2011	2	2
0001227021-12-000007	1	30-MAR-2011	0	0
0000950123-12-007841	1	23-MAY-2011	82	27
0000950123-12-007841	2	08-DEC-2011	47	22
0001354488-12-002010	1		0	0
0001022115-12-000009	1	31-DEC-2011	0	0
0001545030-12-000008	1		0	0
0001202048-12-000005	1	24-JUN-2011	13603	2402
0001202048-12-000005	2	17-NOV-2011	10705	3770
0001451950-12-000009	1	02-MAY-2011	47	30
0001359797-12-000003	1		0	0
0001077455-12-000002	1		0	0
0001362479-12-000002	1	30-DEC-2011	0	0
0001445546-12-001731	1	28-DEC-2011	0	0
0001145722-12-000002	1		0	0
0000724935-12-000005	2	15-DEC-2011	800	350
0000724935-12-000005	1	04-JUL-2011	650	200
0001410382-12-000001	1	31-DEC-2011	6329	4212
0001227021-12-000005	1	30-MAR-2012	0	0
0001458682-12-000006	11	17-OCT-2011	3	3
0001458682-12-000006	10	04-OCT-2011	29	24
0001458682-12-000006	9	20-SEP-2011	1	1
0001458682-12-000006	8	07-SEP-2011	13	2
0001458682-12-000006	7	22-AUG-2011	16	11
0001458682-12-000006	6	26-MAY-2011	1	1
0001458682-12-000006	5	24-MAY-2011	4	2
0001458682-12-000006	4	05-MAY-2011	3	3
0001458682-12-000006	3	21-FEB-2011	6	4
0001458682-12-000006	2	07-FEB-2011	1	0
0001458682-12-000006	1	28-JAN-2011	2	1
0001458682-12-000006	12	20-DEC-2011	1	1
0001007444-12-000002	1	31-DEC-2011	0	0
0001283467-12-000002	2	06-DEC-2011	820	219
0001283467-12-000002	1	26-APR-2011	844	156
