ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0000734901-07-000009	WESTERN CORPORATE SERVICES		Assets sold - Computershare is new agent.	20-AUG-2007	N	N	N	Y
0001031313-07-000006	National Investor Services Corp.		National Investor Services Corp recently underwent a merger and the surviving firm, TD AMERITRADE Clearing Inc (BD#5633 and TA File No. 084-06796) is now performing all of the TA functions and NISC no longer has any.	18-MAY-2007	N	N	N	Y
0001258897-07-000133	Seligman LaSalle International Real Estate Fund, Inc.		Third-party transfer agent contracted to perform transfer agent funding.	31-MAY-2007	N	N	N	N
