ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0000838685-08-000004	31-DEC-2007	COMMERCIAL BANK & TRUST OF PA	ALL	N	FDIC	Yes, filed amendment(s)															
0001077223-08-000019	31-DEC-2007	Vantagepoint Transfer Agents, LLC	SOME	N	SEC	Not applicable		0	108164	108164	0	0	0			Yes			228726	1512	0
0001077223-08-000013	31-DEC-2007	Vantagepoint Transfer Agents, LLC	SOME	N	SEC	Not applicable		0	108164	108164	0	0	0			Yes			228726	1512	0
0000854847-08-000004	31-DEC-2007	Omnibank N.A.	NONE	N	OCC	Not applicable		10	169	0	0	0									0
0001144204-08-068652	31-DEC-2007	Parnassus Investments	NONE	N	SEC	Yes, filed amendment(s)		0	26588	26588	26588	0	0			Yes			192834	0	0
0001410382-08-000008	31-DEC-2007	Rollover Systems, Inc	NONE	N	SEC	No, failed to file amendment(s)	Previous employee, Harold Hampton, whose duties included registration for Transfer Agency and who was listed on the TA-1 was terminated from his employment late 2007.	0	0	0	0	0									0
0000909012-08-001273	31-DEC-2007	Sentinel Administrative Services, Inc.	NONE	N	SEC	Yes, filed amendment(s)		23408	202456	0	0	0	0			Yes			580308	15662	158
0001450848-08-000004	31-DEC-2007	Bank of Kansas City, N.A.	ALL	N	OCC	Yes, filed amendment(s)															
0000855870-08-000003	31-DEC-2007	Bank of Oklahoma, N.A.	ALL	N	OCC	Not applicable															
0001445546-08-000623	31-DEC-2007	FTP Services LLC	NONE	N	SEC	Yes, filed amendment(s)		0	396	396	0	0									0
0001127186-08-000006	31-DEC-2007	Australian-Canadian Oil Royalties, Ltd.	NONE	N	SEC	Not applicable		19	324	324	0	0									0
0001140361-08-022777	31-DEC-2007	Empire Stock Transfer Inc.	NONE	N	SEC	Not applicable		11519	14430	14874	0	25	0			Yes			0	0	0
0001140361-08-022304	31-DEC-2007	Empire Stock Transfer Inc.	NONE	N	SEC	Not applicable		11519	14430	14874	0	25	0			Not Applicable			0	0	0
