ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001325394-25-000004	WORLDWIDE STOCK TRANSFER LLC		Accounts were acquired by ClearTrust LLC	17-MAR-2025	N	N	N	Y
0001807695-25-000001	Otis Secure LLC		No longer transferring qualifying securities. 	10-DEC-2024	N	N	N	N
