ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001181839-19-000002	BMC GROUP INC		We have never actually provided any transfer agent services, nor do we intend to act as a transfer agent in the future.	31-DEC-2008	N	N	N	N
0001003297-19-000078	SECURITY LAND & DEVELOPMENT CORP /TA		Registrant's common stock is no longer registered under Section 12 of the Securities Exchange Act, and therefore Registrant no longer acts as a transfer agent for a qualifying security.	08-NOV-2019	N	N	N	N
0001447135-19-000005	PLATINUM Stock Transfer Inc		Out of money	25-FEB-2019	N	N	N	N
0001488312-19-000006	FINANCIAL DATA SERVICES, LLC		See Registrant's Form TA-1 filing under CIK0001787835 for SEC Registered Transfer Agent status. Also see email attached to this submission. Date below is last date FDS LLC conducted business as an OCC registered transfer agent.	30-AUG-2019	Y	N	N	Y
