ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000839287-17-000004	25	03-AUG-2015	1	1
0000839287-17-000004	19	01-JUL-2015	2	2
0000839287-17-000004	23	27-JUL-2015	1	1
0000839287-17-000004	22	23-JUL-2015	2	2
0000839287-17-000004	21	21-JUL-2015	3	3
0000839287-17-000004	20	15-JUL-2015	1	1
0000839287-17-000004	27	20-AUG-2015	1	1
0000839287-17-000004	26	12-AUG-2015	2	2
0000839287-17-000004	24	28-JUL-2015	2	2
0000839287-17-000004	18	30-JUN-2015	1	1
0000839287-17-000004	17	26-JUN-2015	2	2
0000839287-17-000004	16	25-JUN-2015	1	1
0000839287-17-000004	15	22-JUN-2015	1	1
0000839287-17-000004	14	18-JUN-2015	1	1
0000839287-17-000004	13	17-JUN-2015	2	2
0000839287-17-000004	12	15-JUN-2015	2	2
0000839287-17-000004	1	16-JAN-2015	1	0
0000839287-17-000004	2	05-MAR-2015	1	1
0000839287-17-000004	3	09-MAR-2015	3	3
0000839287-17-000004	4	23-MAR-2015	1	0
0000839287-17-000004	5	26-MAR-2015	1	1
0000839287-17-000004	6	30-MAR-2015	2	2
0000839287-17-000004	7	28-MAY-2015	1	1
0000839287-17-000004	8	29-MAY-2015	1	0
0000839287-17-000004	9	03-JUN-2015	3	3
0000839287-17-000004	10	09-JUN-2015	3	3
0000839287-17-000004	11	10-JUN-2015	1	1
0000839287-17-000003	8	29-AUG-2014	3	2
0000839287-17-000003	7	27-AUG-2014	1	1
0000839287-17-000003	6	19-JUL-2014	5	5
0000839287-17-000003	5	02-MAY-2014	1	1
0000839287-17-000003	4	14-APR-2014	1	1
0000839287-17-000003	3	07-APR-2014	1	1
0000839287-17-000003	2	14-MAR-2014	1	1
0000839287-17-000003	1	13-MAR-2014	1	0
0001170078-17-000005	12	15-DEC-2016	231	17
0001170078-17-000005	11	15-NOV-2016	222	87
0001170078-17-000005	10	17-OCT-2016	252	83
0001170078-17-000005	9	15-SEP-2016	119	43
0001170078-17-000005	8	15-AUG-2016	219	68
0001170078-17-000005	7	15-JUL-2016	108	52
0001170078-17-000005	5	16-MAY-2016	159	59
0001170078-17-000005	6	15-JUN-2016	147	54
0001170078-17-000005	4	15-APR-2016	267	78
0001170078-17-000005	3	15-MAR-2016	574	209
0001170078-17-000005	2	16-FEB-2016	869	284
0001170078-17-000005	1	15-JAN-2016	162	66
0001103598-17-000008	1		0	0
0001018490-17-000019	1		0	0
0001018490-17-000018	1		0	0
0001493152-17-006047	1	07-MAR-2016	16100	175
0001493152-17-006047	2	02-AUG-2016	15926	20
0001213900-17-005986	1		0	0
0001387131-17-002856	2	20-JAN-2016	4	2
0001387131-17-002856	3	22-JAN-2016	9	3
0001387131-17-002856	4	17-FEB-2016	5	3
0001387131-17-002856	5	18-FEB-2016	8	6
0001387131-17-002856	1	19-JAN-2016	6	5
0001387131-17-002856	6	19-MAY-2016	10	5
0001387131-17-002856	7	05-JUL-2016	10	1
0001387131-17-002856	8	06-JUL-2016	8	5
0001387131-17-002856	9	13-JUL-2016	3	2
0001387131-17-002856	10	18-OCT-2016	11	10
0001387131-17-002856	11	20-OCT-2016	3	3
0001387131-17-002856	12	11-NOV-2016	1	1
0001359797-17-000001	1		0	0
0000854890-17-000005	1	30-DEC-2016	0	0
0000721748-17-000274	1	31-DEC-2016	0	0
0000788603-17-000002	9	23-MAR-2016	94	20
0000788603-17-000002	26	23-SEP-2016	113	23
0000788603-17-000002	25	22-SEP-2016	51	7
0000788603-17-000002	24	15-SEP-2016	1095	169
0000788603-17-000002	23	23-AUG-2016	74	11
0000788603-17-000002	22	22-AUG-2016	27	3
0000788603-17-000002	21	15-AUG-2016	372	80
0000788603-17-000002	20	25-JUL-2016	61	15
0000788603-17-000002	19	22-JUL-2016	310	78
0000788603-17-000002	18	15-JUL-2016	602	175
0000788603-17-000002	17	23-JUN-2016	101	29
