ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001227021-15-000009	1		0	0
0001060257-15-000008	1		0	0
0001022115-15-000013	1	31-DEC-2014	0	0
0000353291-15-000004	1	31-DEC-2014	10712	7435
0001576137-15-000006	1	31-DEC-2014	0	0
0000899635-15-000003	1		0	0
0000940394-15-000661	1	31-DEC-2014	0	0
0001431194-15-000003	3	15-MAR-2013	1	1
0001431194-15-000003	4	21-MAY-2013	1	1
0001431194-15-000003	5	10-OCT-2013	1	0
0001431194-15-000003	6	11-OCT-2013	1	1
0001431194-15-000003	1	25-FEB-2013	45	31
0001431194-15-000003	2	05-MAR-2013	1	0
0001431194-15-000003	7	30-OCT-2013	1	1
0001636674-15-000004	1		0	0
0001144204-15-023083	3	24-MAR-2014	36	7
0001144204-15-023083	2	24-FEB-2014	310	63
0001144204-15-023083	1	22-JAN-2014	57	10
0001144204-15-023083	4	22-APR-2014	24	10
0001144204-15-023083	5	22-MAY-2014	33	13
0001144204-15-023083	6	23-JUN-2014	13	2
0001144204-15-023083	7	22-JUL-2014	5	1
0001144204-15-023083	9	22-SEP-2014	169	95
0001144204-15-023083	10	22-OCT-2014	12	1
0001144204-15-023083	11	24-NOV-2014	11	2
0001144204-15-023083	12	22-DEC-2014	4	0
0001144204-15-023083	8	22-AUG-2014	23	15
0001083545-15-000002	1	31-DEC-2014	0	0
0001573302-15-000002	1	15-OCT-2014	177	24
0001636674-15-000003	1		0	0
0001001920-15-000004	1	16-DEC-2014	23	0
0000024179-15-000002	2	31-JUL-2014	4456	1723
0000024179-15-000002	1	31-JAN-2014	5267	4119
0001214659-15-002848	1	06-OCT-2014	1	1
0001493152-15-001202	1	13-FEB-2014	400	25
0001493152-15-001202	2	30-JUN-2014	549	31
0000840464-15-000003	1	30-MAY-2014	1	0
0000840464-15-000003	2	28-NOV-2014	1	1
0000950123-15-004200	7	01-JUN-2014	292	237
0000950123-15-004200	6	15-MAY-2014	63033	46380
0000950123-15-004200	5	01-MAY-2014	95	70
0000950123-15-004200	3	01-MAR-2014	81	33
0000950123-15-004200	2	01-FEB-2014	117	83
0000950123-15-004200	1	01-JAN-2014	29	12
0001018490-15-000008	13	06-NOV-2014	3	3
0001018490-15-000008	12	04-OCT-2014	25	3
0001018490-15-000008	1	20-MAR-2014	8	2
0001018490-15-000008	2	21-MAR-2014	3	1
0001018490-15-000008	3	25-MAR-2014	5	1
0001018490-15-000008	4	02-APR-2014	8	3
0001018490-15-000008	5	03-APR-2014	33	11
0001018490-15-000008	6	04-APR-2014	7	5
0001018490-15-000008	11	05-SEP-2014	6	0
0001018490-15-000008	10	11-AUG-2014	6	1
0001018490-15-000008	9	03-JUL-2014	18	1
0001018490-15-000008	8	04-JUN-2014	31	16
0001018490-15-000008	7	07-APR-2014	28	12
0000950123-15-004200	8	01-JUL-2014	30	29
0000950123-15-004200	9	01-AUG-2014	35	11
0000950123-15-004200	10	01-SEP-2014	113	56
0000950123-15-004200	11	01-OCT-2014	100	70
0000950123-15-004200	12	01-NOV-2014	46	26
0000950123-15-004200	13	15-NOV-2014	41857	27332
0000950123-15-004200	14	01-DEC-2014	59	55
0000950123-15-004200	4	01-APR-2014	32	27
