ACCESSION_NUMBER	PERIODOFREPORT	ENTITYNAME	SERVICECOMPANY	REGISTRANTENGAGEDSERVICE	REGULATORYAGENCY	AMENDMENTFILED	ADDITIONALINFORMATION	NUMBERITEMSRECEIVEDFORTRANSFER	NUMMASTERSECURITYHOLDERFILINGS	NUMBERINDIVIDUALACCOUNTS	NUMDIVREINVDIRPURPLANACCOUNTS	NUMDIRECTREGISTSYSTEMACCOUNTS	NUMBERFILED	FILEALL	SECHOLDERADDITIONALINFO	ALWAYSCOMPLIANT	NUMBERMONTHSNOTCOMPLIANT	NUMBERNOTICENONCOMPLIANCEFILED	TOTAL	TOTALOTHERTHANRECEIPTORDERDATE	NUMLOSTACCTSREMITTEDTOSTATES
0001146230-14-000008	31-DEC-2013	Computershare Inc.	SOME	Y	SEC	Yes, filed amendment(s)		1304238	19875104	19875330	6294126	8342411	0			Yes			0	0	118935
0001145888-14-000002	31-DEC-2013	First Northern Community Bancorp	NONE	N	BGFRS	Not applicable		56	1325	1325	0	0	0			Not Applicable			0	0	2
0001007444-14-000011	31-DEC-2012	LPL Financial LLC	SOME	N	SEC	Yes, filed amendment(s)		115489	10975	10975	10969	0	0			Yes			2399626	0	0
0001022115-14-000004	31-DEC-2013	Georgia Bank & Trust	NONE	N	FDIC	Not applicable		77	0	502	0	0									0
0001455353-14-000002	31-DEC-2013	West Coast Stock Transfer Inc.	SOME	N	SEC	Yes, filed amendment(s)		943	5797	5797	0	0	0			Yes			0	0	0
0001362479-14-000002	31-DEC-2013	Guardian Registrar & Transfer, Inc.	SOME	N	SEC	Not applicable		340	15103	15103	0	0	0			Yes			340	0	0
0001557249-14-000002	31-DEC-2013	Cathedral Stock Transfer, LLC	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0000950123-14-003815	31-DEC-2012	Wells Fargo Bank, N.A.	SOME	Y	OCC	Not applicable		437694	8484280	8484280	1411653	2160733	1	Yes		Yes			0	0	111119
0001214659-14-002700	31-DEC-2013	Quicksilver Stock Transfer, LLC	NONE	N	SEC	Not applicable		1161	16115	16115	0	5	0			Yes			0	0	0
0001064418-14-000002	31-DEC-2013	Milliman, Inc.	NONE	Y	SEC	Not applicable		0	0	0	0	0									0
0001429668-14-000002	31-DEC-2013	Centurion Stock Transfer, Inc.	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0001214659-14-002657	31-DEC-2013	Ridgewood Companies TA, LLC	NONE	N	SEC	Not applicable		565	0	0	0	0									0
0000950123-14-003626	31-DEC-2013	Dupree & Company Inc.	NONE	N	SEC	Not applicable		0	10063	7803	7325	1378	0			Yes			20709	74	0
0001354488-14-001711	31-DEC-2013	Mountion Share Transfer, LLC	SOME	N	SEC	Yes, filed amendment(s)		367	8570	8570	0	0	0			Yes			0	0	0
0000049824-14-000001	31-DEC-2013	Illinois Stock Transfer Company	NONE	N	SEC	Not applicable		3648	53340	60222	6371	511	0			Yes			0	0	222
0001387131-14-001249	31-DEC-2013	Kenmar Preferred Investments L.P.	NONE	N	SEC	Not applicable		59	2018	2018	0	0	0			Yes			0	0	0
0001359797-14-000002	31-DEC-2013	MKPI SERVICES	NONE	N	SEC	Not applicable		0	1	1	0	1									0
0001144204-14-020180	31-DEC-2013	CAMPBELL & CO INC /TA	NONE	N	SEC	Yes, filed amendment(s)		598	19400	19400	0	0	0			Yes			584	0	0
0001604325-14-000003	31-DEC-2013	Wilmington Trust, National Association	ALL	N	OCC	Yes, filed amendment(s)															
0001118414-14-000001	31-DEC-2013	Shenandoah Telecommunications Co	NONE	N	SEC	Not applicable		642	4273	4273	1302	27	0			Yes			0	0	0
0000740583-14-000158	31-DEC-2013	se2, LLC	NONE	Y	SEC	Yes, filed amendment(s)		68566	406924	0	0	0	0			Not Applicable			0	0	135
0001060257-14-000003	31-DEC-2013	BANCO SANTANDER PUERTO RICO	SOME	N	FDIC	Yes, filed amendment(s)		1000	718	718	154	154	0			Yes			0	0	0
0001179706-14-000028	31-DEC-2013	Hewlett-Packard Administrative Services LLC	NONE	N	SEC	Not applicable		0	0	0	0	0									0
0001354488-14-001580	31-DEC-2013	Holladay Stock Transfer, Inc.	NONE	N	SEC	Not applicable		6547	53369	53369	0	0	0			Yes			0	0	0
0001354488-14-001582	31-DEC-2013	Direct Transfer LLC	NONE	Y	SEC	Not applicable		5962	20636	20636	0	0	0			Yes			0	0	0
