ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000896852-14-000021	serviceCompany	1	Invesco Canada Ltd. Invesco Canada Ltee, doing business as Invesco Enterprise Services and Invesco	084-06210	119 Euston Street  Charlottetown  C1A 1W3
0000914317-14-000860	serviceCompany	1	Registrar and Transfer Company (New Jersey)	084-00436	10 Commerce Drive  Cranford  07016
0000914317-14-000859	asServiceCompany	1	Registrar and Transfer Corporation - New York	084-00528	10 Commerce Drive  Cranford  07016
0000913181-14-000005	asServiceCompany	1	Gemini Fund Services	084-06083	4020 S 147th Street  Omaha  68137
0000913181-14-000005	serviceCompany	1	se2, Inc.	084-06285	Mail Zone 567 One Security Benefit Place Topeka  66636-0001
0001146230-14-000008	asServiceCompanyTransferAgent	1	Citibank, N.A.	085-10232	    
0001146230-14-000008	asServiceCompanyTransferAgent	2	Computershare Trust Company of Canada	084-06112	    
0001146230-14-000008	asServiceCompanyTransferAgent	3	Computershare Investor Services Inc.	084-06111	    
0001146230-14-000008	asServiceCompanyTransferAgent	4	State Street Bank and Trust Company	085-05003	    
0001146230-14-000008	asServiceCompanyTransferAgent	5	Computershare Trust Company, N.A.	085-11340	    
0001146230-14-000008	asServiceCompanyTransferAgent	6	Computershare Investor Services, LLC	084-05849	    
0001146230-14-000008	asServiceCompanyTransferAgent	7	The Bank of New York Mellon	085-05006	    
0001146230-14-000008	asServiceCompanyTransferAgent	8	BNY Mellon Investment Servicing (US) Inc.	084-01761	    
0001146230-14-000008	asServiceCompanyTransferAgent	9	Citi Fund Services Ohio, Inc.	085-11408	    
0001146230-14-000008	serviceCompanyTransferAgent	1	The Colbent Corporation	084-05927	    
0001146230-14-000008	serviceCompanyTransferAgent	2	Computershare Trust Company of Canada	084-06112	    
0001146230-14-000008	serviceCompanyTransferAgent	3	Computershare Shareowner Services LLC	084-05579	    
0001559963-14-000003	asServiceCompany	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough  01581
0000849542-14-000004	asServiceCompany	1	Prudential Mutual Fund Services, LLC	084-05681	100 Mulberry Street Gateway Center III Newark  07102
0000849542-14-000004	asServiceCompany	2	Banco Santander Puerto Rico	085-00818	207 Ponce De Leon Ave.  San Juan  00918
0000849542-14-000004	asServiceCompany	3	Manning & Napier Advisors, LLC	084-01344	290 Woodcliff Drive  Fairport  14450
0000849542-14-000004	asServiceCompany	4	USAA Transfer Agency Company, dba USAA Shareholder Account Services	084-01197	9800 Fredericksburg Rd.  San Antonio  78288
0000849542-14-000004	asServiceCompany	5	The Bank of New York Mellon	085-05006	101 Barclay Street  New York  10286
0000849542-14-000004	asServiceCompany	6	Banco Popular de Puerto Rico	085-05510	209 Munoz Rivera Avenue  San Juan  00936
0000849542-14-000004	asServiceCompany	7	Virtus Fund Services, LLC	084-06485	101 Munson Street, Ste 104  Greenfield  01301
0000849542-14-000004	asServiceCompany	8	Delaware Service Company, Inc.	084-01640	2005 Market Street  Philadelphia  19103
0000849542-14-000004	asServiceCompany	9	Dreyfus Transfer, Inc.	084-06102	144 Glenn Curtiss Boulevard  Uniondale  11556-0144
0000849542-14-000004	serviceCompany	1	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0000849542-14-000004	serviceCompany	2	BNY Mellon International Operations (India) Private Limited	084-06496	Tower S-3, Cybercity, Magarpatta City Hadapsar Pune  411013
0000950123-14-006792	serviceCompany	1	COLUMBIA MANAGEMENT INVESTMENT SERVICES CORP.	084-05685	225 Franklin Street 25th Floor Boston  02110
0001253179-14-000004	asServiceCompany	1	American National Stock Transfer, LLC	084-06479	405 Park Avenue Concourse Level New York  10022
0001253179-14-000004	serviceCompany	1	Rydex Fund Services, LLC	084-05475	805 King Farm Blvd. Suite 600 Rockville  20850
0001557183-14-000011	serviceCompany	1	The Vanguard Group, Inc.	084-00772	100 Vanguard Boulevard v26 Malvern  19355-2900
0001064418-14-000006	asServiceCompany	1	American Stock Transfer and Trust Co.	084-00416	6201 15th Avenue  Brooklyn  11219
0001064418-14-000006	asServiceCompany	2	Fidelity Investments Institutional Operations Co.	084-01839	300 Puritan Way  Marlborough  01752
0001064418-14-000006	asServiceCompany	3	Frank Russell Trust Company	084-01626	1301 Second Avenue 18th Floor Seattle  98101
0000735286-14-000012	asServiceCompany	1	Ascensus College Savings Recordkeeping Services, LLC.	084-06488	95 Wells Avenue Suite 160 Newton  02459
0000862124-14-000016	asServiceCompany	1	Citibank N.A.	085-10232	111 Wall Street  New York  10043
0001419454-14-000010	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	245 Summer Street  Boston  02210
0000862124-14-000016	serviceCompany	1	National Financial Services, LLC	084-05888	499 Washington BLVD  Jersey City  07310
0000862124-14-000016	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore  560071
0001133702-14-000014	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	245 Summer Street  Boston  02210
0000276398-14-000003	asServiceCompany	1	OFI Global asset Management, Inc.	084-06477	6803 South Tucson Way  Centennial  80112
0000276398-14-000003	serviceCompany	1	Huntington Asset Services, Inc.	085-00142	2960N. Meridian Street Suite 300 Indianapolis  46208
