ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001387131-16-008760	U.S. Bancorp Asset Management, Inc.		Exiting transfer agency business; no remaining transfer agency clients.	21-SEP-2016	N	N	N	N
0000883757-16-000022	Equity Financial Trust Company	TSX Trust Company	Sale of business to TSX Trust Company	30-SEP-2016	N	N	N	Y
0001169743-16-000032	J.D. Clark & Co., Inc.		The registrant is being dissolved.	31-DEC-2014	N	N	N	Y
