ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001429668-14-000002	dividendReinvDirectPurchasePlan								
0001429668-14-000002	dividendAndInterest								
0001429668-14-000002	currentAgent								
0001429668-14-000002	directRegistrationSystem								
0001214659-14-002657	notTransMaintMasterSecHolder								
0001214659-14-002657	priorAgent								
0001214659-14-002657	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001214659-14-002657	transMaintainMasterSecHolder								
0001214659-14-002657	transNotMaintMasterSecHolder								
0001214659-14-002657	dividendAndInterest								
0001214659-14-002657	directRegistrationSystem								
0001214659-14-002657	currentAgent								
0001214659-14-002657	dividendReinvDirectPurchasePlan								
0000950123-14-003626	dividendReinvDirectPurchasePlan							10	
0000950123-14-003626	dividendAndInterest							10	45953442.5
0000950123-14-003626	directRegistrationSystem							10	
0000950123-14-003626	currentAgent							0	0.0
0000950123-14-003626	notTransMaintMasterSecHolder	0.0	0.0	10.0	0.0	0.0	0.0		
0000950123-14-003626	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-14-003626	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-14-003626	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000950123-14-003626	priorAgent							0	0.0
0001354488-14-001711	transMaintainMasterSecHolder	20.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001711	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001711	priorAgent							0	0.0
0001354488-14-001711	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001711	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001711	directRegistrationSystem							0	
0001354488-14-001711	dividendAndInterest							0	0.0
0001354488-14-001711	dividendReinvDirectPurchasePlan							0	
0001354488-14-001711	currentAgent							0	0.0
0000049824-14-000001	currentAgent							0	0.0
0000049824-14-000001	directRegistrationSystem							61	
0000049824-14-000001	dividendAndInterest							65	107234483.61
0000049824-14-000001	dividendReinvDirectPurchasePlan							18	
0000049824-14-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000049824-14-000001	priorAgent							0	0.0
0000049824-14-000001	securityHolderAccounts	98.3	1.7	0.0	0.0	0.0	0.0		
0000049824-14-000001	transMaintainMasterSecHolder	172.0	3.0	0.0	0.0	0.0	0.0		
0000049824-14-000001	transNotMaintMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0001387131-14-001249	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	2.0		
0001387131-14-001249	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001387131-14-001249	priorAgent							0	0.0
0001387131-14-001249	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001387131-14-001249	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001387131-14-001249	dividendAndInterest							0	0.0
0001387131-14-001249	directRegistrationSystem							0	
0001387131-14-001249	currentAgent							0	0.0
0001387131-14-001249	dividendReinvDirectPurchasePlan							0	
0001359797-14-000002	transNotMaintMasterSecHolder								
0001359797-14-000002	transMaintainMasterSecHolder								
0001359797-14-000002	securityHolderAccounts	50.0	50.0	0.0	0.0	0.0	0.0		
0001359797-14-000002	priorAgent								
0001359797-14-000002	notTransMaintMasterSecHolder								
