ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001432531-22-000010	tawRegistrant	1	Franklin Templeton International Services (India) Private LTD		Franklin Templeton Park Plot #18-23 Financial Dist. Nanakramguda Hyderabad K7 500019
0001432531-22-000010	tawSuccessors	1	FIS Investor Services LLC/TA	Y	4249 Easton Way Suite 400 Columbus OH 43219
0001432531-22-000010	tawCustodians	1	FIS Investor Services LLC/TA		4249 Easton Way Suite 400 Columbus OH 43219
0001432532-22-000012	tawRegistrant	1	Franklin Templeton Investments Poland sp. z.o.o.		Nowy Rynek Complex, Building B Przemyslowa 3 str. Poznan R9 61-579
0001432532-22-000012	tawCustodians	1	FIS Investor Services LLC/TA		4249 Easton Way Suite 400 Columbus OH 43219
0001432532-22-000012	tawSuccessors	1	FIS Investor Services LLC/TA	Y	4249 Easton Way Suite 400 Columbus OH 43219
0001667731-22-000394	tawCustodians	1	Integral Transfer Agency, Inc.		401 Bay Street Suite 2702 Toronto A6 M5H2Y4
0001667731-22-000394	tawRegistrant	1	Integral Transfer Agency USA, Inc.		345 Buffalo Avenue  Niagara Falls NY 14303
0001667731-22-000394	tawSuccessors	1	Transfer Online, Inc.	Y	512 SE Salmon Street  Portland OR 97214
