ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000896852-18-000012	9	01-NOV-2017	1964	554
0000896852-18-000012	8	01-AUG-2017	273	75
0000896852-18-000012	7	03-JUL-2017	449	152
0000896852-18-000012	6	01-JUN-2017	1239	381
0000896852-18-000012	10	01-DEC-2017	1009	197
0000896852-18-000012	4	03-APR-2017	220	74
0000896852-18-000012	3	01-MAR-2017	971	337
0000896852-18-000012	2	01-FEB-2017	357	91
0000896852-18-000012	1	03-JAN-2017	627	268
0000896852-18-000012	5	01-MAY-2017	1034	235
0000896852-18-000011	10	01-DEC-2017	1009	197
0000896852-18-000011	9	01-NOV-2017	1964	554
0000896852-18-000011	8	01-AUG-2017	273	75
0000896852-18-000011	7	03-JUL-2017	449	152
0000896852-18-000011	6	01-JUN-2017	1239	381
0000896852-18-000011	5	01-MAY-2017	1034	235
0000896852-18-000011	4	03-APR-2017	220	74
0000896852-18-000011	3	01-MAR-2017	971	337
0000896852-18-000011	1	03-JAN-2017	627	268
0000896852-18-000011	2	01-FEB-2017	357	91
0001146032-18-000007	1	01-JAN-2017	0	0
0000088454-18-000005	3	15-OCT-2015	1	1
0000088454-18-000005	2	07-OCT-2015	3	1
0000088454-18-000005	1	03-SEP-2015	6	2
0000088454-18-000004	2	03-OCT-2016	7	2
0000088454-18-000004	5	29-SEP-2016	7	5
0000088454-18-000004	4	28-NOV-2016	4	1
0000088454-18-000004	3	19-OCT-2016	9	4
0000088454-18-000004	1	03-JAN-2016	6	6
0000088454-18-000003	1	14-FEB-2017	2	1
0000088454-18-000003	2	17-MAR-2017	2	1
0000088454-18-000003	3	30-SEP-2017	38	4
0001568437-18-000006	1		0	0
0001568437-18-000005	1		0	0
0001689934-18-000002	1	31-DEC-2017	0	0
0001060257-18-000003	1		0	0
0001545030-18-000004	1	02-AUG-2017	1	0
0001545030-18-000003	1		0	0
