ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0000950123-15-009782	currentAgent							1	6573.0
0000950123-15-009782	directRegistrationSystem							655	
0000950123-15-009782	dividendAndInterest							137435	189532575014.0
0000950123-15-009782	dividendReinvDirectPurchasePlan							635	
0000950123-15-009782	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950123-15-009782	priorAgent							6	207099.0
0000950123-15-009782	securityHolderAccounts	96.0	1.0	0.0	1.0	1.0	1.0		
0000950123-15-009782	transMaintainMasterSecHolder	2864.0	74782.0	0.0	118.0	76778.0	1008.0		
0000950123-15-009782	notTransMaintMasterSecHolder	167.0	0.0	0.0	1.0	0.0	0.0		
0001398344-15-004987	currentAgent							0	0.0
0001398344-15-004988	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001398344-15-004987	dividendAndInterest							0	0.0
0001398344-15-004987	dividendReinvDirectPurchasePlan							0	
0001398344-15-004987	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001398344-15-004987	priorAgent							0	0.0
0001398344-15-004987	securityHolderAccounts	0.0	0.0	0.0	100.0	0.0	0.0		
0001398344-15-004987	transMaintainMasterSecHolder	0.0	0.0	0.0	2.0	0.0	0.0		
0001398344-15-004987	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001398344-15-004988	currentAgent							0	0.0
0001398344-15-004988	directRegistrationSystem							0	
0001398344-15-004988	dividendAndInterest							0	0.0
0001398344-15-004988	dividendReinvDirectPurchasePlan							0	
0001398344-15-004988	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001398344-15-004988	priorAgent							0	0.0
0001398344-15-004988	securityHolderAccounts	0.0	0.0	0.0	100.0	0.0	0.0		
0001398344-15-004988	transMaintainMasterSecHolder	0.0	0.0	0.0	2.0	0.0	0.0		
0001398344-15-004987	directRegistrationSystem							0	
0001060257-15-000016	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001060257-15-000016	currentAgent							0	0.0
0001060257-15-000016	dividendAndInterest							633	1295740556.0
0001060257-15-000016	dividendReinvDirectPurchasePlan							4	
0001060257-15-000016	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001060257-15-000016	priorAgent							0	0.0
0001060257-15-000016	securityHolderAccounts	34.0	55.0	0.0	0.0	0.0	11.0		
0001060257-15-000016	transMaintainMasterSecHolder	34.0	55.0	0.0	0.0	0.0	0.0		
0001060257-15-000016	directRegistrationSystem							0	
0000005732-15-000001	directRegistrationSystem							0	
0000005732-15-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000005732-15-000001	transMaintainMasterSecHolder	175.0	1.0	0.0	0.0	0.0	0.0		
0000005732-15-000001	securityHolderAccounts	99.0	1.0	0.0	0.0	0.0	0.0		
0000005732-15-000001	currentAgent							0	0.0
0000005732-15-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000005732-15-000001	dividendReinvDirectPurchasePlan							0	
0000005732-15-000001	dividendAndInterest							0	0.0
0000005732-15-000001	priorAgent							0	0.0
0000353291-15-000006	dividendAndInterest							527	25482208099.75
0000353291-15-000006	currentAgent							0	0.0
0000353291-15-000006	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000353291-15-000006	priorAgent							0	0.0
0000353291-15-000006	securityHolderAccounts	0.02	0.0	99.98	0.0	0.0	0.0		
0000353291-15-000006	transMaintainMasterSecHolder	3.0	0.0	546.0	0.0	0.0	0.0		
0000353291-15-000006	directRegistrationSystem							0	
0000353291-15-000006	dividendReinvDirectPurchasePlan							0	
0000353291-15-000006	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001451316-15-000006	dividendAndInterest							1	77192348.63
0001451316-15-000006	dividendReinvDirectPurchasePlan							0	
0001451316-15-000006	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001451316-15-000006	priorAgent							0	0.0
0001451316-15-000006	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001451316-15-000006	transMaintainMasterSecHolder	0.0	0.0	1.0	0.0	0.0	0.0		
0001451316-15-000006	directRegistrationSystem							0	
