ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001440229-09-000007	1		0	0
0000027048-09-000014	59	24-SEP-2008	2	0
0000027048-09-000014	60	10-OCT-2008	489	33
0000027048-09-000014	61	13-OCT-2008	5	0
0000027048-09-000014	62	14-OCT-2008	5	0
0000027048-09-000014	63	15-OCT-2008	90	5
0000027048-09-000014	64	22-OCT-2008	801	151
0000027048-09-000014	65	23-OCT-2008	1	0
0000027048-09-000014	66	24-OCT-2008	1	0
0000027048-09-000014	67	10-NOV-2008	569	148
0000027048-09-000014	68	17-NOV-2008	98	21
0000027048-09-000014	1	10-JAN-2008	495	93
0000027048-09-000014	2	15-JAN-2008	128	37
0000027048-09-000014	3	16-JAN-2008	1	1
0000027048-09-000014	4	17-JAN-2008	80	28
0000027048-09-000014	69	24-NOV-2008	1689	198
0000027048-09-000014	70	25-NOV-2008	2	0
0000027048-09-000014	71	26-NOV-2008	1	0
0000027048-09-000014	72	10-DEC-2008	378	72
0000027048-09-000014	73	11-DEC-2008	1	0
0000027048-09-000014	74	15-DEC-2008	97	19
0000027048-09-000014	75	22-DEC-2008	450	70
0000027048-09-000014	76	23-DEC-2008	4	0
0000027048-09-000014	77	24-DEC-2008	4	0
0000027048-09-000014	5	22-JAN-2008	222	66
0000027048-09-000014	6	23-JAN-2008	1	0
0000027048-09-000014	7	24-JAN-2008	1	0
0000027048-09-000014	8	11-FEB-2008	757	197
0000027048-09-000014	9	15-FEB-2008	318	93
0000027048-09-000014	10	19-FEB-2008	215	49
0000027048-09-000014	11	22-FEB-2008	1644	512
0000027048-09-000014	12	25-FEB-2008	3	0
0000027048-09-000014	13	26-FEB-2008	1	0
0000027048-09-000014	14	10-MAR-2008	466	116
0000027048-09-000014	15	11-MAR-2008	1	0
0000027048-09-000014	16	12-MAR-2008	1	0
0000027048-09-000014	17	17-MAR-2008	207	86
0000027048-09-000014	18	24-MAR-2008	853	179
0000027048-09-000014	19	25-MAR-2008	2	1
0000027048-09-000014	20	10-APR-2008	191	42
0000027048-09-000014	21	11-APR-2008	2	0
0000027048-09-000014	22	14-APR-2008	2	0
0000027048-09-000014	23	15-APR-2008	93	16
0000027048-09-000014	24	16-APR-2008	1	0
0000027048-09-000014	25	17-APR-2008	22	4
0000027048-09-000014	26	22-APR-2008	480	114
0000027048-09-000014	27	23-APR-2008	3	0
0000027048-09-000014	28	24-APR-2008	2	0
0000027048-09-000014	29	12-MAY-2008	307	56
0000027048-09-000014	30	15-MAY-2008	80	20
0000027048-09-000014	31	19-MAY-2008	308	65
0000027048-09-000014	32	22-MAY-2008	864	270
0000027048-09-000014	33	23-MAY-2008	5	0
0000027048-09-000014	34	27-MAY-2008	5	0
0000027048-09-000014	35	10-JUN-2008	281	39
0000027048-09-000014	36	16-JUN-2008	12	2
0000027048-09-000014	37	17-JUN-2008	100	19
0000027048-09-000014	38	23-JUN-2008	998	225
0000027048-09-000014	39	24-JUN-2008	12	0
0000027048-09-000014	40	25-JUN-2008	10	0
0000027048-09-000014	41	10-JUL-2008	262	45
0000027048-09-000014	42	15-JUL-2008	204	26
0000027048-09-000014	43	16-JUL-2008	1	0
0000027048-09-000014	44	17-JUL-2008	44	5
0000027048-09-000014	45	22-JUL-2008	713	172
0000027048-09-000014	46	23-JUL-2008	1	0
0000027048-09-000014	47	24-JUL-2008	1	0
0000027048-09-000014	48	11-AUG-2008	1052	215
0000027048-09-000014	49	12-AUG-2008	6	0
0000027048-09-000014	50	13-AUG-2008	6	0
0000027048-09-000014	51	15-AUG-2008	90	21
0000027048-09-000014	52	22-AUG-2008	1720	330
0000027048-09-000014	53	10-SEP-2008	508	89
0000027048-09-000014	54	11-SEP-2008	10	0
0000027048-09-000014	55	12-SEP-2008	10	0
0000027048-09-000014	56	15-SEP-2008	14	2
0000027048-09-000014	57	22-SEP-2008	767	107
0000027048-09-000014	58	23-SEP-2008	3	0
0000866160-09-000001	1	26-MAR-2008	4	0
0001227022-09-000008	1	31-DEC-2006	0	0
0001227022-09-000004	1	31-DEC-2008	0	0
0001144204-09-052599	1	15-DEC-2008	0	0
0000774710-09-000004	1	31-DEC-2008	60	16
