ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0002032733-24-000003	CERES Coin LLC TA		No longer performing TA services for issuer	25-SEP-2024	N	N	N	N
0000734751-24-000002	DUKE ENERGY CORP                                        /TA		All transfer agency, registrar, dividend disbursement and administration of the direct stock purchase and dividend reinvestment plan functions have been outsourced to a third party, Broadridge Corporate Issuer Solutions, LLC, effective May 8, 2023. 	05-MAY-2023	N	N	N	Y
