ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000019617-23-000404	1	15-MAR-2023	0	0
0001104659-23-073931	1	31-DEC-2022	0	0
0001945558-23-000002	1		0	0
0000203281-23-000004	1	30-DEC-2022	0	0
0000027048-23-000007	6	23-MAY-2022	634	162
0000027048-23-000007	16	23-DEC-2022	2	0
0000027048-23-000007	15	22-DEC-2022	1203	207
0000027048-23-000007	14	22-NOV-2022	450	115
0000027048-23-000007	1	24-JAN-2022	298	62
0000027048-23-000007	2	22-FEB-2022	383	123
0000027048-23-000007	3	22-MAR-2022	1269	358
0000027048-23-000007	4	23-MAR-2022	4	1
0000027048-23-000007	5	22-APR-2022	626	149
0000027048-23-000007	7	22-JUN-2022	472	98
0000027048-23-000007	8	23-JUN-2022	2	0
0000027048-23-000007	9	22-JUL-2022	730	225
0000027048-23-000007	10	22-AUG-2022	961	235
0000027048-23-000007	11	23-AUG-2022	1	0
0000027048-23-000007	12	22-SEP-2022	1178	254
0000027048-23-000007	13	24-OCT-2022	607	148
0000735286-23-000010	2	31-DEC-2022	14556	10723
0000735286-23-000010	1	31-DEC-2022	35048	31889
0001953187-23-000002	1		0	0
0001942713-23-000002	1		0	0
0000949738-23-000003	1	14-JAN-2022	1	1
0000949738-23-000003	2	26-JAN-2022	1	1
0000949738-23-000003	3	27-JAN-2022	1	1
0000949738-23-000003	4	03-FEB-2022	2	2
0000949738-23-000003	5	08-FEB-2022	1	0
0000949738-23-000003	6	01-MAR-2022	1	0
0000949738-23-000003	7	03-MAR-2022	2	2
0000949738-23-000003	8	10-MAR-2022	1	0
0000949738-23-000003	9	04-APR-2022	1	1
0000949738-23-000003	10	16-MAY-2022	2	1
0000949738-23-000003	11	23-MAY-2022	1	0
0000949738-23-000003	12	21-JUN-2022	1	0
0000949738-23-000003	13	24-JUN-2022	4	2
0000949738-23-000003	14	18-JUL-2022	4	1
0000949738-23-000003	15	21-JUL-2022	3	0
0000949738-23-000003	16	02-AUG-2022	1	0
0000949738-23-000003	17	24-AUG-2022	1	1
0000949738-23-000003	18	08-SEP-2022	5	3
0000949738-23-000003	19	12-SEP-2022	2	0
0000949738-23-000003	20	20-OCT-2022	4	3
0000949738-23-000003	21	12-NOV-2022	3	0
0000949738-23-000003	22	17-NOV-2022	1	1
0000949738-23-000003	23	13-DEC-2022	1	0
0000949738-23-000003	24	16-DEC-2022	1	0
0001915430-23-000003	1	30-DEC-2022	0	0
0001654954-23-007214	1	21-FEB-2022	1223	607
0001667174-23-000002	1	30-DEC-2022	0	0
0001387131-23-005904	2	25-OCT-2022	23998	12416
0001387131-23-005904	1	25-APR-2022	19639	10017
0001855712-23-000002	1	30-DEC-2022	0	0
0001727770-23-000002	1	15-DEC-2022	0	0
0001768378-23-000002	1	12-APR-2023	0	0
0001769408-23-000002	1	31-DEC-2022	0	0
0000818238-23-000003	4	09-NOV-2022	66	29
0000818238-23-000003	2	17-MAY-2022	50	31
0000818238-23-000003	1	07-FEB-2022	45	29
0000818238-23-000003	3	18-AUG-2022	81	49
0000080255-23-002773	1	31-DEC-2022	0	0
0001460584-23-000001	1	31-MAR-2023	0	0
0000927395-23-000001	1	01-JUN-2022	25	0
0000927395-23-000001	2	01-NOV-2022	25	0
0001782266-23-000004	1	31-DEC-2022	0	0
0001718015-23-000008	1	16-MAY-2022	1696	358
0001718015-23-000008	2	19-OCT-2022	494	106
0001434234-23-000001	1	02-DEC-2022	1	1
