ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001049725-08-000005	FirstEnergy Securities Transfer Company		Change in transfer agent and registrar	31-DEC-2008	N	N	N	Y
0001319884-08-000011	Responsive Transfers, Inc.		Registrant never acted as Transfer Agent for any security. Registrant was unable to begin agency as initially intended.  Date shown under 7 below is effective date of TA1 filing.	04-MAR-2005	N	N	N	N
0001269002-08-000008	Pacific Corporate Trust Company	N/A	The registrant was acquired by Computershare Trust Company of Canada ('CTCC') on June 14, 2005. The registrant will be wound up and all clients have been assigned to CTCC effective November 1, 2008.	31-OCT-2008	N	N	N	Y
0001162044-08-000567	Manor Investment Funds, Inc.		Registrant has retained an independent transfer agent to perform this function	31-DEC-2007	N	N	N	Y
0000898745-08-000126	Principal Management Corp.		The Registrant provided transfer agency services only to two affiliated mutual funds and transferred its obligation to provide these services to Principal Shareholder Services, Inc., an affiliated entity, as part of a business consolidation effort.	30-SEP-2008	N	N	N	Y
