ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000821007-09-000013	serviceCompany	1	Boston Financial Data Services	084-00896	2 Heritage Drive  Quincy  02171
0001413398-09-000013	serviceCompany	1	Van Kampen Investor Services Inc.	084-01621	2800 Post Oak Boulevard  Houston  77056
0001413398-09-000013	serviceCompany	2	Morgan Stanley Trust	085-15003	34 Exchange Place - Harborside Financial Plaza II, 2nd Floor Jersey City  07311-3977
0001413398-09-000013	serviceCompany	3	DST Systems Inc.	084-00448	210 W 10th Street  Kansas City  64105
0001170078-09-000011	serviceCompany	1	DST Systems, Inc.	084-00448	333 W 11th Street  Kansas City  64105
0001214659-09-002312	asServiceCompany	1	Capital Transfer Agency Inc	084-06117	390 Bay Street Suite 2020  Toronto  M5H 2Y2
0001214659-09-002312	asServiceCompany	2	PacWest Transfer LLC	084-06032	2510 Pines Road N  Spokane Valley  99206
0001018490-09-000013	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3012  New York  10005-2836
0001283467-09-000005	serviceCompany	1	BNY Trust Company of Canada/ Bank of New York	085-05006	Suite 1101 - 4 King Street West  Toronto  M5H 1B6
0001283467-09-000005	serviceCompany	2	Continental Stock Transfer and Trust Company	084-00034	17 Battery Place  New York  10004
0001283467-09-000005	serviceCompany	3	Registrar and Transfer Company	084-00436	10 Commerce Drive  Cranford  07016
0000849542-09-000005	asServiceCompany	1	Seligman Data Corp.	084-01895	100 Park Avenue  New York  10017
0000849542-09-000005	asServiceCompany	2	Prudential Mutual Fund Services, LLC	084-05681	100 Mulberry Street Gateway Center III Newark  07102
0000849542-09-000005	asServiceCompany	3	Banco Santander Puerto Rico	085-00818	207 Ponce De Leon Ave.  San Juan  00918
0000849542-09-000005	serviceCompany	1	Eaton Vance Management	084-06041	255 State Street  Boston  02109
0000849542-09-000005	serviceCompany	2	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021
0000849542-09-000005	serviceCompany	3	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0001108200-09-000006	serviceCompany	1	Computershare Inc.	084-05925	250 Royall Street  Canton  02021-1011
0000027048-09-000012	asServiceCompany	1	Thrivent Financial Investor Services Inc.	084-01547	4321 N Ballard Rd  Appleton  54919
0000027048-09-000012	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston  02111-2900
0000027048-09-000012	asServiceCompany	3	DWS Investments Service Company	084-01713	222 South Riverside Plaza  Chicago  60606
0000027048-09-000012	asServiceCompany	4	Van Kampen Investor Services, Inc.	084-01621	Harborside Financial Center Plaza 2, 3rd Floor Jersey City  07311
0000027048-09-000012	asServiceCompany	5	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington  61709
0000027048-09-000012	asServiceCompany	6	Delaware Service Company, Inc.	084-01640	2005 Market Street  Philadelphia  19103
0000027048-09-000012	asServiceCompany	7	Transamerica Fund Services, Inc.	084-06130	AEGON Purchase Processing 570 Carillon Parkway St Petersburg  33716
0000027048-09-000012	asServiceCompany	8	American Century Services, LLC	084-01406	4500 Main Street  Kansas City  64111
0000027048-09-000012	asServiceCompany	9	Hartford Administrative Services Company	084-00353	500 Bielenberg Drive  Woodbury  55125
0000027048-09-000012	asServiceCompany	10	Morgan Stanley Trust	085-15003	Harborside Financial Center Plaza Two, Third Floor Jersey City  07311
0000027048-09-000012	asServiceCompany	11	Morgan Stanley Services Co Inc	084-06270	Harborside Financial Center Plaza Two, Third Floor Jersey City  07311
0000027048-09-000012	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	One American Express Plaza  Providence  02903
0000027048-09-000012	serviceCompany	2	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  N Quincy  02171
0000027048-09-000012	serviceCompany	3	National Financial Data Services, Inc.	084-01078	330 west 9th Street  Kansas City  64105
0000027048-09-000012	serviceCompany	4	DST Worldwide Services India Private Limited	084-06342	2/3/4 Floors, Roxanna Building Greenlands Road, Begumpet Hyderabad  500016
0001242588-09-000012	asServiceCompany	1	Boston Financial Data Services, Inc.	084-00896	2 Heritage Drive  North Quincy  02171
0001452780-09-000006	asServiceCompany	1	DST Systems, Inc.	084-00448	210 W 10th Street  Kansas City  64105
0001254834-09-000002	serviceCompanyTransferAgent	1	Suprior Stock Transfer, Inc.	084-06121	    
0001297564-09-000002	asServiceCompanyTransferAgent	1	EnDevCo, inc.	084-06084	    
0000842657-09-000019	serviceCompany	1	DST Systems	084-00448	333 West 11th St.  Kansas City  64105
0000772037-09-000011	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  North Quincy  02190
0001141917-09-000012	serviceCompany	1	Wilmington Trust Company	085-00059	1110 North Market Street  Wilmington  19890-0001
0000810417-09-000046	asServiceCompany	1	Federated Shareholder Services Company	084-01496	5800 Corporate Drive  Pittsburgh  15237
0001170078-09-000010	serviceCompany	1	DST Systems, Inc.	084-00448	333 W 11th Street  Kansas City  64105
0000849542-09-000003	asServiceCompany	1	Seligman Data Corp.	084-01895	100 Park Avenue  New York  10017
0000849542-09-000003	asServiceCompany	2	Prudential Mutual Fund Services, LLC	084-05681	100 Mulberry Street Gateway Center III Newark  07102
0000849542-09-000003	asServiceCompany	3	Banco Santander Puerto Rico	085-00818	207 Ponce De Leon Ave.  San Juan  00918
0000849542-09-000003	serviceCompany	1	Eaton Vance Management	084-06041	255 State Street  Boston  02109
0000849542-09-000003	serviceCompany	2	Computershare Trust Company, N.A.	085-11340	250 Royall Street  Canton  02021
0000849542-09-000003	serviceCompany	3	Computershare Inc.	084-05925	250 Royall Street  Canton  02021
0000788603-09-000008	asServiceCompany	1	State Street Bank and Trust Company	085-05003	One Lincoln Street  Boston  02111-2900
0000788603-09-000008	asServiceCompany	2	DST Systems, Inc.	084-00448	333 W. 11th Street  Kansas City  64105
0000788603-09-000008	asServiceCompany	3	Boston Financial Data Services, Inc.	084-00896	2 Heritage Drive  North Quincy  02171
0000788603-09-000008	asServiceCompany	4	Goldman Sachs & Company	084-01100	71 S. Wacker Drive  Chicago  60606
0000788603-09-000008	asServiceCompany	5	Wallace R. Weitz	084-01858	1125 S. 103rd Street  Omaha  68124
0000788603-09-000008	serviceCompany	1	DST Systems, Inc.	084-00448	333 W. 11th Street  Kansas City  64105
0000788603-09-000008	serviceCompany	2	Boston Financial Data Services, Inc.	084-00896	2 Heritage Drive  North Quincy  02171
0001169232-09-003662	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0000067590-09-000367	serviceCompany	1	ACS HR Solutions	084-06035	One Pennsylvania Plaza Floor 30 New York  10119
0000067590-09-000367	serviceCompany	2	AST Capital Trust Company	084-00416	59 Maiden Lane  New York  10038
0000067590-09-000367	serviceCompany	3	Boston Financial Data Services, Inc.	084-00896	2 Heritage Drive  North Quincy  02171
0000067590-09-000367	serviceCompany	4	National Financial Services LLC	084-05888	100 Harborside Plaza 5  Jersey City  07311
0000067590-09-000367	serviceCompany	5	Hewitt Associates LLC	084-01996	1000 HalfDay Road  Lincolnshire  60069
0000067590-09-000367	serviceCompany	6	Lincoln Retirement Services Company LLC	084-05910	3800 North Wilke Road Suite 250 Arlington Heights  60004
0000067590-09-000367	serviceCompany	7	LPL Financial Corporation	084-05637	9785 Towne Center Drive  San Diego  92121
0000067590-09-000367	serviceCompany	8	Vanguard Group, Inc.	084-00772	400 Devon Park Drive  Wayne  19087
0000067590-09-000367	serviceCompany	9	PNC Global Investment Servicing (U.S.) Inc.	084-01761	4400 Computer Drive  Westborough  01851
0000275143-09-000007	asServiceCompany	1	State Street Bank and Trust Company	085-05003	One Lincoln Street  Boston  02111-2900
0000275143-09-000007	asServiceCompany	2	DST Systems, Inc.	084-00448	333 W. 11th Street  Kansas City  64105
0000275143-09-000007	asServiceCompany	3	NYLIM Service Company LLC	084-05844	169 Lackwanna Avenue  Parsippany  07054
0000275143-09-000007	asServiceCompany	4	Dreyfus Transfer, Inc.	085-11312	1 American Express Plaza  Providence  02903
0000275143-09-000007	asServiceCompany	5	Columbia Management Services, Inc.	084-01329	One Financial Center  Boston  02111
0000275143-09-000007	asServiceCompany	6	VP Distributors, Inc.	084-05491	101 Munson Street  Greenfield  01301
0000275143-09-000007	asServiceCompany	7	Principal Shareholder Services, Inc.	084-05657	1100 Investment Boulevard Suite 200 El Dorado Hills  95762
0000275143-09-000007	asServiceCompany	8	Pioneer Investment Management Shareholder Services, Inc.	084-01359	60 State Street  Boston  02109
0000275143-09-000007	asServiceCompany	9	Van Kampen Investor Services, Inc.	084-01621	2800 Post Oak Boulevard  Houston  77056
0000275143-09-000007	asServiceCompany	10	Evergreen Service Company, LLC	084-01571	200 Berkeley Street  Boston  02116
0000275143-09-000007	serviceCompany	1	DST Systems, Inc.	084-00448	333 W. 11th Street  Kansas City  64105
0000275143-09-000007	serviceCompany	2	National Financial Data Services, Inc.	084-01078	330 W. 9th Street  Kansas City  64105
0000275143-09-000007	serviceCompany	3	Marshall & Ilsley Trust Company National Association	085-11354	111 East Kilborn Avenue Suite 200 Milwaukee  53202
0000275143-09-000007	serviceCompany	4	State Street Syntel Sources Private Limited	084-06146	C 101-104 Delphi Hiranandani Business Park Powai Mumbai  K7 400076
0000067590-09-000365	serviceCompanyTransferAgent	1	ACS HR Solutions (formerly Dreyfus Service Corporation and Mellon HR Solutions LLC)	084-06035	    
0000067590-09-000365	serviceCompanyTransferAgent	2	AST Capital Trust Company (formerly American Stock Transfer & Trust Company)	084-00416	    
0000067590-09-000365	serviceCompanyTransferAgent	3	Boston Financial Data Services, Inc.	084-00896	    
0000067590-09-000365	serviceCompanyTransferAgent	4	National Financial Services LLC	084-05888	    
0000067590-09-000365	serviceCompanyTransferAgent	5	Hewitt Associates LLC	084-01996	    
0000067590-09-000365	serviceCompanyTransferAgent	6	Lincoln Retirement Services Company, LLC	084-05910	    
0000067590-09-000365	serviceCompanyTransferAgent	7	LPL Financial Corporation	084-05637	    
0000067590-09-000365	serviceCompanyTransferAgent	8	PNC Global Investment Servicing (U.S.) Inc	084-01761	    
0000067590-09-000365	serviceCompanyTransferAgent	9	Vanguard Group, Inc.	084-00772	    
0001432532-09-000010	asServiceCompany	1	Franklin Templeton Investor Services, LLC	084-01036	3344 Quality Drive  Rancho Cordova  95670
0001432531-09-000007	asServiceCompany	1	Franklin Templeton Investor Services, LLC	084-01036	3344 Quality Drive  Rancho Cordova  95670
0000772037-09-000010	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  North Quincy  02190
0000944496-09-000008	asServiceCompany	1	CIBC Mellon Trust Company	084-06096	320 Bay Street  Toronto  M5H 4A6
0000944496-09-000008	asServiceCompany	2	The Bank of New York Mellon	085-05006	101 Barclay Street  New York  10286
0000027048-09-000010	asServiceCompany	1	Thrivent Financial Investor Services Inc.	084-01547	4321 N Ballard Rd  Appleton  54919
0000027048-09-000010	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston  02111-2900
0000027048-09-000010	asServiceCompany	3	DWS Investments Service Company	084-01713	222 South Riverside Plaza  Chicago  60606
0000027048-09-000010	asServiceCompany	4	Van Kampen Investor Services, Inc.	084-01621	Harborside Financial Center Plaza 2, 3rd Floor Jersey City  07311
0000027048-09-000010	asServiceCompany	5	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington  61709
0000027048-09-000010	asServiceCompany	6	Delaware Service Company, Inc.	084-01640	2005 Market Street  Philadelphia  19103
0000027048-09-000010	asServiceCompany	7	Transamerica Fund Services, Inc.	084-06130	AEGON Purchase Processing 570 Carillon Parkway St Petersburg  33716
0000027048-09-000010	asServiceCompany	8	American Century Services, LLC	084-01406	4500 Main Street  Kansas City  64111
0000027048-09-000010	asServiceCompany	9	Hartford Administrative Services Company	084-00353	500 Bielenberg Drive  Woodbury  55125
0000027048-09-000010	asServiceCompany	10	Morgan Stanley Trust	085-15003	Harborside Financial Center Plaza Two, Third Floor Jersey City  07311
0000027048-09-000010	asServiceCompany	11	Morgan Stanley Services Co Inc	084-06270	Harborside Financial Center Plaza Two, Third Floor Jersey City  07311
0000027048-09-000010	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	One American Express Plaza  Providence  02903
0000027048-09-000010	serviceCompany	2	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  N Quincy  02171
0000027048-09-000010	serviceCompany	3	National Financial Data Services, Inc.	084-01078	330 west 9th Street  Kansas City  64105
0000027048-09-000010	serviceCompany	4	DST Global Solutions India Private Limited	084-06342	2/3/4 Floors, Roxanna Building Greenlands Road, Begumpet Hyderabad  500016
0000842657-09-000017	serviceCompany	1	DST Systems	084-00448	333 West 11th St.  Kansas City  64105
0000950123-09-026300	asServiceCompany	1	Tri-Continental Corporation	084-00458	734 Ameriprise Financial Center  Minneapolis  55474
0000772037-09-000009	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  North Quincy  02190
0000950123-09-024769	asServiceCompany	1	Invesco Aim Investment Services, Inc.	084-05432	11 Greenway Plaza Ste 100 Houston  77046
0001146032-09-000008	serviceCompanyTransferAgent	1	PFPC, Inc	084-01761	    
0001018490-09-000011	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3012  New York  10005-2836
0001133702-09-000015	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  07152
0000751448-09-000006	serviceCompany	1	Boston Financial Data Service	084-00896	Boston Financial Data Service 2 Heritage Drive North Quincy  02171
0001170078-09-000004	serviceCompany	1	DST Systems, Inc.	084-00448	333 W 11th Street  Kansas City  64105
0001090198-09-000005	serviceCompany	1	Bisys Fund Services Ohio, Inc.	084-01711	3435 Stelzer Road  Columbus  43219
0001468119-09-000004	serviceCompanyTransferAgent	1	Registrar & Transfer	084-00436	    
0001133702-09-000013	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  07152
0001419454-09-000009	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  01752
0000862124-09-000010	asServiceCompany	1	Citibank N.A.	085-10232	111 Wall Street  New York  10043
0000862124-09-000010	serviceCompany	1	National Financial Services, LLC	084-05888	200 Liberty Street  New York  10281
0000862124-09-000010	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore  560071
0000950123-09-021882	asServiceCompanyTransferAgent	1	Wells Fargo Bank Northwest, N.A.	085-10988	    
0000950123-09-021882	asServiceCompanyTransferAgent	2	Wells Fargo Delaware Trust Company	085-11389	    
0000950123-09-021878	asServiceCompanyTransferAgent	1	Wells Fargo Bank Northwest, N.A.	085-10988	    
0000950123-09-021878	asServiceCompanyTransferAgent	2	Wells Fargo Delaware Trust Company	085-11389	    
0001170078-09-000003	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0000823579-09-000045	serviceCompanyTransferAgent	1	Continental Stock Transfer	084-00034	    
0001419454-09-000007	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  01752
0000862124-09-000008	asServiceCompany	1	Citibank N.A.	085-10232	111 Wall Street  New York  10043
0000862124-09-000008	serviceCompany	1	National Financial Services, LLC	084-05888	200 Liberty Street  New York  10281
0000862124-09-000008	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore  560071
0001133702-09-000011	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  07152
0001174540-09-000006	asServiceCompany	1	AEGON/Transamerica Investor Services, Inc.	084-01597	570 Carillon Parkway  St. Petersburg  33716
0001174540-09-000006	asServiceCompany	2	AIM Advisors	084-05432	11 Greemway Plaza, Suite 100  Houston  77046
0001174540-09-000006	asServiceCompany	3	Alger Shareholder Services	084-01650	30 Montgomery Street  Jersey City  07302
0001174540-09-000006	asServiceCompany	4	Alliance Global Investor Services	084-01349	1345 Avenue of the Americas  New York  10105
0001174540-09-000006	asServiceCompany	5	Alpine Management & Research	084-05754	2500 Westchester Avenue, Suite 215  Purchase  10577
0001174540-09-000006	asServiceCompany	6	ALPS Fund Services	084-05730	1290 Broadway, Suite 1100  Denver  80203
0001174540-09-000006	asServiceCompany	7	American Century Investment Services, Inc.	084-01406	4500 Main Street  Kansas City  64111
0001174540-09-000006	asServiceCompany	8	American Express Trust Company	084-01749	929 AXP Financial Center  Minneapolis  55474
0001174540-09-000006	asServiceCompany	9	American Funds Service Company	084-00316	333 South Hope Street  Los Angeles  90071
0001174540-09-000006	asServiceCompany	10	American Stock Transfer Company	084-00416	2800 N. Central, Suite 900  Phoenix  85004
0001174540-09-000006	asServiceCompany	11	Ameriprise Trust Company	084-00456	1480 Ameriprise Financial Center  Minneapolis  55474
0001174540-09-000006	asServiceCompany	12	Barclays Global Investors	085-11336	45 Fremont Street  San Francisco  94105
0001174540-09-000006	asServiceCompany	13	Calamos Financial Services	084-01570	111 East Warrenville Road  Naperville  60563
0001174540-09-000006	asServiceCompany	14	Calvert Distributors, Inc.	084-00948	4550 Montgomery Ave. Suite 1000 N  Bethesda  20814
0001174540-09-000006	asServiceCompany	15	Capstone Asset Planning Company	084-01386	5847 San Felipe Street, Suite 4100  Houston  77057
0001174540-09-000006	asServiceCompany	16	Diversified Investment Advisors, Inc.	084-05484	4 Manhattanville Road  Purchase  10577
0001174540-09-000006	asServiceCompany	17	Dreyfus Service Corporation	084-06102	200 Park Avenue, 8th Floor  New York  10166
0001174540-09-000006	asServiceCompany	18	Eaton Vance Distributors, Inc.	084-06041	255 State Street  Boston  02109
0001174540-09-000006	asServiceCompany	19	Evergreen Service Company	084-01571	200 Berkley Street, 18th Floor  Boston  02116
0001174540-09-000006	asServiceCompany	20	Federated Shareholder Services Company	084-01869	5800 Corporate Drive  Pittsburgh  15237
0001174540-09-000006	asServiceCompany	21	Fidelity Investments Institutional Operations Co.	084-01839	82 Devonshire Street  Boston  02109
