ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000950123-10-117676	asServiceCompany	1	Tri-Continental Corporation	084-00458	One Financial Center 3rd floor Boston  02111
0000950123-10-117676	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	2000 Crown Colony Drive  Quincy  02169
0001451217-10-000011	serviceCompany	1	UMB Funds Services, Inc.	084-05792	803 West Michigan Street Ste A Milwaukee  53233
0001452780-10-000007	asServiceCompany	1	DST Systems, Inc.	084-00448	210 W 10th Street  Kansas City  64105
0000944496-10-000014	asServiceCompany	1	CIBC Mellon Trust Company	084-06096	320 Bay Street  Toronto  M5H 4A6
0000944496-10-000014	asServiceCompany	2	The Bank of New York Mellon	085-05006	101 Barclay Street  New York  10286
0000944496-10-000014	asServiceCompany	3	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough  01581
0000088525-10-000772	asServiceCompany	1	Gemini Fund Services	084-06083	4020 S 147th Street  Omaha  68137
0000088525-10-000772	serviceCompany	1	Security Investors, LLC	084-05665	One Security Benefit Place  Topeka  66636-0001
0000088525-10-000772	serviceCompany	2	se2, Inc.	084-06285	5801 SW 6th Ave.  Topeka  66636-0001
0000088525-10-000770	asServiceCompany	1	Rydex Fund Services, LLC	084-05475	9601 Blackwell Rd. Suite 500 Rockville  20850
0000806620-10-000133	serviceCompany	1	Sentinel Administrative Services, Inc.	084-06175	One National Life Drive  Montpelier  05604
0000950123-10-113116	serviceCompany	1	Columbia Management Investment Services Corp.	084-05685	One Financial Center 3rd Floor Boston  02111
0000842657-10-000023	serviceCompany	1	DST Systems	084-00448	333 West 11th St.  Kansas City  64105
0001418054-10-000007	serviceCompany	1	State Street Bank and Trust Company	085-05003	One Lincoln Street  Boston  02111
0001144204-10-064276	serviceCompany	1	FIRST AMERICAN STOCK TRANSFER INC	084-05795	4747 N.7th Street, Suite 170  Phoenix  85014
0001506388-10-000002	asServiceCompany	1	Amercian Family Life Assurance Company, Incorporated	084-00501	1947 Wynnton Road  Columbus  31999
0001020337-10-000003	serviceCompany	1	Boston Financial Data Services	084-01078	330 W 9th St  Kansas City  64105
0001018490-10-000038	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3220  New York  10005-2836
