ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0000821007-10-000008	Evergreen Service Company LLC		The Evergreen Service Company has ceased providing transfer agent functions as a result of the merger of the Evergreen Funds into the Wells Fargo Advantage Funds.	28-SEP-2010	N	N	N	Y
0000849546-10-000005	Church Loans & Investments Trust		Church Loans & Investments Trust securities are no longer classified as qualified securities under the Securities Exchange Act of 1934.	04-MAY-2010	N	N	N	N
0001269678-10-000142	Stock Transfer Company of America, Inc.		Registrant has ceased doing business	01-DEC-2009	N	N	N	Y
0000842100-10-000004	Securities Managment and Research, Inc.		Sale of mutual funds to another entity.	09-JUL-2010	N	N	N	N
0001390212-10-000064	Accurate Stock Transfer, Inc.		Discontinue Operations	20-JUL-2009	N	N	Y	N
0001146060-10-000005	MERRILL LYNCH ALTERNATIVE INVESTMENTS LLC		TRANSFER AGENCY FUNCTIONS AND RESPONSIBILITIES ARE BEING TRANSFERRED TO FINANCIAL DATA SERVICES, INC. (085-11418).	01-JUL-2010	N	N	N	Y
