ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001144204-13-069335	tawCustodians	1	Worldwide Stock Transfer, LLC		One University Plaza Suite 505 Hackensack  07601
0001144204-13-069335	tawRegistrant	1	Omega Ventures Inc. under name of OTC Corporate Transfer Service		11835 Fountainside Circle  Boynton Beach  33437
0001144204-13-069335	tawSuccessors	1	Worldwide Stock Transfer, LLC	Y	One University Plaza Suite 505 Hackensack  07601
0001108200-13-000004	tawCustodians	1	Computershare Inc.		250 Royall Street  Canton  02021-1011
0001108200-13-000004	tawRegistrant	1	Computershare Investor Services LLC		2 North LaSalle Street  Chicago  60602
0000820031-13-000003	tawCustodians	1	OFI Global Asset Management, Inc.		6801 S. Tucson Way  Centennial  80112
0000820031-13-000003	tawRegistrant	1	OppenheimerFunds, Inc.		6803 S. Tucson Way  Centennial  80112
0000820031-13-000003	tawSuccessors	1	OFI Global Asset Management, Inc.	Y	6803 S. Tucson Weay  Centennial  80112
0001018862-13-000002	tawCustodians	1	OFI Global Asset Management, Inc.		6803 South Tucson Way  Centennial  80112
0001018862-13-000002	tawRegistrant	1	OFI SteelPath, Inc.		6803 South Tucson Way  Centennial  80112
0000352083-13-000002	tawCustodians	1	none		    
0000352083-13-000002	tawSuccessors	1	Jersey Stock Transfer LLC	Y	201 Bloomfield Ave Ste 26 Verona  07044
0000352083-13-000002	tawRegistrant	1	Jersey Transfer and Trust Co.		201 Bloomfiled Ave Ste 26 Verona  07044
0001486544-13-000002	tawRegistrant	1	Gratio Transfer Agency Services, LLC		601 N Lamar Blvd Suite 300 Austin  78703
0001486544-13-000002	tawCustodians	1	REV WorldWide, Inc.		601 N Lamar Blvd Suite 300 Austin  78703
