ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000950123-14-003490	4	01-APR-2013	5	3
0000950123-14-003490	5	01-MAY-2013	12	2
0000950123-14-003490	2	01-FEB-2013	3	1
0000950123-14-003490	1	01-JAN-2013	11	5
0000950123-14-003490	3	01-MAR-2013	5	0
0000950123-14-003490	6	01-JUN-2013	21	17
0000950123-14-003490	7	01-JUL-2013	17	11
0000950123-14-003490	8	01-AUG-2013	10	3
0000950123-14-003490	9	01-SEP-2013	6	5
0000950123-14-003490	10	01-OCT-2013	8	2
0000950123-14-003490	11	01-NOV-2013	126	0
0000950123-14-003490	12	01-DEC-2013	18	0
0000950123-14-003490	14	15-NOV-2013	76921	56173
0000950123-14-003490	13	14-MAY-2013	78349	57094
0001144204-14-019622	1	23-SEP-2013	109	41
0001144204-14-019622	2	22-OCT-2013	44	8
0001144204-14-019622	3	22-NOV-2013	66	1
0001144204-14-019622	4	23-DEC-2013	23	1
0001077223-14-000003	1		69	217
0000721748-14-000323	1	24-JAN-2013	174	33
0000721748-14-000323	2	09-JUL-2013	242	41
0000721748-14-000323	3	09-DEC-2013	177	40
0001434234-14-000001	20	02-JUL-2013	5	4
0001434234-14-000001	21	12-JUL-2013	1	1
0001434234-14-000001	22	15-JUL-2013	6	6
0001434234-14-000001	23	17-JUL-2013	1	1
0001434234-14-000001	24	22-JUL-2013	1	1
0001434234-14-000001	25	09-AUG-2013	2	0
0001434234-14-000001	26	12-AUG-2013	1	1
0001434234-14-000001	27	13-AUG-2013	2	2
0001434234-14-000001	28	16-AUG-2013	1	0
0001434234-14-000001	29	19-AUG-2013	1	0
0001434234-14-000001	30	24-SEP-2013	1	1
0001434234-14-000001	31	03-OCT-2013	1	1
0001434234-14-000001	32	14-OCT-2013	1	1
0001434234-14-000001	33	18-OCT-2013	1	0
0001434234-14-000001	34	25-OCT-2013	1	1
0001434234-14-000001	19	24-JUN-2013	3	1
0001434234-14-000001	18	21-JUN-2013	1	1
0001434234-14-000001	17	17-JUN-2013	2	1
0001434234-14-000001	16	03-JUN-2013	3	1
0001434234-14-000001	15	26-MAY-2013	1	1
0001434234-14-000001	14	22-MAY-2013	6	6
0001434234-14-000001	13	17-MAY-2013	1	1
0001434234-14-000001	12	13-MAY-2013	1	0
0001434234-14-000001	6	20-FEB-2013	12	6
0001434234-14-000001	5	14-FEB-2013	4	3
0001434234-14-000001	4	11-FEB-2013	5	4
0001434234-14-000001	3	08-FEB-2013	1	1
0001434234-14-000001	2	04-FEB-2013	2	2
0001434234-14-000001	1	18-JAN-2013	1	0
0001434234-14-000001	11	09-MAY-2013	1	0
0001434234-14-000001	10	06-MAY-2013	1	0
0001434234-14-000001	9	18-APR-2013	1	1
0001434234-14-000001	8	26-FEB-2013	8	4
0001434234-14-000001	7	25-FEB-2013	1	1
0001434234-14-000001	38	31-DEC-2013	2	0
0001434234-14-000001	35	04-NOV-2012	1	0
