ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001214659-15-008568	Ridgewood Companies TA, LLC		No longer provides any transfer agency services.  All service functions transferred to third-party service provider.	20-JUL-2015	N	N	N	Y
0000783398-15-000007	Pioneer Investment Management Shareholder Services Inc		functions have been outsourced to a 3rd party transfer agent	06-NOV-2015	N	N	N	Y
0001283467-15-000005	Valiant Trust Company		The transfer agent business of Valiant Trust Company was purchased by Computershare Canada in May of 2015. Between May 1, 2015 and October 27, 2015, all of the former Valiant Trust Company transfer agent clients were migrated to Computershare's systems.	27-OCT-2015	N	N	N	Y
0001526795-15-000008	Apex Fund Services (U.S.) Inc		Registrant never acted, or intends to act in the future, in the capacity of a registered transfer agent	27-JUL-2011	N	N	N	N
