ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001535872-22-000004	PSTV2 LLC DBA PHILADELPHIA STOCK TRANSFER, INC.		The accounts of the Registrant were acquired by Pacific Stock Transfer	06-JUN-2022	N	N	N	Y
0001798407-22-000003	Industry Transfer Agent LLC		The Transfer Agent never operated, did not have any clients, and did not process any transactions.	17-JAN-2020	N	N	N	N
