ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001477932-21-005257	Arch Exchange & Transfer LLC		Never launched	05-AUG-2021	N	N	N	N
0001813683-21-000002	SVP4U-KYIV-1-FUND LLC		Closure of the project for which the transfer agent activity was intended. The activity of the transfer agent was not conducted.	01-JUN-2020	N	N	N	N
0001821222-21-000003	CHRISTOPHER WAYNE REID TRUST		Never operated as a transfer agent since inception.	22-OCT-2020	N	N	N	N
