ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001535872-21-000003	serviceCompany	1	TSX TRUST CO.	084-06502	301-100 Adelaide Street West  Toronto A6 M5H 4H1
0000897101-21-000779	serviceCompany	1	Equiniti Trust Company	084-06578	1110 Centre Pointe Curve Suite 101 Mendota Heights MN 55120
0000897101-21-000779	asServiceCompany	1	Equiniti Trust Company	084-06578	1110 Centre Pointe Curve Suite 101 Mendota Heights MN 55120
0001718015-21-000008	serviceCompany	2	VSTOCK TRANSFER LLC	084-06380	77 SPRUCE ST SUITE 201  CEDARHURST NY 11516
0001718015-21-000008	asServiceCompany	1	EQ BY EQUINITI	084-06578	3200 Cherry Creek Dr South #430  Denver CO 80209
0001718015-21-000008	asServiceCompany	2	SIGNATURE STOCK TRANSFER, INC.	084-05674	14673 MIDWAY ROAD SUITE 220  ADDISON TX 75001
0001718015-21-000008	asServiceCompany	3	NEVADA AGENCY & TRANSFER COMPANY	084-00076	50 W LIBERTY ST STE 880  RENO NV 89501
0001718015-21-000008	serviceCompany	3	EQUITY STOCK TRANSFER LLC	084-06453	237 W 37TH ST SUITE 602  NEW YORK NY 11018
0001718015-21-000008	serviceCompany	1	NEVADA AGENCY & TRANSFER COMPANY	084-00076	50 W LIBERTY ST STE 880  RENO NV 89501
0001718015-21-000008	serviceCompany	4	Dynamic Stock Transfer Inc	084-06547	45 W. EASY STREET, SUITE 28,  SIMI VALLEY CA 93065
0001718015-21-000008	asServiceCompany	4	Philadelphia Stock Transfer, Inc	084-06456	2320 Haverford Rd. STE 230  Ardmore PA 19003
0001387131-21-009515	asServiceCompany	1	Deutsche Bank Trust Co Americas/TA	085-05212	60 Wall Street  New York NY 10005
0001387131-21-009515	asServiceCompany	2	AST Trust Company (Canada)	084-06506	1 Toronto Steet Suite 1200 Toronto A6 M5C 2V6
0001718015-21-000007	serviceCompany	4	Dynamic Stock Transfer Inc	084-06547	45 W. EASY STREET SUITE 28  SIMI VALLEY CA 93065
0001718015-21-000007	serviceCompany	1	NEVADA AGENCY & TRANSFER COMPANY	084-00076	50 W LIBERTY ST STE 880  RENO NV 89501
0001718015-21-000007	serviceCompany	2	VSTOCK TRANSFER LLC	084-06380	77 SPRUCE ST SUITE 201  CEDARHURST NY 11516
0001718015-21-000007	asServiceCompany	4	Philadelphia Stock Transfer, Inc	084-06456	2320 Haverford Rd. STE 230  Ardmore PA 19003
0001718015-21-000007	serviceCompany	3	EQUITY STOCK TRANSFER LLC	084-06453	237 W 37TH ST SUITE 602  NEW YORK NY 11018
0001718015-21-000007	asServiceCompany	2	SIGNATURE STOCK TRANSFER, INC.	084-05674	14673 MIDWAY ROAD SUITE 220  ADDISON TX 75001
0001718015-21-000007	asServiceCompany	1	EQ BY EQUINITI	084-06578	3200 Cherry Creek Dr South #430  Denver CO 80209
0001718015-21-000007	asServiceCompany	3	NEVADA AGENCY & TRANSFER COMPANY	084-00076	50 W LIBERTY ST STE 880  RENO NV 89501
0001133702-21-000005	asServiceCompany	1	Fidelity Investments Institutional Operations Company LLC	084-01839	245 Summer Street  Boston MA 02210
0001419454-21-000004	asServiceCompany	1	Fidelity Investments Institutional Operations Company LLC	084-01839	245 Summer Street  Boston MA 02210
0000735286-21-000012	asServiceCompany	1	Ascensus College Savings Recordkeeping Services, LLC.	084-06488	95 Wells Avenue Suite 160 Newton MA 02459
