ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001721868-19-000307	WESTERN STATES TRANSFER & REGISTRAR INC                 /TA		All issuers were acquired by another registrant 12/28/2017 who began servicing them 01/16/2018	16-JAN-2018	N	N	N	Y
0000066756-19-000070	ALLETE INC                         /TA		Outsourcing transfer agent functions.	31-MAY-2019	Y	N	N	Y
0000276398-19-000005	SHAREHOLDER SERVICES INC /CO/                           /TA		Transfer agent responsibilities are migrating to Invesco Investment Services, Inc., as a result of the acquisition by Invesco Ltd. of Oppenheimer Acquisition Corp., and the associated merger of the applicable Oppenheimer funds into Invesco's fund family.	24-MAY-2019	N	N	N	Y
0001558234-19-000004	OFI Global Asset Management, Inc.		Transfer agent responsibilities are migrating to Invesco Investment Services, Inc., as a result of the acquisition by Invesco Ltd. of Oppenheimer Acquisition Corp., and the associated merger of the applicable Oppenheimer funds into Invesco's fund family.	24-MAY-2019	N	N	N	Y
