ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001062993-22-024206	1	29-DEC-2021	11163	1505
0001062993-22-024204	1	09-JUN-2021	8167	3153
0001387131-22-012452	1	26-JAN-2021	5	3
0001387131-22-011449	1	26-APR-2021	18517	8842
0001387131-22-011449	2	27-OCT-2021	21548	10407
0001202048-22-000008	4	08-DEC-2021	14238	13317
0001202048-22-000008	3	12-SEP-2021	15698	12294
0001202048-22-000008	1	11-MAR-2021	19638	14155
0001202048-22-000008	2	09-JUN-2021	17057	14155
0000733598-22-000006	6	10-JUN-2021	58	9
0000733598-22-000006	7	12-JUL-2021	15	2
0000733598-22-000006	8	10-AUG-2021	32	0
0000733598-22-000006	9	10-SEP-2021	24	3
0000733598-22-000006	10	11-OCT-2021	62	14
0000733598-22-000006	11	10-NOV-2021	46	16
0000733598-22-000006	5	10-MAY-2021	24	2
0000733598-22-000006	12	10-DEC-2021	39	14
0000733598-22-000006	1	11-JAN-2021	24	8
0000733598-22-000006	4	12-APR-2021	21	2
0000733598-22-000006	3	10-MAR-2021	35	5
0000733598-22-000006	2	10-FEB-2021	34	7
0000950123-22-010037	2	01-JUL-2021	247	225
0000950123-22-010037	1	29-APR-2021	243	215
