ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001520138-21-000183	1	31-DEC-2020	0	0
0001721868-21-000188	1	21-OCT-2020	1228	63
0001721868-21-000188	2	31-DEC-2020	580	19
0001798677-21-000001	1	31-DEC-2020	0	0
0001146032-21-000002	1	31-JAN-2020	208	22
0001146032-21-000002	2	28-FEB-2020	7	4
0001146032-21-000002	3	24-MAR-2020	114	10
0001146032-21-000002	4	30-APR-2020	115	18
0001146032-21-000002	5	29-MAY-2020	320	40
0001146032-21-000002	6	30-JUN-2020	45	7
0001146032-21-000002	7	31-JUL-2020	87	10
0001146032-21-000002	8	31-AUG-2020	54	2
0001146032-21-000002	9	30-SEP-2020	91	2
0001146032-21-000002	10	30-OCT-2020	132	1
0001146032-21-000002	11	30-NOV-2020	61	1
0001146032-21-000002	12	31-DEC-2020	60	0
0000735286-21-000008	1	31-DEC-2020	27349	25206
0000735286-21-000008	2	31-DEC-2020	11091	8176
0001090027-21-000002	1	31-DEC-2020	286	182
0000810704-21-000001	1		0	0
0001654954-21-003616	2	01-JUN-2020	10	5
0001654954-21-003616	3	03-AUG-2020	1	0
0001654954-21-003616	1	01-APR-2020	5	1
0000854729-21-000002	1	01-MAY-2020	6	2
0000854729-21-000002	2	30-OCT-2020	0	0
0001654954-21-003614	2	03-MAY-2019	70	29
0001654954-21-003614	3	07-MAY-2019	1	1
0001654954-21-003614	1	07-FEB-2019	2	0
0001654954-21-003614	4	02-SEP-2019	12	10
0001654954-21-003612	5	03-DEC-2018	2	2
0001654954-21-003612	3	08-AUG-2018	57	31
0001654954-21-003612	2	05-APR-2018	18	3
0001654954-21-003612	1	01-MAR-2018	7	7
0001654954-21-003612	4	02-OCT-2018	10	2
0001771339-21-000006	1		0	0
0000818238-21-000003	4	02-NOV-2020	39	13
0000818238-21-000003	3	18-AUG-2020	23	8
0000818238-21-000003	2	13-MAY-2020	95	29
0000818238-21-000003	1	28-FEB-2020	94	26
0000920888-21-000002	1	31-DEC-2020	0	0
0001771339-21-000004	1		0	0
0001145697-21-000002	1	03-APR-2020	15	0
0001145697-21-000002	2	03-JUL-2020	10	0
0001145697-21-000002	3	02-OCT-2020	7	0
0001145697-21-000002	4	04-JAN-2021	11	0
0001393905-21-000171	1	15-MAY-2020	250	79
0001393905-21-000171	2	22-DEC-2020	227	77
0000838927-21-000001	1	31-DEC-2020	0	0
0001010549-21-000050	2	17-APR-2020	77	33
0001010549-21-000050	1	23-MAR-2020	51	17
0001010549-21-000050	3	18-JUN-2020	97	44
0001010549-21-000050	4	24-JUN-2020	66	27
0001010549-21-000050	5	22-SEP-2020	33	13
0001010549-21-000050	6	22-DEC-2020	86	56
0001062993-21-003191	1	30-MAR-2021	0	0
0001062993-21-003189	1	29-MAY-2020	7397	3011
0001062993-21-003189	2	30-NOV-2020	7252	3135
0000839196-21-000001	1	20-JAN-2020	5	2
0000839196-21-000001	3	01-JUN-2020	1	1
0000839196-21-000001	2	20-FEB-2020	3	2
0001030030-21-000002	1	31-DEC-2020	0	0
0001535872-21-000001	1	21-JAN-2020	56	32
0001683168-21-001131	1	31-DEC-2020	660	46
0000024179-21-000002	1	06-MAY-2020	1623	723
0000024179-21-000002	2	10-NOV-2020	1527	576
0001437749-21-007766	1		0	0
0001573302-21-000001	1	26-JAN-2021	8309	1413
0001771881-21-000001	1	20-MAR-2020	305	243
0001771881-21-000001	2	20-SEP-2020	354	282
0001227021-21-000006	1	26-MAR-2021	0	0
0001776580-21-000004	1	16-NOV-2020	103	103
0001654954-21-003566	2	10-SEP-2020	10100	2486
0001654954-21-003566	1	21-NOV-2020	12184	3167
0000950123-21-003998	1	27-MAR-2020	391	319
0000950123-21-003998	2	26-MAY-2020	326	296
0000950123-21-003998	3	14-SEP-2020	262	212
0001813683-21-000001	1	30-MAR-2021	0	0
0001145697-21-000001	4	04-JAN-2021	11	0
0001721868-21-000177	1	31-DEC-2020	0	0
0001145697-21-000001	1	03-APR-2020	15	0
0001145697-21-000001	2	03-JUL-2020	10	0
0001145697-21-000001	3	02-OCT-2020	7	0
0001118414-21-000001	1	30-JUN-2020	6	6
0000071138-21-000003	1	16-MAR-2020	28	23
0000071138-21-000003	2	18-MAR-2020	15	5
0000071138-21-000003	3	16-JUL-2020	2	1
0000071138-21-000003	4	10-SEP-2020	2	2
0001410382-21-000001	1	31-DEC-2020	23433	13944
0001398344-21-007368	1	08-JAN-2020	351	139
0001398344-21-007368	2	28-SEP-2020	360	140
0000798947-21-000001	2	23-JAN-2020	5	0
0000798947-21-000001	3	24-JAN-2020	4	0
0000798947-21-000001	4	01-SEP-2020	1	1
0000798947-21-000001	5	28-SEP-2020	3	1
0000798947-21-000001	6	30-SEP-2020	5	1
0000798947-21-000001	7	18-NOV-2020	4	0
0000798947-21-000001	1	22-JAN-2020	7	1
0000798947-21-000001	8	29-DEC-2020	3	1
0001253179-21-000004	1	08-JUL-2020	893	622
0001145892-21-000004	1	10-JUN-2020	99223	70620
0001145892-21-000004	2	02-DEC-2020	85570	70002
0000950123-21-003980	1	19-FEB-2020	1	0
0000950123-21-003980	2	16-SEP-2020	1	0
0001460584-21-000001	1	30-MAR-2021	0	0
0001285911-21-000003	1		0	0
0001794142-21-000004	1	31-DEC-2020	0	0
0001285911-21-000002	1		0	0
0000838966-21-000001	3	03-APR-2020	0	1
0000838966-21-000001	4	03-AUG-2020	1	0
0000838966-21-000001	5	03-DEC-2020	2	1
0000838966-21-000001	2	03-FEB-2020	7	3
0000838966-21-000001	1	03-JAN-2020	1	0
0001401565-21-000002	1		0	0
0001073944-21-000001	2	01-JUN-2020	67	10
0001073944-21-000001	1	05-MAY-2020	137	90
0001073944-21-000001	3	22-OCT-2020	598	462
0001073944-21-000001	4	01-DEC-2020	60	8
0001734055-21-000001	1	31-DEC-2020	0	0
0001019056-21-000216	1	31-DEC-2020	0	0
0001776449-21-000001	1	31-DEC-2020	0	0
0001676177-21-000003	1	31-DEC-2020	0	0
0001550840-21-000005	1	31-DEC-2019	0	0
0001213900-21-018549	1	15-MAR-2017	0	0
0001104659-21-043765	66	14-OCT-2020	666	539
0001104659-21-043765	67	16-OCT-2020	998	517
0001104659-21-043765	68	20-OCT-2020	1043	1026
0001104659-21-043765	69	23-OCT-2020	6542	1495
0001104659-21-043765	70	26-OCT-2020	1338	975
0001104659-21-043765	71	29-OCT-2020	1125	905
0001104659-21-043765	72	02-NOV-2020	101	100
0001104659-21-043765	73	02-NOV-2020	1965	1685
0001104659-21-043765	74	02-NOV-2020	3432	2649
0001104659-21-043765	75	02-NOV-2020	4	0
0001104659-21-043765	76	02-NOV-2020	262	209
0001104659-21-043765	77	02-NOV-2020	2127	1291
0001104659-21-043765	78	02-NOV-2020	1273	968
0001104659-21-043765	79	02-NOV-2020	1740	1187
0001104659-21-043765	80	03-NOV-2020	256	117
0001104659-21-043765	81	10-NOV-2020	16	16
0001104659-21-043765	82	10-NOV-2020	695	510
0001104659-21-043765	83	19-NOV-2020	718	482
0001104659-21-043765	84	25-NOV-2020	2	0
0001104659-21-043765	85	01-DEC-2020	222	184
0001104659-21-043765	86	01-DEC-2020	168	78
0001104659-21-043765	87	01-DEC-2020	635	560
0001104659-21-043765	88	01-DEC-2020	38	38
0001104659-21-043765	89	01-DEC-2020	343	76
0001104659-21-043765	90	03-DEC-2020	157	127
0001104659-21-043765	91	08-DEC-2020	359	313
0001104659-21-043765	92	10-DEC-2020	2378	2347
0001104659-21-043765	93	14-DEC-2020	353	215
0001104659-21-043765	94	15-DEC-2020	2419	2408
0001104659-21-043765	95	29-DEC-2020	1	1
0001104659-21-043765	2	06-JAN-2020	2405	2153
0001104659-21-043765	3	06-JAN-2020	1278	489
0001104659-21-043765	4	14-JAN-2020	51	1
0001104659-21-043765	5	21-JAN-2020	82	16
0001104659-21-043765	6	23-JAN-2020	151	120
0001104659-21-043765	7	03-FEB-2020	15476	5322
0001104659-21-043765	8	03-FEB-2020	969	886
0001104659-21-043765	9	03-FEB-2020	2	2
0001104659-21-043765	10	11-FEB-2020	9023	1642
0001104659-21-043765	11	12-FEB-2020	345	180
0001104659-21-043765	12	20-FEB-2020	129	104
0001104659-21-043765	13	02-MAR-2020	6323	3776
0001104659-21-043765	14	02-MAR-2020	5	4
0001104659-21-043765	15	19-MAR-2020	3060	2529
0001104659-21-043765	16	01-APR-2020	3411	2575
0001104659-21-043765	17	01-APR-2020	665	495
0001104659-21-043765	18	01-APR-2020	124	95
0001104659-21-043765	19	01-APR-2020	805	804
0001104659-21-043765	20	01-APR-2020	178	147
0001104659-21-043765	21	01-APR-2020	914	660
0001104659-21-043765	22	01-APR-2020	512	436
0001104659-21-043765	23	01-APR-2020	754	643
0001104659-21-043765	24	20-APR-2020	2562	1891
0001104659-21-043765	25	21-APR-2020	12063	3806
0001104659-21-043765	26	01-MAY-2020	593	575
0001104659-21-043765	27	08-MAY-2020	731	595
0001104659-21-043765	28	13-MAY-2020	209	136
0001104659-21-043765	29	01-JUN-2020	740	511
0001104659-21-043765	30	01-JUN-2020	39	27
0001104659-21-043765	31	26-JUN-2020	2	2
0001104659-21-043765	32	01-JUL-2020	1604	552
0001104659-21-043765	33	01-JUL-2020	67	47
0001104659-21-043765	34	01-JUL-2020	22	22
0001104659-21-043765	35	07-JUL-2020	3886	3500
