ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001214659-09-001591	Mandalay Stock Transfer		Going out of business	15-JUN-2009	N	N	N	Y
0001037194-09-000004	Matthew 25 Fund, Inc.		Business decided to outsource its transfer agent duties in order to save time and costs.	30-APR-2008	N	N	N	Y
0001050311-09-000003	Old Mutual Fund Services		Function outsourced to DST Systems, Inc.	17-SEP-2008	N	N	N	Y
0000734753-09-000003	Duquesne Light Company	Duquesne Light Company	No longer a public company.	01-JUL-2007	N	N	N	N
0001124838-09-000001	1st Global Stock Transfer, LLC		Retiring	25-MAR-2009	N	Y	N	N
0001111830-09-000387	Stralem Fund		Outsourced to third party transfer agent - Ultimus Fund Solutions, LLC (File # 084-05829)	30-APR-2008	N	N	N	Y
