ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001520138-19-000056	asServiceCompanyTransferAgent	1	NEW HORIZON TRANSFER INC.	084-06283	    
0000810704-19-000001	asServiceCompanyTransferAgent	1	PIONEER Investment Management Shareholder Services, Inc.	084-01359	    
0000810704-19-000001	asServiceCompanyTransferAgent	2	BNY Mellon Investment Servicing (US) Inc.	084-01761	    
0000810704-19-000001	asServiceCompanyTransferAgent	3	American Century Services, LLC	084-01406	    
0000810704-19-000001	asServiceCompanyTransferAgent	4	Invesco Investment Services Inc.	084-05432	    
0000810704-19-000001	asServiceCompanyTransferAgent	5	Franklin Templeton Investor Services, LLC	084-01036	    
0000810704-19-000001	serviceCompanyTransferAgent	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	    
0001654954-19-003714	asServiceCompanyTransferAgent	1	West Coast Stock Transfer Inc.	084-06347	    
0001654954-19-003714	asServiceCompanyTransferAgent	2	Web Stock Transfer Agency Inc.	084-06451	    
0001654954-19-003714	asServiceCompanyTransferAgent	3	Mountain Share Transfer, LLC	084-05790	    
0001654954-19-003714	asServiceCompanyTransferAgent	4	GLOBEX TRANSFER, LLC	084-06307	    
0001654954-19-003714	asServiceCompanyTransferAgent	5	American Registrar & Transfer Co.	084-00403	    
0001146230-19-000003	asServiceCompanyTransferAgent	1	Citibank, N.A.	085-10232	    
0001146230-19-000003	asServiceCompanyTransferAgent	2	Computershare Trust Company of Canada	084-06112	    
0001146230-19-000003	asServiceCompanyTransferAgent	3	Computershare Investor Services Inc.	084-06111	    
0001146230-19-000003	asServiceCompanyTransferAgent	4	Computershare Trust Company, N.A.	085-11340	    
0001146230-19-000003	asServiceCompanyTransferAgent	5	The Bank of New York Mellon	085-05006	    
0001146230-19-000003	asServiceCompanyTransferAgent	6	BNY Mellon Investment Servicing (US) Inc.	084-01761	    
0001146230-19-000003	serviceCompanyTransferAgent	1	Computershare Trust Company of Canada	084-06112	    
0001146032-19-000003	serviceCompanyTransferAgent	1	BNY MELLON INVESTMENT SERVICING (US) INC	084-01761	    
0001451217-19-000002	serviceCompanyTransferAgent	1	UMB Funds Services, Inc	084-5792	    
0001060257-19-000001	serviceCompanyTransferAgent	1	BNY Mellon Investment Services	084-01761	    
0001062993-19-001474	asServiceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC /TA	084-00416	    
0001062993-19-001474	serviceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC /TA	084-00416	    
0001062993-19-001474	serviceCompanyTransferAgent	2	Computershare Investor Services Inc	084-06111	    
0001062993-19-001474	serviceCompanyTransferAgent	3	AST Investor Services Inc (Canada)	084-06416	    
0001062993-19-001473	asServiceCompanyTransferAgent	1	AST Trust Co (Canada)	084-06506	    
0001062993-19-001473	serviceCompanyTransferAgent	1	AMERICAN STOCK TRANSFER & TRUST COMPANY, LLC/TA	084-00416	    
0001062993-19-001473	serviceCompanyTransferAgent	2	Computershare Investor Services Inc.	084-06111	    
0001573302-19-000001	asServiceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC (AST)	084-00416	    
0001573302-19-000001	asServiceCompanyTransferAgent	2	Computershare Inc.	084-05925	    
0001573302-19-000001	asServiceCompanyTransferAgent	3	Continental Stock Transfer & Trust Co.	084-00034	    
0001573302-19-000001	asServiceCompanyTransferAgent	4	Corporate Stock Transfer Inc.	084-01356	    
0001573302-19-000001	asServiceCompanyTransferAgent	5	Island Capital Management LLC	084-06085	    
0001573302-19-000001	asServiceCompanyTransferAgent	6	Philadelphia Stock Transfer, Inc.	084-06456	    
0001573302-19-000001	asServiceCompanyTransferAgent	7	Transfer Online Inc.	084-05808	    
0001573302-19-000001	asServiceCompanyTransferAgent	8	Transhare Corp.	084-06143	    
0001573302-19-000001	asServiceCompanyTransferAgent	9	VStock Transfer, LLC.	084-06380	    
0001573302-19-000001	asServiceCompanyTransferAgent	10	Wells Fargo bank NA.	085-10133	    
0001573302-19-000001	serviceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC	084-00416	    
0001573302-19-000001	serviceCompanyTransferAgent	2	Broadridge Corporate Issuer Solutions Inc.	084-01007	    
0001573302-19-000001	serviceCompanyTransferAgent	3	Computershare Inc.	084-05925	    
0001573302-19-000001	serviceCompanyTransferAgent	4	Continental Stock Transfer & Trust Co.	084-00034	    
0001573302-19-000001	serviceCompanyTransferAgent	5	Corporate Stock Transfer Inc.	084-01356	    
0001573302-19-000001	serviceCompanyTransferAgent	6	Equity Stock Transfer, LLC	084-06453	    
