ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0000005732-19-000002	AMERICAN REGISTRAR & TRANSFER CO	American Registrar & Transfer Co	Registrant Purchased by Pacific Stock Transfer	21-MAR-2019	N	N	N	Y
0001387131-19-002097	FIRST AMERICAN STOCK TRANSFER INC /AZ/ /TA		Merged with American Stock Transfer & Trust Company, LLC, effective 3/22/19	22-MAR-2019	N	N	N	Y
0001548847-19-000006	SS&C (USA) Inc.		The registrant has assigned the transfer agent functions for its sole s.12 issuer client to an affiliated registrant, SS&C (Canada) Limited.	31-JAN-2019	N	N	N	Y
0001380486-19-000001	TD AMERITRADE Clearing, Inc.		No longer pursuing transfer agent business.	22-NOV-2018	N	N	N	N
