ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0000838468-09-000003	transMaintainMasterSecHolder								
0000838468-09-000003	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000838468-09-000003	priorAgent								
0000838468-09-000003	notTransMaintMasterSecHolder								
0000838468-09-000003	transNotMaintMasterSecHolder								
0000838468-09-000003	dividendAndInterest								
0000838468-09-000003	directRegistrationSystem								
0000838468-09-000003	currentAgent								
0000838468-09-000003	dividendReinvDirectPurchasePlan								
0000049824-09-000004	transMaintainMasterSecHolder	210.0	1.0	0.0	0.0	0.0	0.0		
0000049824-09-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000049824-09-000004	securityHolderAccounts	99.99000000000001	0.01	0.0	0.0	0.0	0.0		
0000049824-09-000004	priorAgent							0	0.0
0000049824-09-000004	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000049824-09-000004	dividendReinvDirectPurchasePlan							16	
0000049824-09-000004	dividendAndInterest							85	429597971.5
0000049824-09-000004	directRegistrationSystem							0	
0000049824-09-000004	currentAgent							0	0.0
0000092416-09-000046	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0000092416-09-000046	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000092416-09-000046	priorAgent							0	0.0
0000092416-09-000046	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000092416-09-000046	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000092416-09-000046	dividendAndInterest							1	38709720.0
0000092416-09-000046	directRegistrationSystem							1	
0000092416-09-000046	currentAgent							0	0.0
0000092416-09-000046	dividendReinvDirectPurchasePlan							1	
0001431194-09-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001431194-09-000004	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0001431194-09-000004	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001431194-09-000004	priorAgent							0	0.0
0001431194-09-000004	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001431194-09-000004	dividendReinvDirectPurchasePlan							0	
0001431194-09-000004	dividendAndInterest							0	0.0
0001431194-09-000004	currentAgent							0	0.0
0001431194-09-000004	directRegistrationSystem							0	
0001254834-09-000002	transNotMaintMasterSecHolder								
0001254834-09-000002	transMaintainMasterSecHolder								
0001254834-09-000002	securityHolderAccounts								
0001254834-09-000002	priorAgent								
0001254834-09-000002	currentAgent								
0001254834-09-000002	dividendReinvDirectPurchasePlan								
0001254834-09-000002	dividendAndInterest								
0001254834-09-000002	directRegistrationSystem								
0001254834-09-000002	notTransMaintMasterSecHolder								
0001297564-09-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001297564-09-000002	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0001297564-09-000002	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001297564-09-000002	priorAgent							0	0.0
0001297564-09-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001297564-09-000002	dividendReinvDirectPurchasePlan							0	
0001297564-09-000002	dividendAndInterest							0	0.0
0001297564-09-000002	currentAgent							0	0.0
0001297564-09-000002	directRegistrationSystem							0	
0001312813-09-000006	currentAgent							0	0.0
0001312813-09-000006	directRegistrationSystem							0	
0001312813-09-000006	dividendAndInterest							0	0.0
0001312813-09-000006	dividendReinvDirectPurchasePlan							0	
0001312813-09-000006	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000006	priorAgent							0	0.0
0001312813-09-000006	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000006	transMaintainMasterSecHolder	485.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000006	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000005	directRegistrationSystem							0	
0001312813-09-000005	dividendAndInterest							0	0.0
0001312813-09-000005	dividendReinvDirectPurchasePlan							0	
0001312813-09-000005	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000005	priorAgent							0	0.0
0001312813-09-000005	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000005	transMaintainMasterSecHolder	612.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000005	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001312813-09-000005	currentAgent							0	0.0
0000950123-09-036496	transMaintainMasterSecHolder								
0000950123-09-036496	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000950123-09-036496	transNotMaintMasterSecHolder								
0000950123-09-036496	currentAgent								
0000950123-09-036496	directRegistrationSystem								
0000950123-09-036496	dividendAndInterest								
0000950123-09-036496	dividendReinvDirectPurchasePlan								
0000950123-09-036496	notTransMaintMasterSecHolder								
0000950123-09-036496	priorAgent								
0001162044-09-000424	currentAgent							0	0.0
0001162044-09-000424	transMaintainMasterSecHolder	0.0	0.0	84.0	2.0	0.0	0.0		
0001162044-09-000424	securityHolderAccounts	0.0	0.0	99.0	1.0	0.0	0.0		
0001162044-09-000424	priorAgent							0	0.0
0001162044-09-000424	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001162044-09-000424	dividendReinvDirectPurchasePlan							84	
0001162044-09-000424	dividendAndInterest							58	18648494.0
0001162044-09-000424	directRegistrationSystem							0	
0001162044-09-000424	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001169232-09-003662	transNotMaintMasterSecHolder								
0001169232-09-003662	transMaintainMasterSecHolder								
0001169232-09-003662	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0001169232-09-003662	priorAgent								
0001169232-09-003662	notTransMaintMasterSecHolder								
0001169232-09-003662	dividendReinvDirectPurchasePlan								
0001169232-09-003662	dividendAndInterest								
0001169232-09-003662	currentAgent								
0001169232-09-003662	directRegistrationSystem								
0000067590-09-000365	currentAgent								
0000067590-09-000365	directRegistrationSystem								
0000067590-09-000365	dividendAndInterest								
0000067590-09-000365	dividendReinvDirectPurchasePlan								
0000067590-09-000365	transNotMaintMasterSecHolder								
0000067590-09-000365	priorAgent								
0000067590-09-000365	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000067590-09-000365	transMaintainMasterSecHolder								
0000067590-09-000365	notTransMaintMasterSecHolder								
0001146032-09-000008	directRegistrationSystem							2	
0001146032-09-000008	dividendAndInterest							288	1001878579.02
0001146032-09-000008	dividendReinvDirectPurchasePlan							8	
0001146032-09-000008	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001146032-09-000008	currentAgent							0	0.0
0001146032-09-000008	securityHolderAccounts	62.0	1.0	31.0	0.0	4.0	2.0		
0001146032-09-000008	transMaintainMasterSecHolder	36.0	44.0	5.0	0.0	142.0	61.0		
0001146032-09-000008	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001146032-09-000008	priorAgent							0	0.0
0000724935-09-000010	notTransMaintMasterSecHolder	3.0	0.0	0.0	0.0	0.0	0.0		
0000724935-09-000010	priorAgent							0	0.0
0000724935-09-000010	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
