ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001007444-17-000011	1		0	0
0001062993-17-001630	1	24-FEB-2016	6622	2389
0001062993-17-001630	2	10-NOV-2016	6823	2197
0001062993-17-001628	1	31-MAR-2017	0	0
0001573302-17-000004	1	28-DEC-2016	9896	432
0000913801-17-000003	1		0	0
0001010549-17-000110	2	22-AUG-2016	947	279
0001010549-17-000110	1	02-MAR-2016	926	214
0001085284-17-000002	1	14-MAR-2016	21	4
0001085284-17-000002	2	22-APR-2016	30	8
0001202048-17-000002	3	13-SEP-2016	11465	9153
0001202048-17-000002	2	14-JUN-2016	3879	2212
0001202048-17-000002	1	11-MAR-2016	2153	705
0001202048-17-000002	4	12-DEC-2016	8990	6235
0001654954-17-002895	1	28-JUN-2016	81	49
0001410382-17-000002	1	30-MAR-2017	17195	5973
0001388002-17-000006	1	22-APR-2016	4	2
0001388002-17-000006	2	31-OCT-2016	2	2
0000024179-17-000002	2	01-OCT-2016	2504	1601
0000024179-17-000002	1	01-MAY-2016	4680	2064
0001020337-17-000003	3	15-MAR-2016	278	110
0001020337-17-000003	11	15-NOV-2016	78	14
0001020337-17-000003	10	17-OCT-2016	204	30
0001020337-17-000003	9	15-SEP-2016	452	108
0001020337-17-000003	1	15-JAN-2016	325	93
0001020337-17-000003	2	16-FEB-2016	193	68
0001020337-17-000003	12	15-DEC-2016	2527	294
0001020337-17-000003	4	15-APR-2016	264	81
0001020337-17-000003	5	16-MAY-2016	167	61
0001020337-17-000003	6	15-JUN-2016	373	101
0001020337-17-000003	7	15-JUL-2016	390	118
0001020337-17-000003	8	15-AUG-2016	186	41
0001445546-17-001626	1	26-OCT-2016	0	0
0000724935-17-000005	2	01-SEP-2016	485	32
0000724935-17-000005	1	02-MAR-2016	352	50
0000882734-17-000001	1	31-DEC-2016	0	0
0001145697-17-000001	2	31-MAR-2016	35	0
0001145697-17-000001	3	30-JUN-2016	7	0
0001145697-17-000001	4	30-SEP-2016	29	0
0001145697-17-000001	1	31-DEC-2015	1	0
0001410578-17-000121	1		0	0
0001103598-17-000005	1		0	0
0001144204-17-018001	1		0	0
0001146032-17-000004	1	28-JAN-2016	2	2
0001146032-17-000004	2	28-JUL-2016	1	0
0001146230-17-000005	2	06-DEC-2016	126105	93617
0001146230-17-000005	1	03-JUN-2016	97767	75424
0000839287-17-000002	28	20-JUN-2016	1	1
0000839287-17-000002	29	06-JUL-2016	6	6
0000839287-17-000002	30	07-JUL-2016	3	3
0000839287-17-000002	31	08-JUL-2016	4	4
0000839287-17-000002	32	11-JUL-2016	1	1
0000839287-17-000002	33	14-JUL-2016	3	3
0000839287-17-000002	34	28-JUL-2016	1	1
0000839287-17-000002	35	29-JUL-2016	1	1
0000839287-17-000002	36	01-AUG-2016	1	1
0000839287-17-000002	37	04-AUG-2016	1	1
0000839287-17-000002	38	05-AUG-2016	2	2
0000839287-17-000002	39	15-AUG-2016	1	1
0000839287-17-000002	40	01-SEP-2016	1	1
0000839287-17-000002	41	12-SEP-2016	5	5
0000839287-17-000002	42	19-SEP-2016	2	2
0000839287-17-000002	43	10-OCT-2016	1	1
0000839287-17-000002	44	13-OCT-2016	3	3
0000839287-17-000002	45	18-OCT-2016	3	3
0000839287-17-000002	46	19-OCT-2016	4	4
0000839287-17-000002	47	20-OCT-2016	1	1
0000839287-17-000002	48	25-OCT-2016	4	4
0000839287-17-000002	49	27-OCT-2016	1	1
0000839287-17-000002	50	28-OCT-2016	1	1
0000839287-17-000002	51	31-OCT-2016	3	3
0000839287-17-000002	52	01-NOV-2016	7	7
0000839287-17-000002	53	08-NOV-2016	6	6
0000839287-17-000002	54	09-NOV-2016	1	1
0000839287-17-000002	55	10-NOV-2016	1	1
0000839287-17-000002	56	14-NOV-2016	2	2
0000839287-17-000002	57	15-NOV-2016	13	13
0000839287-17-000002	58	16-NOV-2016	1	1
0000839287-17-000002	59	17-NOV-2016	1	1
0000839287-17-000002	60	20-NOV-2016	15	15
0000839287-17-000002	61	01-DEC-2016	13	13
0000839287-17-000002	62	07-DEC-2016	2	2
