ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000898432-11-001460	asServiceCompanyTransferAgent	1	Alliance Bernstein Global Investor Services, Inc.	084-01187	    
0000898432-11-001460	asServiceCompanyTransferAgent	2	American Century Services Corporation	084-01406	    
0000898432-11-001460	asServiceCompanyTransferAgent	3	American Funds Service Company	084-00316	    
0000898432-11-001460	asServiceCompanyTransferAgent	4	Boston Financial Data Services, Inc.	084-00896	    
0000898432-11-001460	asServiceCompanyTransferAgent	5	JP Morgan Investor Services Company	085-11374	    
0000898432-11-001460	asServiceCompanyTransferAgent	6	Dreyfus Transfer, Inc.	085-11312	    
0000898432-11-001460	asServiceCompanyTransferAgent	7	DST Systems, Inc.	084-00448	    
0000898432-11-001460	asServiceCompanyTransferAgent	8	Fidelity Investments Institutional Operations Company, Inc.	084-01839	    
0000898432-11-001460	asServiceCompanyTransferAgent	9	US Bancorp Fund Services, LLC	085-11357	    
0000898432-11-001460	asServiceCompanyTransferAgent	10	Frank Russell Investment Management Company	084-01626	    
0000898432-11-001460	asServiceCompanyTransferAgent	11	Franklin Templeton Investor Services LLC	084-01036	    
0000898432-11-001460	asServiceCompanyTransferAgent	12	Harbor Transfer, Inc.	084-01933	    
0000898432-11-001460	asServiceCompanyTransferAgent	13	Hartford Investor Services Company, LLC	084-05882	    
0000898432-11-001460	asServiceCompanyTransferAgent	14	John Hancock Signature Services, Inc.	084-01885	    
0000898432-11-001460	asServiceCompanyTransferAgent	15	DWS Investments Service Company	084-01713	    
0000898432-11-001460	asServiceCompanyTransferAgent	16	Mellon Bank, N.A.	085-10089	    
0000898432-11-001460	asServiceCompanyTransferAgent	17	MFS Service Center, Inc.	084-01316	    
0000898432-11-001460	asServiceCompanyTransferAgent	18	Mutual Funds Service Company	084-01441	    
0000898432-11-001460	asServiceCompanyTransferAgent	19	OppenheimerFunds, Inc.	084-01562	    
0000898432-11-001460	asServiceCompanyTransferAgent	20	BNY Mellon Investment Servicing	084-01761	    
0000898432-11-001460	asServiceCompanyTransferAgent	21	Putnam Fiduciary Trust Company	085-00747	    
0000898432-11-001460	asServiceCompanyTransferAgent	22	Shareholder Services, Inc.	084-00907	    
0000898432-11-001460	asServiceCompanyTransferAgent	23	State Street Bank & Trust Company	085-05003	    
0000898432-11-001460	asServiceCompanyTransferAgent	24	T. Rowe Price Services, Inc.	084-01079	    
0000898432-11-001460	asServiceCompanyTransferAgent	25	USAA Transfer Agency Company	084-01197	    
0000898432-11-001460	asServiceCompanyTransferAgent	26	National Financial Data Services, Inc.	084-01078	    
0000898432-11-001460	asServiceCompanyTransferAgent	27	Fidelity Service Company, Inc.	084-05679	    
0000898432-11-001460	asServiceCompanyTransferAgent	28	Goldman Sachs & Co.	084-01100	    
0000898432-11-001460	asServiceCompanyTransferAgent	29	Hartford Administrative Services Company	084-00353	    
0000898432-11-001460	asServiceCompanyTransferAgent	30	UMB Fund Services Inc.	084-05792	    
0000898432-11-001460	asServiceCompanyTransferAgent	31	JPMorgan Chase Bank NA	085-11399	    
0000898432-11-001460	asServiceCompanyTransferAgent	32	Janus Services LLC	084-06024	    
0000898432-11-001460	asServiceCompanyTransferAgent	33	Pioneer Investment Management Shareholder Services, Inc.	084-01359	    
0000898432-11-001460	asServiceCompanyTransferAgent	34	Bank of New York/Mellon	085-05006	    
0000898432-11-001460	asServiceCompanyTransferAgent	35	The Vanguard Group, Inc.	084-00772	    
0000898432-11-001460	asServiceCompanyTransferAgent	36	Delaware Service Company, Inc.	084-01640	    
0000898432-11-001460	asServiceCompanyTransferAgent	37	Prudential Mutual Fund Services LLC	084-05681	    
0000898432-11-001460	asServiceCompanyTransferAgent	38	Citi Fund Services of Ohio	085-11408	    
0000898432-11-001460	asServiceCompanyTransferAgent	39	Mellon Investor Services	084-05579	    
0000898432-11-001460	asServiceCompanyTransferAgent	40	Waddell & Reed Services Company	084-01062	    
