ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001385752-07-000007	currentAgent							0	0.0
0001385752-07-000007	directRegistrationSystem							0	
0001385752-07-000007	dividendAndInterest							0	0.0
0001385752-07-000007	dividendReinvDirectPurchasePlan							0	
0001385752-07-000007	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001385752-07-000007	priorAgent							0	0.0
0001385752-07-000007	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001385752-07-000007	transMaintainMasterSecHolder	125.0	0.0	0.0	0.0	0.0	0.0		
0001385752-07-000007	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001144204-07-033961	currentAgent								
0001144204-07-033961	directRegistrationSystem								
0001144204-07-033961	dividendAndInterest								
0001144204-07-033961	dividendReinvDirectPurchasePlan								
0001144204-07-033961	transNotMaintMasterSecHolder								
0001144204-07-033961	priorAgent								
0001144204-07-033961	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001144204-07-033961	transMaintainMasterSecHolder								
0001144204-07-033961	notTransMaintMasterSecHolder								
0000950135-07-003905	securityHolderAccounts	0.0	0.0	0.0	100.0	0.0	0.0		
0000950135-07-003905	transMaintainMasterSecHolder	0.0	0.0	0.0	1.0	0.0	0.0		
0000950135-07-003905	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950135-07-003905	currentAgent							0	0.0
0000950135-07-003905	priorAgent							0	0.0
0000950135-07-003905	dividendAndInterest							0	0.0
0000950135-07-003905	dividendReinvDirectPurchasePlan							0	
0000950135-07-003905	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950135-07-003905	directRegistrationSystem							0	
0000818238-07-000008	currentAgent							0	0.0
0000818238-07-000008	directRegistrationSystem							39	
0000818238-07-000008	dividendAndInterest							23	54819573.0
0000818238-07-000008	dividendReinvDirectPurchasePlan							39	
0000818238-07-000008	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000818238-07-000008	priorAgent							0	0.0
0000818238-07-000008	securityHolderAccounts	0.0	0.0	100.0	0.0	0.0	0.0		
0000818238-07-000008	transMaintainMasterSecHolder	0.0	0.0	39.0	0.0	0.0	0.0		
0000818238-07-000008	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000823579-07-000024	currentAgent							0	0.0
0000823579-07-000024	directRegistrationSystem							0	
0000823579-07-000024	dividendAndInterest							0	0.0
0000823579-07-000024	dividendReinvDirectPurchasePlan							0	
0000823579-07-000024	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000823579-07-000024	priorAgent							0	0.0
0000823579-07-000024	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000823579-07-000024	transMaintainMasterSecHolder	207.0	0.0	0.0	0.0	0.0	0.0		
0000823579-07-000024	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001000952-07-000009	currentAgent							0	0.0
0001000952-07-000009	directRegistrationSystem							0	
0001000952-07-000009	dividendAndInterest							7	24048715.44
0001000952-07-000009	dividendReinvDirectPurchasePlan							0	
0001000952-07-000009	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001000952-07-000009	priorAgent							0	0.0
0001000952-07-000009	securityHolderAccounts	0.0	0.0	0.0	88.0	0.0	12.0		
0001000952-07-000009	transMaintainMasterSecHolder	0.0	0.0	0.0	52.0	0.0	6.0		
0001000952-07-000009	notTransMaintMasterSecHolder	0.0	0.0	0.0	46.0	0.0	0.0		
0000878605-07-000007	currentAgent							0	0.0
0000878605-07-000007	directRegistrationSystem							0	
0000878605-07-000007	dividendAndInterest							0	0.0
0000878605-07-000007	dividendReinvDirectPurchasePlan							1	
0000878605-07-000007	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000878605-07-000007	priorAgent							0	0.0
0000878605-07-000007	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000878605-07-000007	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0000878605-07-000007	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000735407-07-000007	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000735407-07-000007	priorAgent							0	0.0
0000735407-07-000007	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000735407-07-000007	transMaintainMasterSecHolder	1.0	0.0	0.0	0.0	0.0	0.0		
0000735407-07-000007	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000735407-07-000007	dividendAndInterest							1	28512522.18
0000735407-07-000007	directRegistrationSystem							0	
0000735407-07-000007	currentAgent							0	0.0
0000735407-07-000007	dividendReinvDirectPurchasePlan							1	
0000890480-07-000003	dividendReinvDirectPurchasePlan								
0000890480-07-000003	dividendAndInterest								
0000890480-07-000003	directRegistrationSystem								
0000890480-07-000003	currentAgent								
0000890480-07-000003	notTransMaintMasterSecHolder								
0000890480-07-000003	transNotMaintMasterSecHolder								
0000890480-07-000003	transMaintainMasterSecHolder								
0000890480-07-000003	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0000890480-07-000003	priorAgent								
0000950135-07-003546	transMaintainMasterSecHolder	0.0	0.0	0.0	1.0	0.0	0.0		
0000950135-07-003546	securityHolderAccounts	0.0	0.0	0.0	100.0	0.0	0.0		
0000950135-07-003546	priorAgent							0	0.0
0000950135-07-003546	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950135-07-003546	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000950135-07-003546	directRegistrationSystem							0	
0000950135-07-003546	dividendAndInterest							0	0.0
0000950135-07-003546	dividendReinvDirectPurchasePlan							0	
0000950135-07-003546	currentAgent							0	0.0
0001169232-07-002590	notTransMaintMasterSecHolder								
