ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001144204-13-069335	Omega Ventures Inc. under name of OTC Corporate Transfer Service	OTC Corporate Transfer Service	Sold Assets to Worldwide Stock Transfer	14-FEB-2013	N	N	N	Y
0001108200-13-000004	Computershare Investor Services LLC		The transfer agent entity Computershare Investor Services LLC is no longer a named transfer agent for any issuer nor does it perform any transfer agent services.	31-DEC-2006	N	Y	N	N
0000820031-13-000003	OppenheimerFunds, Inc.	OppenheimerFunds Services	No longer providing transfer agency services	31-DEC-2012	N	N	N	Y
0001018862-13-000002	OFI SteelPath, Inc.		Has not performed transfer agency services since December 2011.	17-DEC-2011	N	N	N	N
0000352083-13-000002	Jersey Transfer and Trust Co.	none	Reorganization	30-OCT-2013	Y	N	N	Y
0001486544-13-000002	Gratio Transfer Agency Services, LLC		Transfer agent is being closed by acquiring entity.	29-JUN-2012	N	N	N	N
