ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000950123-13-001939	1	27-MAR-2012	4	0
0000950123-13-001939	3	15-OCT-2012	4	0
0000950123-13-001939	4	31-OCT-2012	2	0
0000950123-13-001939	2	31-AUG-2012	1	0
0001085284-13-000001	2	27-APR-2012	34	4
0001085284-13-000001	1	14-MAR-2012	32	6
0000049824-13-000001	1	01-MAY-2012	665	224
0000049824-13-000001	2	01-DEC-2012	899	170
0000950123-13-001935	1	31-DEC-2012	0	0
0000950123-13-001934	3	17-DEC-2012	44149	33196
0000950123-13-001934	4	31-JAN-2012	43	4
0000950123-13-001934	5	29-FEB-2012	35	9
0000950123-13-001934	7	30-APR-2012	19	1
0000950123-13-001934	8	31-MAY-2012	16	3
0000950123-13-001934	9	29-JUN-2012	8	0
0000950123-13-001934	10	31-JUL-2012	12	0
0000950123-13-001934	11	31-AUG-2012	23	28
0000950123-13-001934	12	28-SEP-2012	5	1
0000950123-13-001934	13	31-OCT-2012	0	0
0000950123-13-001934	14	30-NOV-2012	22	11
0000950123-13-001934	2	09-NOV-2012	31926	23153
0000950123-13-001934	1	01-MAY-2012	69884	51941
0000950123-13-001934	15	31-DEC-2012	33	83
0000950123-13-001934	6	31-MAR-2012	47	5
0001362479-13-000003	1	31-DEC-2012	0	0
0000838141-13-000002	1	01-AUG-2012	99	56
0000721748-13-000045	1	30-NOV-2012	110	61
0000826074-13-000001	1	11-JUL-2012	4	2
0001354488-13-001577	2	17-FEB-2012	2	0
0001354488-13-001577	17	26-MAR-2012	43	31
0001354488-13-001577	4	02-MAR-2012	35	23
0001354488-13-001577	5	05-MAR-2012	41	24
0001354488-13-001577	6	06-MAR-2012	42	23
0001354488-13-001577	7	08-MAR-2012	36	21
0001354488-13-001577	8	09-MAR-2012	27	14
0001354488-13-001577	9	12-MAR-2012	37	23
0001354488-13-001577	10	14-MAR-2012	15	8
0001354488-13-001577	11	15-MAR-2012	71	41
0001354488-13-001577	12	16-MAR-2012	25	16
0001354488-13-001577	13	19-MAR-2012	40	23
0001354488-13-001577	14	20-MAR-2012	64	41
0001354488-13-001577	15	22-MAR-2012	39	21
0001354488-13-001577	18	28-MAR-2012	1	1
0001354488-13-001577	19	30-MAR-2012	45	24
0001354488-13-001577	20	02-APR-2012	78	40
0001354488-13-001577	21	03-APR-2012	35	23
0001354488-13-001577	22	05-APR-2012	87	56
0001354488-13-001577	23	10-APR-2012	2	0
0001354488-13-001577	24	16-APR-2012	2	0
0001354488-13-001577	25	18-JUN-2012	53	40
0001354488-13-001577	26	19-JUN-2012	27	23
0001354488-13-001577	27	01-AUG-2012	14	6
0001354488-13-001577	28	03-AUG-2012	7	1
0001354488-13-001577	29	09-AUG-2012	9	8
0001354488-13-001577	3	01-MAR-2012	6	5
0001354488-13-001577	1	13-JAN-2012	25	21
0001354488-13-001577	16	23-MAR-2012	24	6
0001261763-13-000003	1	31-DEC-2012	0	0
0001410578-13-000088	1		0	0
0001144204-13-018588	1	01-JUN-2012	22	10
0000839287-13-000002	1		0	0
0001451217-13-000004	1		0	0
0000874230-13-000003	1	07-FEB-2012	4883	1569
0000874230-13-000003	2	18-SEP-2012	6303	3788
0001551401-13-000001	1		0	0
0001388002-13-000001	2	05-NOV-2012	90	3
0001388002-13-000001	1	17-JAN-2012	73	0
0001018490-13-000006	2	01-DEC-2012	110	37
0001393905-13-000118	1	04-APR-2012	8	0
0001393905-13-000118	2	05-SEP-2012	189	0
0001462774-13-000001	1		0	0
0001526177-13-000020	1	13-FEB-2013	0	0
0001526177-13-000020	2	26-MAR-2013	0	0
0001018490-13-000006	1	03-FEB-2012	47	10
0000891010-13-000002	1	01-OCT-2012	12	0
0001327356-13-000002	1	31-DEC-2012	0	0
0001007189-13-000003	1	14-MAY-2012	4	3
0000870156-13-000012	1	19-MAR-2013	0	0
0001424912-13-000002	1	27-MAR-2012	1658	490
0000005076-13-000002	3	12-JUL-2012	8470	5841
0000005076-13-000002	2	09-APR-2012	8696	5856
0000005076-13-000002	1	05-JAN-2012	9040	5939
0000005076-13-000002	4	10-OCT-2012	8237	5854
0000883757-13-000002	1	02-NOV-2012	2960	212
0000066756-13-000061	1		0	0
0001445583-13-000002	1	25-MAR-2013	0	0
0000950123-13-001918	2	15-JAN-2013	15	13
0000950123-13-001918	1	11-OCT-2012	24	18
0001227021-13-000008	1	27-MAR-2013	0	0
0000939057-13-000124	1	23-FEB-2012	3	2
0000939057-13-000124	2	21-MAR-2012	3	0
0000854729-13-000002	1	02-MAY-2012	1	0
0000854729-13-000002	2	02-NOV-2012	2	0
0001146230-13-000013	2	04-DEC-2012	106582	83734
0001146230-13-000013	1	06-JUN-2012	71633	53497
0001434234-13-000002	31	03-AUG-2012	3	3
0001434234-13-000002	1	02-JAN-2012	1	0
0001434234-13-000002	2	19-JAN-2012	1	0
0001434234-13-000002	3	30-JAN-2012	1	0
