ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001213900-13-001339	STERLING STOCK TRANSFER, INC.		NO ISSUERS, NOT FAST.	28-FEB-2013	N	N	N	Y
0001527906-13-000001	Skajaquoda Group inc		no transfer agent services being provided.	20-NOV-2011	N	N	N	Y
