ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001352156-09-000004	4	30-APR-2008	40	29
0001352156-09-000004	11	28-NOV-2008	13	6
0001352156-09-000004	10	31-OCT-2008	276	223
0001352156-09-000004	9	30-SEP-2008	184	107
0001352156-09-000004	8	29-AUG-2008	127	56
0001352156-09-000004	1	31-JAN-2008	138	42
0001352156-09-000004	2	28-FEB-2008	267	171
0001352156-09-000004	3	31-MAR-2008	105	74
0001352156-09-000004	12	31-DEC-2008	125	121
0001352156-09-000004	5	30-MAY-2008	145	98
0001352156-09-000004	6	30-JUN-2008	179	99
0001352156-09-000004	7	31-JUL-2008	50	43
0001007444-09-000010	1	31-DEC-2007	0	0
0001114874-09-000003	2	13-AUG-2008	9	3
0001114874-09-000003	1	30-JAN-2008	13	5
0000710386-09-000001	1	31-JUL-2008	10	0
0001128776-09-000004	1		0	0
0001288763-09-000002	1	13-JUN-2008	26204	7776
0001288777-09-000002	1	13-JUN-2008	32583	9287
0000944496-09-000005	18	24-JUN-2008	1	0
0000944496-09-000005	37	23-DEC-2008	1	0
0000944496-09-000005	36	22-DEC-2008	1	1
0000944496-09-000005	1	02-JAN-2008	365	251
0000944496-09-000005	2	03-JAN-2008	325	279
0000944496-09-000005	3	07-JAN-2008	100	64
0000944496-09-000005	4	22-JAN-2008	7	5
0000944496-09-000005	5	25-JAN-2008	7	7
0000944496-09-000005	6	07-FEB-2008	2	1
0000944496-09-000005	7	12-FEB-2008	1	0
0000944496-09-000005	8	29-FEB-2008	10	7
0000944496-09-000005	9	07-MAR-2008	1	1
0000944496-09-000005	10	11-MAR-2008	11	6
0000944496-09-000005	11	12-MAR-2008	9	5
0000944496-09-000005	12	17-MAR-2008	55943	41866
0000944496-09-000005	13	20-MAR-2008	4	4
0000944496-09-000005	14	07-MAY-2008	279150	185312
0000944496-09-000005	15	27-MAY-2008	2	1
0000944496-09-000005	16	28-MAY-2008	57	26
0000944496-09-000005	17	12-JUN-2008	2	0
0000944496-09-000005	19	10-JUL-2008	19	14
0000944496-09-000005	20	11-JUL-2008	3380	2757
0000944496-09-000005	21	14-JUL-2008	22008	18158
0000944496-09-000005	22	15-JUL-2008	21259	18026
0000944496-09-000005	23	16-JUL-2008	179	98
0000944496-09-000005	24	28-JUL-2008	23	12
0000944496-09-000005	25	06-AUG-2008	1	0
0000944496-09-000005	26	25-SEP-2008	2	0
0000944496-09-000005	27	03-OCT-2008	2	1
0000944496-09-000005	28	08-OCT-2008	1	0
0000944496-09-000005	29	22-OCT-2008	3160	2394
0000944496-09-000005	30	28-OCT-2008	1	1
0000944496-09-000005	31	03-NOV-2008	1	0
0000944496-09-000005	32	21-NOV-2008	6	5
0000944496-09-000005	33	08-DEC-2008	370432	254367
0000944496-09-000005	34	09-DEC-2008	2	2
0000944496-09-000005	35	16-DEC-2008	107069	61439
0000950144-09-002780	1	31-DEC-2008	0	0
0000950133-09-000964	1	31-DEC-2008	0	0
0001397852-09-000007	1		0	0
0001390212-09-000005	1		0	0
0001295046-09-000007	1	11-JAN-2009	0	0
0000950144-09-002766	2	25-APR-2008	2	2
0000950144-09-002766	5	23-DEC-2008	3	2
0000950144-09-002766	4	06-MAY-2008	1	1
0000950144-09-002766	3	30-APR-2008	4	3
0000950144-09-002766	1	23-APR-2008	1	1
0000878029-09-000004	1	30-NOV-1999	0	0
0000899635-09-000003	2	01-SEP-2008	2	1
0000899635-09-000003	1	01-MAR-2008	3	1
0000899635-09-000003	3	01-OCT-2008	1	1
0000734924-09-000003	1	16-JAN-2008	3	3
0000734924-09-000003	2	04-MAR-2008	5	5
0000734924-09-000003	5	10-DEC-2008	4	4
0000734924-09-000003	4	28-OCT-2008	5	5
0000734924-09-000003	3	13-JUN-2008	2	2
0000027048-09-000007	56	15-SEP-2008	14	2
0000027048-09-000007	57	22-SEP-2008	767	107
0000027048-09-000007	58	23-SEP-2008	3	0
0000027048-09-000007	59	24-SEP-2008	2	0
0000027048-09-000007	60	10-OCT-2008	489	33
0000027048-09-000007	61	13-OCT-2008	5	0
0000027048-09-000007	62	14-OCT-2008	5	0
0000027048-09-000007	63	15-OCT-2008	90	5
0000027048-09-000007	64	22-OCT-2008	801	151
0000027048-09-000007	65	23-OCT-2008	1	0
0000027048-09-000007	66	24-OCT-2008	1	0
0000027048-09-000007	67	10-NOV-2008	569	148
0000027048-09-000007	68	17-NOV-2008	98	21
0000027048-09-000007	69	24-NOV-2008	1689	198
0000027048-09-000007	70	25-NOV-2008	2	0
0000027048-09-000007	71	26-NOV-2008	1	0
0000027048-09-000007	72	10-DEC-2008	378	72
0000027048-09-000007	73	11-DEC-2008	1	0
0000027048-09-000007	74	15-DEC-2008	97	19
0000027048-09-000007	75	22-DEC-2008	450	70
0000027048-09-000007	76	23-DEC-2008	4	0
0000027048-09-000007	77	24-DEC-2008	4	0
0000027048-09-000007	54	11-SEP-2008	10	0
0000027048-09-000007	55	12-SEP-2008	10	0
0000027048-09-000007	39	24-JUN-2008	12	0
0000027048-09-000007	40	25-JUN-2008	10	0
0000027048-09-000007	41	10-JUL-2008	262	45
0000027048-09-000007	1	10-JAN-2008	495	93
0000027048-09-000007	2	15-JAN-2008	128	37
0000027048-09-000007	3	16-JAN-2008	1	1
0000027048-09-000007	4	17-JAN-2008	80	28
0000027048-09-000007	5	22-JAN-2008	222	66
0000027048-09-000007	6	23-JAN-2008	1	0
0000027048-09-000007	7	24-JAN-2008	1	0
0000027048-09-000007	8	11-FEB-2008	757	197
0000027048-09-000007	9	15-FEB-2008	318	93
0000027048-09-000007	10	19-FEB-2008	215	49
0000027048-09-000007	11	22-FEB-2008	1644	512
0000027048-09-000007	12	25-FEB-2008	3	0
0000027048-09-000007	13	26-FEB-2008	1	0
0000027048-09-000007	14	10-MAR-2008	466	116
0000027048-09-000007	15	11-MAR-2008	1	0
0000027048-09-000007	16	12-MAR-2008	1	0
0000027048-09-000007	17	17-MAR-2008	207	86
0000027048-09-000007	18	24-MAR-2008	853	179
0000027048-09-000007	19	25-MAR-2008	2	1
0000027048-09-000007	20	10-APR-2008	191	42
0000027048-09-000007	21	11-APR-2008	2	0
0000027048-09-000007	22	14-APR-2008	2	0
0000027048-09-000007	23	15-APR-2008	93	16
0000027048-09-000007	24	16-APR-2008	1	0
0000027048-09-000007	25	17-APR-2008	22	4
0000027048-09-000007	26	22-APR-2008	480	114
0000027048-09-000007	27	23-APR-2008	3	0
0000027048-09-000007	28	24-APR-2008	2	0
0000027048-09-000007	29	12-MAY-2008	307	56
0000027048-09-000007	30	15-MAY-2008	80	20
0000027048-09-000007	31	19-MAY-2008	308	65
0000027048-09-000007	32	22-MAY-2008	864	270
0000027048-09-000007	33	23-MAY-2008	5	0
0000027048-09-000007	34	27-MAY-2008	5	0
0000027048-09-000007	35	10-JUN-2008	281	39
0000027048-09-000007	36	16-JUN-2008	12	2
0000027048-09-000007	37	17-JUN-2008	100	19
0000027048-09-000007	38	23-JUN-2008	998	225
0000027048-09-000007	42	15-JUL-2008	204	26
0000027048-09-000007	43	16-JUL-2008	1	0
0000027048-09-000007	44	17-JUL-2008	44	5
0000027048-09-000007	45	22-JUL-2008	713	172
0000027048-09-000007	46	23-JUL-2008	1	0
0000027048-09-000007	47	24-JUL-2008	1	0
0000027048-09-000007	48	11-AUG-2008	1052	215
0000027048-09-000007	49	12-AUG-2008	6	0
0000027048-09-000007	50	13-AUG-2008	6	0
0000027048-09-000007	51	15-AUG-2008	90	21
0000027048-09-000007	52	22-AUG-2008	1720	330
0000027048-09-000007	53	10-SEP-2008	508	89
0000735383-09-000002	3	03-MAR-2008	175	42
0000735383-09-000002	16	03-DEC-2008	499	84
0000735383-09-000002	4	03-APR-2008	83	14
0000735383-09-000002	15	05-NOV-2008	1	0
0000735383-09-000002	14	04-NOV-2008	1	0
0000735383-09-000002	13	03-NOV-2008	137	66
0000735383-09-000002	12	03-OCT-2008	109	51
0000735383-09-000002	11	03-SEP-2008	260	99
0000735383-09-000002	10	04-AUG-2008	297	83
0000735383-09-000002	9	03-JUL-2008	600	191
0000735383-09-000002	8	03-JUN-2008	408	124
0000735383-09-000002	7	05-MAY-2008	333	84
0000735383-09-000002	6	07-APR-2008	1	0
0000735383-09-000002	1	03-JAN-2008	474	139
0000735383-09-000002	2	04-FEB-2008	299	104
0000735383-09-000002	5	04-APR-2008	1	0
0001104659-09-021678	1	09-MAY-2008	3	1
0001104659-09-021678	2	12-MAY-2008	1	1
0000839287-09-000001	5	19-AUG-2008	1	1
0000839287-09-000001	3	07-AUG-2008	2	1
0000839287-09-000001	4	12-AUG-2008	3	0
0000839287-09-000001	1	06-MAR-2008	1	0
0000839287-09-000001	2	05-AUG-2008	4	4
0001204459-09-000541	1	31-DEC-2008	461	270
0000769810-09-000003	1		0	0
0000913801-09-000002	1	01-JAN-2009	0	0
0000939057-09-000102	1	20-OCT-2008	1	0
0001218371-09-000012	1	31-DEC-2008	0	0
0001410382-09-000002	1	30-MAY-2008	905	469
0001077223-09-000005	1	12-DEC-2008	194	162
0001438957-09-000002	1		0	0
0000950133-09-000914	1	31-DEC-2008	0	0
0001397265-09-000003	1	24-OCT-2008	2	0
0001397265-09-000003	3	18-JUN-2008	1	0
0001397265-09-000003	2	08-APR-2008	1	1
0001397265-09-000003	4	29-APR-2008	3	2
0001397444-09-000005	1		0	0
0000854729-09-000002	2	01-MAR-2008	26	0
0000854729-09-000002	1	05-FEB-2008	5	0
0000854729-09-000002	3	14-NOV-2008	28	0
0001370414-09-000002	1	31-DEC-2008	0	0
0001398344-09-000348	1	23-JUN-2008	5	3
0000950134-09-006548	3	07-OCT-2008	4	0
0000950134-09-006548	1	03-APR-2008	6	1
0000950134-09-006548	2	01-JUL-2008	5	1
0001111830-09-000357	1		0	0
0000838141-09-000006	1	18-JAN-2008	9	5
0000838141-09-000006	3	30-SEP-2008	26	0
0000838141-09-000006	2	01-JUL-2008	20	0
0001049169-09-000005	4	30-OCT-2008	1299	141
0001049169-09-000005	2	30-APR-2008	1312	159
0001049169-09-000005	1	14-JAN-2008	1183	90
0001049169-09-000005	3	01-AUG-2008	1166	118
0001104659-09-021576	1	31-DEC-2008	0	0
0001140361-09-008272	1	21-OCT-2008	47	0
0000854922-09-000003	1	24-MAR-2008	73974	50746
0000854922-09-000003	4	27-FEB-2008	478	179
0000854922-09-000003	5	29-AUG-2008	221	81
0000854922-09-000003	6	08-MAY-2008	673	239
0000854922-09-000003	7	27-AUG-2008	8761	4535
0000854922-09-000003	8	22-JUL-2008	7	3
0000854922-09-000003	9	23-JUL-2008	4	4
0000854922-09-000003	10	25-JUL-2008	7	3
0000854922-09-000003	11	29-JUL-2008	173	98
0000854922-09-000003	12	31-JUL-2008	4081	2656
0000854922-09-000003	13	01-AUG-2008	9	3
0000854922-09-000003	14	09-AUG-2008	4968	2525
0000854922-09-000003	15	12-AUG-2008	3796	2006
0000854922-09-000003	16	05-NOV-2008	3257	1149
0000854922-09-000003	17	19-FEB-2008	136	43
0000854922-09-000003	18	25-AUG-2008	130	32
0000854922-09-000003	19	02-JUL-2008	14	0
0000854922-09-000003	20	26-FEB-2008	615	275
0000854922-09-000003	21	21-OCT-2008	459	250
0000854922-09-000003	22	06-JUN-2008	10642	2761
0000854922-09-000003	23	21-FEB-2008	178	68
0000854922-09-000003	24	28-AUG-2008	184	66
0000854922-09-000003	25	17-JUN-2008	6	3
0000854922-09-000003	26	01-APR-2008	115	28
0000854922-09-000003	27	10-OCT-2008	131	20
0000854922-09-000003	28	21-OCT-2008	23	6
0000854922-09-000003	2	02-JUN-2008	1564	855
0000854922-09-000003	3	01-MAY-2008	989	520
0001428661-09-000004	1	30-DEC-2008	0	0
0000019617-09-000586	1	21-MAR-2008	492	342
0000019617-09-000586	2	06-AUG-2008	545	307
0000019617-09-000586	3	13-NOV-2008	431	291
0001302656-09-000005	1	01-JAN-2008	0	0
0000751448-09-000004	1	07-MAY-2008	32532	26331
0000751448-09-000004	2	06-NOV-2008	26874	20144
0001380486-09-000001	1	28-FEB-2008	0	0
0001394641-09-000003	1	01-APR-2008	48	13
0001394641-09-000003	2	01-SEP-2008	49	34
0001133702-09-000005	8	01-AUG-2008	0	0
0001133702-09-000005	6	10-JUN-2008	2315	1686
0001133702-09-000005	10	07-OCT-2008	2398	1783
0001133702-09-000005	11	14-NOV-2008	0	0
0001133702-09-000005	12	10-DEC-2008	11462	9022
0001133702-09-000005	5	15-MAY-2008	1684	1200
0001133702-09-000005	3	11-MAR-2008	1791	1337
0001133702-09-000005	4	07-APR-2008	3604	2792
0001133702-09-000005	9	12-SEP-2008	4380	3359
0001133702-09-000005	7	14-JUL-2008	2340	1758
0001133702-09-000005	2	11-FEB-2008	1960	1520
0001133702-09-000005	1	10-JAN-2008	2920	2264
0000769188-09-000002	4	10-DEC-2008	3914	3122
0000769188-09-000002	3	15-SEP-2008	2907	2329
0000769188-09-000002	2	10-JUN-2008	1688	1226
0000769188-09-000002	1	15-MAR-2008	2253	1553
0000734611-09-000005	6	09-JAN-2008	3	3
0000734611-09-000005	7	10-JAN-2008	2	2
0000734611-09-000005	8	11-JAN-2008	2	2
0000734611-09-000005	9	12-JAN-2008	3	3
0000734611-09-000005	10	14-JAN-2008	2	2
0000734611-09-000005	11	15-JAN-2008	2	2
0000734611-09-000005	12	16-JAN-2008	5	5
0000734611-09-000005	13	18-JAN-2008	13	13
0000734611-09-000005	14	19-JAN-2008	4	4
0000734611-09-000005	15	21-JAN-2008	6	6
0000734611-09-000005	16	22-JAN-2008	3	2
0000734611-09-000005	17	23-JAN-2008	1	1
