ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0000794979-10-000004	Symetra Services Corporation		The assets of the Safeco Mutual Funds were acquired by Pioneer Investment Management in December 2004 and the Safeco Funds, for which Symetra Services Corp. (formerly Safeco Services Corp.) acted as transfer agent, were merged into the Pioneer Funds.	10-DEC-2004	N	N	N	Y
0001319791-10-000007	SYNTEL SOURCING PRIVATE LIMITED	STATE STREET SYNTEL SERVICES PVT LTD (f.k.a Syntel Sourcing Pvt Ltd).	Stoppage of handling processing work with the termination of work by the principal transfer agency company viz., Boston Financial Data Services, Inc.	15-DEC-2009	N	N	N	N
