ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001179706-11-000116	currentAgent								
0001179706-11-000116	directRegistrationSystem								
0001179706-11-000116	dividendAndInterest								
0001179706-11-000116	dividendReinvDirectPurchasePlan								
0001179706-11-000116	transNotMaintMasterSecHolder								
0001179706-11-000116	priorAgent								
0001179706-11-000116	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001179706-11-000116	transMaintainMasterSecHolder								
0001179706-11-000116	notTransMaintMasterSecHolder								
0000746972-11-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000746972-11-000001	transMaintainMasterSecHolder	92.0	3.0	0.0	0.0	0.0	0.0		
0000746972-11-000001	securityHolderAccounts	99.0	1.0	0.0	0.0	0.0	0.0		
0000746972-11-000001	priorAgent							0	0.0
0000746972-11-000001	currentAgent							0	0.0
0000746972-11-000001	dividendReinvDirectPurchasePlan							0	
0000746972-11-000001	dividendAndInterest							4	1077636.49
0000746972-11-000001	directRegistrationSystem							11	
0000746972-11-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000216108-11-000001	transNotMaintMasterSecHolder								
0000216108-11-000001	transMaintainMasterSecHolder								
0000216108-11-000001	securityHolderAccounts								
0000216108-11-000001	priorAgent								
0000216108-11-000001	notTransMaintMasterSecHolder								
0000216108-11-000001	dividendReinvDirectPurchasePlan								
0000216108-11-000001	dividendAndInterest								
0000216108-11-000001	directRegistrationSystem								
0000216108-11-000001	currentAgent								
0000842657-11-000003	notTransMaintMasterSecHolder								
0000842657-11-000003	priorAgent								
0000842657-11-000003	securityHolderAccounts								
0000842657-11-000003	transMaintainMasterSecHolder								
0000842657-11-000003	transNotMaintMasterSecHolder								
0000842657-11-000003	dividendAndInterest								
0000842657-11-000003	directRegistrationSystem								
0000842657-11-000003	currentAgent								
0000842657-11-000003	dividendReinvDirectPurchasePlan								
