ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001096955-08-000005	asServiceCompanyTransferAgent	1	M&I Marshall & Ilsley Bank	085-05143	    
0000909567-08-000752	asServiceCompany	1	Invesco Aim Investment Services, Inc. (former name, AIM Investment Services, Inc.)	084-05432	11 Greenway Plaza Ste 100 Houston  77046
0001352392-08-000100	serviceCompany	1	Continental Stock Transfer	084-00034	17 Battery Place 8th Floor New York  10004
0001283467-08-000002	serviceCompany	1	BNY Trust Company of Canada/ Bank of New York	085-05006	Suite 1101 - 4 King Street West  Toronto  M5H 1B6
0001283467-08-000002	serviceCompany	2	Continental Stock Transfer and Trust Company	084-00034	17 Battery Place  New York  10004
0001283467-08-000002	serviceCompany	3	Registrar and Transfer Company	084-00436	10 Commerce Drive  Cranford  07016
0001170078-08-000012	serviceCompany	1	DST Systems, Inc.	084-00448	333 W 11th Street  Kansas City  64105
0000842657-08-000004	serviceCompany	1	DST Systems	084-00448	333 West 11th St.  Kansas City  64105
0001327398-08-000003	asServiceCompanyTransferAgent	1	SEI Investments Fund Management	084-01318	    
0001327398-08-000003	serviceCompanyTransferAgent	1	Citi Fund Services, Inc.	085-11407	    
0001327398-08-000003	serviceCompanyTransferAgent	2	Citi Fund Services Ohio, Inc.	085-11408	    
0000940394-08-000774	asServiceCompanyTransferAgent	1	PFPC, Inc.	084-01761	    
0001133702-08-000008	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  07152
0001018490-08-000010	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3012  New York  10005-2858
0000950137-08-007455	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	2 Heritage Drive  North Quincy  02171
0001170078-08-000011	serviceCompany	1	DST Systems, Inc.	084-00448	333 W 11th Street  Kansas City  64105
0001075795-08-000004	asServiceCompany	1	X-Pedited Transfer Corporation	084-06248	535 16th Street Suite 810 Denver  80202
0001242588-08-000009	serviceCompany	1	The Bank of New York	085-05006	One Wall Street  New York  10286
0000909567-08-000517	asServiceCompany	1	Invesco Aim Investment Services, Inc. (former name, AIM Investment Services, Inc.)	084-05432	11 Greenway Plaza Ste 100 Houston  77046
0000839287-08-000003	asServiceCompanyTransferAgent	1	Russell Investment Management Company	084-01626	    
0000839287-08-000003	asServiceCompanyTransferAgent	2	Goldman Sachs & Co.	084-01100	    
0000839287-08-000003	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc	084-00896	    
0000839287-08-000003	serviceCompanyTransferAgent	2	Computershare Shareholder Services, Inc	084-05925	    
0000839287-08-000003	serviceCompanyTransferAgent	3	DST Systems, Inc	084-00448	    
0000839287-08-000003	serviceCompanyTransferAgent	4	DWS Scudder Investment Service Company	084-01713	    
0000839287-08-000003	serviceCompanyTransferAgent	5	LM Fund Services, Inc	084-05871	    
0000839287-08-000003	serviceCompanyTransferAgent	6	National Financial Data Services	084-01078	    
0000839287-08-000002	asServiceCompanyTransferAgent	1	Frank Russell Investment Management Company	084-01626	    
0000839287-08-000002	asServiceCompanyTransferAgent	2	Goldman Sachs & Co.	084-01100	    
0000839287-08-000002	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc	084-00896	    
0000839287-08-000002	serviceCompanyTransferAgent	2	Computershare Shareholder Services, Inc	084-05925	    
0000839287-08-000002	serviceCompanyTransferAgent	3	DST Systems, Inc	084-00448	    
0000839287-08-000002	serviceCompanyTransferAgent	4	Scudder Investments Service Company	084-01713	    
0000839287-08-000002	serviceCompanyTransferAgent	5	LM Fund Services, Inc	084-05871	    
0000839287-08-000002	serviceCompanyTransferAgent	6	National Financial Data Services	084-01078	    
0001419454-08-000009	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  01752
0000216108-08-000002	serviceCompanyTransferAgent	1	Citi Fund Services Ohio, Inc.	085-11408	    
0001359599-08-000007	asServiceCompany	1	Pioneer Investment Management Shareholder Services Inc.	084-01359	60 State Street  Boston  02109
0001170078-08-000010	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0001170078-08-000009	serviceCompany	1	DST Systems, Inc.	084-00448	333 W 11th Street  Kansas City  64105
0000862124-08-000004	asServiceCompany	1	Citibank N.A.	085-10232	111 Wall Street  New York  10043
0000862124-08-000004	serviceCompany	1	National Financial Services, LLC	084-05888	200 Liberty Street  New York  10281
0000862124-08-000004	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore  560071
0001133702-08-000007	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	300 Puritan Way  Marlborough  07152
0001137439-08-000221	asServiceCompany	1	Franklin Templeton Investor Services, LLC	084-01036	3344 Quality Drive  Rancho Cordova  95670
0001137439-08-000220	asServiceCompany	1	Franklin Templeton Investor Services, LLC	084-01036	3344 Quality Drive  Rancho Cordova  95670
0000027048-08-000010	asServiceCompanyTransferAgent	1	Thrivent Financial Investor Services, Inc.	084-01547	    
0000027048-08-000010	asServiceCompanyTransferAgent	2	State Street Bank & Trust Company	085-05003	    
0000027048-08-000010	asServiceCompanyTransferAgent	3	DWS Scudder Investments Service Company	084-01713	    
0000027048-08-000010	asServiceCompanyTransferAgent	4	Van Kampen Investor Services, Inc.	084-01621	    
0000027048-08-000010	asServiceCompanyTransferAgent	5	State Farm Investment Management Corp.	084-00839	    
0000027048-08-000010	asServiceCompanyTransferAgent	6	Dreyfus Transfer Inc.	085-11312	    
0000027048-08-000010	asServiceCompanyTransferAgent	7	Delaware Service Company, Inc.	084-01640	    
0000027048-08-000010	asServiceCompanyTransferAgent	8	AEGON/Transamerica Investor Services, Inc.	084-06130	    
0000027048-08-000010	asServiceCompanyTransferAgent	9	American Century Services, LLC	084-01406	    
0000027048-08-000010	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0000027048-08-000010	serviceCompanyTransferAgent	2	National Financial Data Services, Inc.	084-01078	    
0001359599-08-000006	asServiceCompany	1	Pioneer Investment Management Shareholder Services Inc.	084-01359	60 State Street  Boston  02109
0000896852-08-000004	serviceCompany	1	Primerica Shareholder Services, Inc.	084-01499	3120 Breckenridge Blvd  Duluth  30099-0001
0000896852-08-000004	serviceCompany	2	AIM Funds Management Inc./Gestion de Fonds AIM Inc., doing business as INVESCO Enterprise Services / Services Entreprise INVESCO	084-06210	5140 Youge Street Suite 900  Toronto  m2n 6x7
0001079974-08-000398	serviceCompany	1	First American Stock Transfer, Inc.	084-05795	706 E. Bell Road, Suite 202  Phoenix  85022
0001079974-08-000398	serviceCompany	2	Continental Stock Transfer & Trust Co.	084-00034	17th Battery Place 8th Floor New York  10004
0001145893-08-000005	asServiceCompanyTransferAgent	1	U.S. Bank Trust National Association	085-11299	    
0001145893-08-000005	asServiceCompanyTransferAgent	2	State Street Bank and Trust Company	085-05003	    
0001145893-08-000005	asServiceCompanyTransferAgent	3	National City Bank of Indiana	085-10094	    
0001145893-08-000005	asServiceCompanyTransferAgent	4	Law Debenture Trust Company of New York	084-06087	    
0001145893-08-000005	asServiceCompanyTransferAgent	5	Wachovia Bank National Association	085-10173	    
0001145893-08-000005	asServiceCompanyTransferAgent	6	SunTrust Bank	085-05123	    
0001145893-08-000005	asServiceCompanyTransferAgent	7	Bank of Oklahoma National Association	085-10438	    
0001145893-08-000005	asServiceCompanyTransferAgent	8	Commerce Bank National Association	085-10700	    
0001145893-08-000005	serviceCompanyTransferAgent	1	U.S. Bank Trust National Association	085-11299	    
0001145893-08-000005	serviceCompanyTransferAgent	2	SunTrust Bank	085-05123	    
0001145893-08-000005	serviceCompanyTransferAgent	3	LaSalle Bank National Association	085-10189	    
0000027048-08-000009	asServiceCompany	1	Thrivent Financial Investor Services, Inc.	084-01547	4321 N Ballard Rd  Appleton  54919
0000027048-08-000009	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston  02111-2900
0000027048-08-000009	asServiceCompany	3	DWS Scudder Investments Service Company	084-01713	222 South Riverside Plaza  Chicago  60606
0000027048-08-000009	asServiceCompany	4	Van Kampen Investor Services, Inc.	084-01621	Harborside Financial Center Plaza 2, 3rd Floor Jersey City  07311
0000027048-08-000009	asServiceCompany	5	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington  61709
0000027048-08-000009	asServiceCompany	6	Dreyfus Transfer Inc.	085-11312	200 Park Ave  New York  10166
0000027048-08-000009	asServiceCompany	7	Delaware Service Company, Inc.	084-01640	2005 Market Street  Philadelphia  19103
0000027048-08-000009	asServiceCompany	8	AEGON/Transamerica Investor Services, Inc.	084-06130	AEGON Purchase Processing 570 Carillon Parkway St Petersburg  33716
0000027048-08-000009	asServiceCompany	9	American Century Services, LLC	084-01406	4500 Main Street  Kansas City  64111
0000027048-08-000009	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	One American Express Plaza  Providence  02903
0000027048-08-000009	serviceCompany	2	Boston Financial Data Services, Inc.	084-00896	Two Heritage Drive  N Quincy  02171
0000027048-08-000009	serviceCompany	3	National Financial Data Services, Inc.	084-01078	330 west 9th Street  Kansas City  64105
0000230234-08-000002	serviceCompanyTransferAgent	1	J.P. Morgan Trust Company, National Association	085-11351	    
0000852983-08-000002	asServiceCompanyTransferAgent	1	Mellon Trust of New England, N.A.	085-11395	    
0000852983-08-000002	serviceCompanyTransferAgent	1	The Bank of New York	085-05006	    
0001050311-08-000002	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0000735180-08-000004	serviceCompanyTransferAgent	1	Wells Fargo Bank, NA	085-10221	    
0001146032-08-000005	serviceCompanyTransferAgent	1	Transfer Agent PFPC, Inc.	084-01761	    
0000821007-08-000004	serviceCompany	1	Boston Financial Data Services	084-00896	2 Heritage Drive  Quincy  02171
0000839287-08-000001	asServiceCompanyTransferAgent	1	Goldman Sachs & Co.	084-01100	    
0000854729-08-000003	asServiceCompanyTransferAgent	1	UMB Bank & Trust, National Association	085-11314	    
0000839287-08-000001	asServiceCompanyTransferAgent	2	Russell Investment Management Company	084-01626	    
0000839287-08-000001	asServiceCompanyTransferAgent	3	Vantagepoint Transfer Agents, LLC	084-05796	    
0000839287-08-000001	asServiceCompanyTransferAgent	4	Evergreen Service Company	084-01571	    
0000839287-08-000001	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0000839287-08-000001	serviceCompanyTransferAgent	2	DST Systems, Inc	084-00448	    
0000839287-08-000001	serviceCompanyTransferAgent	3	National Financial Data Services, Inc.	084-01078	    
0000839287-08-000001	serviceCompanyTransferAgent	4	Computershare Shareholder Services, Inc	084-05925	    
0000839287-08-000001	serviceCompanyTransferAgent	5	DWS Scudder Investment Services Corp.	084-01713	    
