ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001393905-20-000095	1	31-DEC-2019	1	0
0000839196-20-000001	3	16-MAY-2019	1	1
0000839196-20-000001	6	20-OCT-2019	7	3
0000839196-20-000001	1	21-MAR-2019	2	2
0000839196-20-000001	2	16-APR-2019	1	0
0000839196-20-000001	4	07-OCT-2019	1	1
0000839196-20-000001	5	20-DEC-2019	135	17
0001090027-20-000002	1	31-DEC-2019	160	137
0001683168-20-001043	1	31-DEC-2019	0	0
0000024179-20-000001	2	22-OCT-2019	2266	1651
0000024179-20-000001	1	14-MAY-2019	2597	1165
0001146032-20-000001	1	31-JAN-2019	9	2
0001146032-20-000001	2	31-MAY-2019	10	1
0001146032-20-000001	3	31-JUL-2019	161	19
0001146032-20-000001	4	30-AUG-2019	94	7
0001146032-20-000001	5	30-SEP-2019	39	3
0001146032-20-000001	8	31-DEC-2019	12	0
0001146032-20-000001	6	31-OCT-2019	270	5
0001146032-20-000001	7	29-NOV-2019	21	0
0001146230-20-000004	1	04-JUN-2019	82147	61859
0001146230-20-000004	2	06-DEC-2019	158347	124072
0001202048-20-000011	1	12-MAR-2019	19294	14514
0001202048-20-000011	3	11-SEP-2019	18136	14077
0001202048-20-000011	4	12-DEC-2019	18675	17634
0001202048-20-000011	2	07-JUN-2019	19222	18202
0001085284-20-000001	2	26-APR-2019	19	2
0001085284-20-000001	1	11-MAR-2019	17	3
0001413398-20-000004	1	12-MAR-2019	0	0
0001413398-20-000004	2	14-MAY-2019	0	0
0001413398-20-000004	3	10-JUL-2019	0	0
0001413398-20-000004	6	11-DEC-2019	0	0
0001413398-20-000004	5	13-NOV-2019	0	0
0001413398-20-000004	4	11-SEP-2019	0	0
0001010549-20-000054	5	23-DEC-2019	132	53
0001010549-20-000054	2	04-APR-2019	205	82
0001010549-20-000054	3	22-JUL-2019	35	10
0001010549-20-000054	4	30-SEP-2019	59	25
0001010549-20-000054	1	02-JAN-2019	366	92
0001434234-20-000001	9	03-JUN-2019	3	3
0001434234-20-000001	7	28-MAY-2019	2	2
0001434234-20-000001	11	18-JUN-2019	4	4
0001434234-20-000001	12	21-JUN-2019	2	2
0001434234-20-000001	13	25-JUN-2019	2	1
0001434234-20-000001	14	01-JUL-2019	2	2
0001434234-20-000001	15	04-SEP-2019	5	5
0001434234-20-000001	16	05-SEP-2019	1	1
0001434234-20-000001	17	06-SEP-2019	1	1
0001434234-20-000001	18	11-SEP-2019	1	1
0001434234-20-000001	19	12-SEP-2019	1	1
0001434234-20-000001	20	13-SEP-2019	1	1
0001434234-20-000001	21	16-SEP-2019	1	1
0001434234-20-000001	22	15-OCT-2019	1	1
0001434234-20-000001	23	22-OCT-2019	1	1
0001434234-20-000001	24	24-OCT-2019	1	0
0001434234-20-000001	25	25-OCT-2019	1	1
0001434234-20-000001	26	11-NOV-2019	2	2
0001434234-20-000001	27	12-NOV-2019	3	3
0001434234-20-000001	28	29-NOV-2019	1	1
0001434234-20-000001	29	02-DEC-2019	1	1
0001434234-20-000001	6	24-MAY-2016	3	2
0001434234-20-000001	5	20-MAY-2019	1	1
0001434234-20-000001	4	22-APR-2019	3	1
0001434234-20-000001	3	09-APR-2019	3	3
0001434234-20-000001	2	18-MAR-2019	1	1
0001434234-20-000001	1	17-JAN-2019	3	3
0001434234-20-000001	8	12-JUN-2019	2	2
0001434234-20-000001	10	14-JUN-2019	1	1
0000848027-20-000002	1		0	0
0001721868-20-000164	1	18-DEC-2019	14931	4666
0001721868-20-000163	1	31-DEC-2019	0	0
0000839097-20-000001	1		0	0
0001736356-20-000001	1	31-DEC-2019	0	0
