ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0000849542-18-000007	asServiceCompany	1	Prudential Mutual Fund Services, LLC	084-05681	100 Mulberry Street Gateway Center III Newark NJ 07102
0000849542-18-000007	asServiceCompany	2	Banco Santander Puerto Rico	085-00818	207 Ponce De Leon Ave.  San Juan PR 00918
0000849542-18-000007	asServiceCompany	3	USAA Transfer Agency Company, dba USAA Shareholder Account Services	084-01197	9800 Fredericksburg Rd.  San Antonio TX 78288
0000849542-18-000007	asServiceCompany	4	The Bank of New York Mellon	085-05006	240 Greenwich Street  New York NY 10286
0000849542-18-000007	asServiceCompany	5	Banco Popular de Puerto Rico	085-05510	209 Munoz Rivera Avenue  San Juan PR 00936
0000849542-18-000007	asServiceCompany	6	Virtus Fund Services, LLC	084-06485	101 Munson Street, Ste 104  Greenfield MA 01301
0000849542-18-000007	asServiceCompany	7	Delaware Investments Fund Services Company	084-06512	2005 Market Street  Philadelphia PA 19103
0000849542-18-000007	asServiceCompany	8	Dreyfus Transfer, Inc.	084-06102	144 Glenn Curtiss Boulevard  Uniondale NY 11556-0144
0000849542-18-000007	serviceCompany	1	Computershare Inc.	084-05925	250 Royall Street  Canton MA 02021
0000849542-18-000007	serviceCompany	2	BNY Mellon International Operations (India) Private Limited	084-06496	L1 Tower S-3, Cybercity, Magarpatta City Hadapsar Pune K7 411013
0001667731-18-000294	serviceCompany	1	Direct Transfer, LLC	084-06338	500 Perimeter Park Drive Suite D Morrisville NC 27560
0001667731-18-000294	serviceCompany	2	VStock Transfer, LLC	084-06380	77 Spruce Street Suite 201 Cedarhursty NY 11516
0001667731-18-000294	serviceCompany	3	Island Capital Management, LLC	084-06085	100 2nd Avenue South Suite 705S St Petersburgh FL 33701
0000027048-18-000007	asServiceCompany	1	Thrivent Financial Investor Services, Inc.	084-01547	4321 N Ballard Rd  Appleton WI 54919
0000027048-18-000007	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston MA 02111-2900
0000027048-18-000007	asServiceCompany	3	DWS Service Co.	084-01713	222 South Riverside Plaza  Chicago IL 60606
0000027048-18-000007	asServiceCompany	4	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington IL 61709
0000027048-18-000007	asServiceCompany	5	Transamerica Fund Services, Inc.	084-06130	1801 California St Suite 5200 Denver CO 80202
0000027048-18-000007	asServiceCompany	6	American Century Services, LLC	084-01406	4500 Main Street  Kansas City MO 64111
0000027048-18-000007	asServiceCompany	7	Goldman, Sachs & Co. LLC	084-01100	71 South Wacker Drive Suite 400 Chicago IL 60606
0000027048-18-000007	asServiceCompany	8	OFI Global Asset Management, Inc.	084-06477	6803 South Tucson Way  Centennial CO 80112
0000027048-18-000007	serviceCompany	1	DST Asset Manager Solutions Inc.	084-00896	2000 Crown Colony Dr  Quincy MA 02169
0000027048-18-000007	serviceCompany	2	DST Worldwide Services India Private Limited	084-06342	5th Floor, Block B, Q City Nanakramguda, Gachibowli Hyderabad K7 500032
0001654954-18-013836	serviceCompany	1	ClearTrust, LLC	084-06351	16540 Point Village Dr. Suite 205 Lutz FL 33558
0000735286-18-000009	asServiceCompany	1	Ascensus College Savings Recordkeeping Services, LLC.	084-06488	95 Wells Avenue Suite 160 Newton MA 02459
0001018490-18-000017	asServiceCompany	1	Deutsche Bank National Trust Company	085-11220	1999 Avenue of the Stars, Ste. 3750  Los Angeles CA 90067
0001018490-18-000017	asServiceCompany	2	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street Mail Stop NYC60-1635 New York NY 10005-2836
0000842657-18-000025	serviceCompany	1	DST Systems, Inc.	084-00448	333 West 11th Street  Kansas City MO 64105
0001573302-18-000006	asServiceCompanyTransferAgent	1	Computershare US.	084-05925	    
0001573302-18-000006	asServiceCompanyTransferAgent	2	Continental Stock Transfer	084-00034	    
0001573302-18-000006	asServiceCompanyTransferAgent	3	Island Stock Transfer	084-06085	    
0001573302-18-000006	asServiceCompanyTransferAgent	4	Wells Fargo	085-10133	    
0001573302-18-000006	asServiceCompanyTransferAgent	5	Corporate Stock Transfer	084-01356	    
0001573302-18-000006	asServiceCompanyTransferAgent	6	Philadelphia Stock Transfer, Inc.	084-06456	    
0001573302-18-000006	asServiceCompanyTransferAgent	7	Transfer Online Inc.	084-05808	    
0001573302-18-000006	asServiceCompanyTransferAgent	8	Transhare Securities Transfer and Registrar	084-06143	    
0001573302-18-000006	serviceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC (AST)	084-00416	    
0001573302-18-000006	serviceCompanyTransferAgent	2	Broadridge Corporate Issuer Solutions Inc.	084-01007	    
0001573302-18-000006	serviceCompanyTransferAgent	3	Computershare US.	084-05925	    
0001573302-18-000006	serviceCompanyTransferAgent	4	Continental Stock Transfer	084-01356	    
0001573302-18-000006	serviceCompanyTransferAgent	5	Globex Transfer LLC.	084-06307	    
0001573302-18-000006	serviceCompanyTransferAgent	6	Island Stock Transfer	084-06085	    
0001573302-18-000006	serviceCompanyTransferAgent	7	Pacific Stock Transfer Company	084-001145	    
0001573302-18-000006	serviceCompanyTransferAgent	8	VStock Transfer, LLC	084-06380	    
0001573302-18-000006	serviceCompanyTransferAgent	9	Worldwide Stock Transfer LLC.	084-06153	    
0001573302-18-000006	serviceCompanyTransferAgent	10	Corporate Stock Transfer	084-01356	    
0000913181-18-000004	asServiceCompany	1	Gemini Fund Services	084-06083	4020 S 147th Street  Omaha NE 68137
0001557183-18-000007	serviceCompany	1	The Vanguard Group, Inc.	084-00772	100 Vanguard Boulevard V26 Malvern PA 19355-2900
0001170078-18-000005	serviceCompany	1	DST Asset Manager Solutions, Inc. /TA	084-00896	430 W 7th Street Suite #219109 Kansas City MO 64105-1407
0000276398-18-000016	asServiceCompany	1	OFI Global Asset Management, Inc.	084-06477	6803 South Tucson Way  Centennial CO 80112
0001018490-18-000015	asServiceCompany	1	Deutsche Bank National Trust Company	085-11220	1999 Avenue of the Stars, Ste. 3750  Los Angeles CA 90067
0001018490-18-000015	asServiceCompany	2	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street Mail Stop NYC60-1635 New York NY 10005-2836
0001511164-18-000610	asServiceCompany	1	TSX Trust Company	084-06502	200 University Avenue, Suite 300  Toronto A6 M5H 4H1
0001511164-18-000610	asServiceCompany	2	Alliance Trust Company	084-61131	#1010, 407 2nd Street SW  Calgary A0 T2P 2Y3
0000842657-18-000023	serviceCompany	1	DST Systems, Inc.	084-00448	333 West 11th Street  Kansas City MO 64105
0000275143-18-000014	asServiceCompany	1	Goldman Sachs & Company LLC	084-01100	71 S. Wacker Drive Ste 500 Chicago IL 60606
0000275143-18-000014	asServiceCompany	2	Weitz Investment Management, Inc.	084-01858	1125 S. 103rd Street  Omaha NE 68124
0000275143-18-000014	asServiceCompany	3	NYLIM Service Company LLC	084-05844	30 Hudson Street  Jersey City NJ 07302
0000275143-18-000014	asServiceCompany	4	Columbia Management Investment Services Corp.	084-05685	225 Franklin Street 25th Floor Boston MA 02110
0000275143-18-000014	asServiceCompany	5	Principal Shareholder Services, Inc.	084-05657	620 COOLIDGE DR SUITE 300 FOLSOM CA 95630-3183
0000275143-18-000014	asServiceCompany	6	MFS Service Center, Inc.	084-01316	111 HUNTINGTON AVENUE  BOSTON MA 02199
0000275143-18-000014	asServiceCompany	7	Transamerica Fund Services, Inc.	084-06130	1801 California Street Suite 5200  Denver CO 80202
0000275143-18-000014	asServiceCompany	8	John Hancock Signature Services, Inc.	084-01885	380 Stuart Street  Boston MA 02116
0000275143-18-000014	asServiceCompany	9	Hartford Administrative Services Company	084-00353	690 LEE ROAD  WAYNE PA 19087
0000275143-18-000014	asServiceCompany	10	Citibank, N.A.	085-10232	388 Greenwich St  New York NY 10013
0000275143-18-000014	asServiceCompany	11	Russell Investments Fund Services, LLC	084-06276	1301 SECOND AVENUE, 18TH FLOOR  SEATTLE WA 98101
0000275143-18-000014	asServiceCompany	12	State Street Bank and Trust Company	085-05003	One Lincoln Street  Boston MA 02111-2900
0000275143-18-000014	asServiceCompany	13	DST Systems, Inc.	084-00448	210 W 10TH ST  Kansas City MO 64105
0000275143-18-000014	serviceCompany	1	DST Systems, Inc.	084-00448	333 W. 11th Street  Kansas City MO 64105
0001452780-18-000004	asServiceCompany	1	DST Systems, Inc.	084-00448	210 W 10th Street  Kansas City MO 64105
0001559963-18-000005	asServiceCompany	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough MA 01581
0001559963-18-000005	asServiceCompany	2	The Bank of New York Mellon	085-05006	240 Greenwich Street  New York NY 10286-0001
0000849542-18-000006	asServiceCompany	1	Prudential Mutual Fund Services, LLC	084-05681	100 Mulberry Street Gateway Center III Newark NJ 07102
0000849542-18-000006	asServiceCompany	2	Banco Santander Puerto Rico	085-00818	207 Ponce De Leon Ave.  San Juan PR 00918
0000849542-18-000006	asServiceCompany	3	USAA Transfer Agency Company, dba USAA Shareholder Account Services	084-01197	9800 Fredericksburg Rd.  San Antonio TX 78288
0000849542-18-000006	asServiceCompany	4	The Bank of New York Mellon	085-05006	240 Greenwich Street  New York NY 10286
0000849542-18-000006	asServiceCompany	5	Banco Popular de Puerto Rico	085-05510	209 Munoz Rivera Avenue  San Juan PR 00936
0000849542-18-000006	asServiceCompany	6	Virtus Fund Services, LLC	084-06485	101 Munson Street, Ste 104  Greenfield MA 01301
0000849542-18-000006	asServiceCompany	7	Delaware Investments Fund Services Company	084-06512	2005 Market Street  Philadelphia PA 19103
0000849542-18-000006	asServiceCompany	8	Dreyfus Transfer, Inc.	084-06102	144 Glenn Curtiss Boulevard  Uniondale NY 11556-0144
0000849542-18-000006	serviceCompany	1	Computershare Inc.	084-05925	250 Royall Street  Canton MA 02021
0000849542-18-000006	serviceCompany	2	BNY Mellon International Operations (India) Private Limited	084-06496	L1 Tower S-3, Cybercity, Magarpatta City Hadapsar Pune K7 411013
0000071138-18-000003	asServiceCompany	1	Odyssey Trust Co	084-06568	835 - 409 Granville Street  Vancouver A1 V6C1T2
0000071138-18-000003	asServiceCompany	2	Sedona Equity Registrar & Transfer, Inc.	084-06562	12601 N Cave Creek Road Suite 118 Phoenix AZ 85022
0000810704-18-000002	asServiceCompany	1	BNY Mellon Investments Servicing (US) Inc. fka PNC Global Investment Services, Inc.	084-01761	400 Bellevue Parkway  Wilmington DE 19809
0000810704-18-000002	asServiceCompany	2	Pioneer Investment Management Shareholder Services	084-01359	60 State Street  Boston MA 02109
0000810704-18-000002	asServiceCompany	3	American Century Services, LLC	084-01406	4500 Main Street  Kansas City MO 64111
0000810704-18-000002	asServiceCompany	4	Invesco Investment Services Inc	084-05432	Greenway Plaza Ste. 100  Houston TX 77046
0000810704-18-000002	asServiceCompany	5	Franklin Templeton Investor Services, LLC	084-01036	3344 Quality Drive  Rancho Cordova CA 95670
0000817712-18-000010	serviceCompany	1	DST Systems, Inc.	084-00448	301 W. 11th Street  Kansas City MO 64105
