ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0000740583-16-000458	1	09-FEB-2015	1703	154
0000740583-16-000458	2	27-MAY-2015	1451	362
0000740583-16-000458	3	16-SEP-2015	1431	51
0000838041-16-000003	1	10-DEC-2014	1	0
0001227021-16-000019	1		0	0
0001372934-16-000004	1	31-DEC-2015	0	0
0000878605-16-000008	1	06-JAN-2015	2	0
0000878605-16-000008	2	01-SEP-2015	6	2
0001347211-16-000016	1	19-NOV-2015	2	0
0001548233-16-000006	1		0	0
0001144204-16-095262	1	01-JAN-2015	0	0
0000882734-16-000008	1	26-MAY-2015	53	0
0001548847-16-000015	1		0	0
0001455353-16-000005	2	21-AUG-2015	12	1
0001455353-16-000005	1	31-MAR-2015	30	0
0001359797-16-000004	1		0	0
0000842517-16-000243	1	20-JAN-2015	1	1
0000842517-16-000243	2	26-MAY-2015	2	2
0001550840-16-000006	1		0	0
0000818238-16-000003	1	17-FEB-2015	201	2
0000818238-16-000003	2	22-APR-2015	221	6
0000818238-16-000003	3	01-JUL-2015	222	5
0000818238-16-000003	4	15-SEP-2015	238	1
0001410578-16-000767	1		0	0
0001114874-16-000002	2	29-OCT-2015	3	1
0001114874-16-000002	1	24-MAR-2015	8	1
0001018490-16-000035	3	05-MAR-2015	0	0
0001018490-16-000035	4	05-APR-2015	1	1
0001018490-16-000035	5	05-MAY-2015	4	0
0001018490-16-000035	6	05-JUN-2015	0	0
0000839287-16-000008	15	22-JUN-2015	1	1
0001018490-16-000035	8	05-AUG-2015	6	2
0001018490-16-000035	9	05-SEP-2015	1	0
0001018490-16-000035	10	05-OCT-2015	2	1
0001018490-16-000035	11	05-NOV-2015	2	2
0001018490-16-000035	12	09-DEC-2015	5	1
0000839287-16-000008	1	16-JAN-2015	1	0
0000839287-16-000008	2	05-MAR-2015	1	1
0000839287-16-000008	3	09-MAR-2015	3	3
0000839287-16-000008	4	23-MAR-2015	1	0
0000839287-16-000008	5	26-MAR-2015	1	1
0000839287-16-000008	6	30-MAR-2015	2	2
0000839287-16-000008	7	28-MAY-2015	1	1
0000839287-16-000008	8	29-MAY-2015	1	0
0000839287-16-000008	9	03-JUN-2015	3	3
0000839287-16-000008	10	09-JUN-2015	3	3
0000839287-16-000008	11	10-JUN-2015	1	1
0000839287-16-000008	12	15-JUN-2015	2	2
0000839287-16-000008	13	17-JUN-2015	2	2
0000839287-16-000008	14	18-JUN-2015	1	1
0001018490-16-000035	2	05-FEB-2015	1	1
0001018490-16-000035	1	07-JAN-2015	10	2
0001133796-16-000226	4	14-OCT-2015	440	194
0001133796-16-000226	3	07-APR-2015	227	0
0001133796-16-000226	2	26-MAR-2015	246	80
0001133796-16-000226	1	23-FEB-2015	5	6
0000839287-16-000008	27	20-AUG-2015	1	1
0000839287-16-000008	26	12-AUG-2015	2	2
0000839287-16-000008	25	03-AUG-2015	1	1
0000839287-16-000008	24	28-JUL-2015	2	2
0000839287-16-000008	23	27-JUL-2015	1	1
0000839287-16-000008	22	23-JUL-2015	2	2
0000839287-16-000008	21	21-JUL-2015	3	3
0000839287-16-000008	20	15-JUL-2015	1	1
0000839287-16-000008	19	01-JUL-2015	2	2
0000839287-16-000008	18	30-JUN-2015	1	1
0000839287-16-000008	17	26-JUN-2015	2	2
0000839287-16-000008	16	25-JUN-2015	1	1
0001018490-16-000035	7	05-JUL-2015	3	3
