ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0000788603-18-000005	tawSuccessors	1	DST Asset Manager Solutions, Inc.	Y	2000 Crown Colony Drive  Quincy MA 02169
0000788603-18-000005	tawRegistrant	1	NATIONAL FINANCIAL DATA SERVICES INC /TA		330 W. 9th Street  Kansas City MO 64105
0000788603-18-000005	tawCustodians	1	DST Asset Manager Solutions, Inc.		2000 Crown Colony Drive  Quincy MA 02169
0001387131-18-001234	tawRegistrant	1	KENMAR PREFERRED INVESTMENTS, L.P. /TA		680 Fifth Avenue  New York NY 10019
0001387131-18-001234	tawCustodians	1	Kenmar Preferred Investments, LLC		680 Fifth Avenue  New York NY 10019
0001387131-18-001234	tawSuccessors	1	Gemini Fund Services, LLC	Y	17605 Wright Street, Suite 2  Omaha NE 68130
0001667731-18-000086	tawRegistrant	1	SWIFT CAPITAL PARTNERS, LLC.		8250 West Charleston Blvd #120  Las Vegas NV 89117
0000735407-18-000002	tawRegistrant	1	MADISON GAS & ELECTRIC CO /TA		133 South Blair Street  Madison WI 53708
0000735407-18-000002	tawSuccessors	1	Computershare Trust Company, N.A.	Y	250 Royall Street  Canton MA 02021
0001664675-18-000001	tawRegistrant	1	99 Administration Inc		623 E Ft Union Blvd Suite 101 Midvale UT 84047
0001686742-18-000001	tawRegistrant	1	Sumitomo Mitsui Trust Bank (U.S.A.) Ltd.		111 River Street  Hoboken NJ 07030
