ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001062993-22-015013	1	29-DEC-2021	11163	1505
0001465533-22-000004	1		0	0
0001465533-22-000002	1		0	0
0001667731-22-000234	1	31-DEC-2021	0	0
0001830271-22-000001	1	23-MAY-2022	0	0
0001492746-22-000007	1	31-DEC-2020	0	0
0000733598-22-000002	12	10-DEC-2021	39	14
0000733598-22-000002	11	10-NOV-2021	46	16
0000733598-22-000002	10	11-OCT-2021	62	14
0000733598-22-000002	9	10-SEP-2021	24	3
0000733598-22-000002	8	10-AUG-2021	32	0
0000733598-22-000002	7	12-JUL-2021	15	2
0000733598-22-000002	6	10-JUN-2021	58	9
0000733598-22-000002	5	10-MAY-2021	24	2
0000733598-22-000002	4	12-APR-2021	21	2
0000733598-22-000002	3	10-MAR-2021	35	5
0000733598-22-000002	2	10-FEB-2021	34	7
0000733598-22-000002	1	11-JAN-2021	24	8
0001099910-22-000079	1	31-DEC-2021	0	0
0001323210-22-000001	1	28-APR-2022	0	0
0001718015-22-000005	1	16-SEP-2021	1744	387
0000025728-22-000004	1	01-APR-2021	137	12
0000950123-22-004018	1	31-DEC-2019	0	0
0001352675-22-000003	1	31-MAR-2022	0	0
0000920888-22-000004	1	31-DEC-2020	0	0
0000920888-22-000003	1	31-DEC-2019	0	0
0001771881-22-000001	1	18-MAR-2021	302	266
0001771881-22-000001	2	26-OCT-2021	303	268
0001716848-22-000006	1	01-APR-2022	0	0
0001716848-22-000003	1	01-APR-2022	0	0
0001716848-22-000005	1	01-APR-2022	0	0
0001881971-22-000002	1	01-SEP-2021	2	2
0001853914-22-000003	1	31-MAR-2022	0	0
0001903596-22-000132	1	04-MAY-2021	670	53
0001822070-22-000001	1	31-DEC-2021	0	0
0001090027-22-000002	1	31-DEC-2021	427	390
0000950123-22-003718	1	15-OCT-2021	1	0
0001903596-22-000132	2	17-DEC-2021	1126	63
