ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001644506-19-000004	1	07-JUN-2018	8	7
0001644506-19-000004	2	24-APR-2018	2	1
0000950123-19-005816	3	30-SEP-2017	23	15
0000950123-19-005816	4	31-DEC-2017	26	18
0000950123-19-005817	2	30-JUN-2018	12	9
0000950123-19-005817	3	30-SEP-2018	12	10
0000950123-19-005817	4	30-DEC-2018	11	6
0000950123-19-005816	2	30-JUN-2017	18	12
0000950123-19-005816	1	30-MAR-2017	13	8
0000950123-19-005817	1	31-MAR-2018	14	8
0001261763-19-000004	1	15-MAY-2018	0	0
0000950123-19-005618	1	31-MAY-2018	9206	4289
0000798947-19-000005	1	13-NOV-2017	24	11
0000798947-19-000005	4	18-DEC-2017	29	9
0000798947-19-000005	2	27-NOV-2017	12	0
0000798947-19-000005	3	29-NOV-2017	21	3
0000798947-19-000004	7	19-OCT-2018	10	5
0000798947-19-000004	8	25-OCT-2018	2	1
0000798947-19-000004	9	26-OCT-2018	4	3
0000798947-19-000004	10	29-OCT-2018	11	8
0000798947-19-000004	12	31-OCT-2018	10	6
0000798947-19-000004	13	05-NOV-2018	1	1
0000798947-19-000004	14	15-NOV-2018	4	1
0000798947-19-000004	15	16-NOV-2018	2	0
0000798947-19-000004	16	19-NOV-2018	2	0
0000798947-19-000004	17	13-DEC-2018	5	2
0000798947-19-000004	18	17-DEC-2018	3	2
0000798947-19-000004	19	19-DEC-2018	2	0
0000798947-19-000004	20	20-DEC-2018	2	1
0000798947-19-000004	6	18-OCT-2018	12	8
0000798947-19-000004	5	17-OCT-2018	7	3
0000798947-19-000004	4	16-OCT-2018	6	6
0000798947-19-000004	3	15-OCT-2018	3	2
0000798947-19-000004	2	15-OCT-2018	17	11
0000798947-19-000004	1	10-OCT-2018	5	0
0000798947-19-000004	11	30-OCT-2018	2	2
0001458682-19-000002	3	25-SEP-2018	257	102
0001458682-19-000002	2	12-APR-2018	169	55
0001458682-19-000002	1	02-APR-2018	32	16
0001458682-19-000002	4	03-OCT-2018	23	8
0001387131-19-002746	2	13-DEC-2018	4	0
0001387131-19-002746	1	19-MAR-2018	1	1
0001428661-19-000001	1		0	0
0001683168-19-000993	1	31-DEC-2018	0	0
0001451217-19-000003	1		0	0
0001771881-19-000002	2	14-APR-2018	614	469
0001771881-19-000002	1	16-MAR-2018	401	315
0000950123-19-002974	4	30-DEC-2018	11	6
0000950123-19-002974	1	03-MAR-2018	14	8
0000950123-19-002974	2	30-JUN-2018	12	9
0000950123-19-002974	3	30-SEP-2018	12	10
0001721868-19-000160	2	30-SEP-2018	2495	0
0001721868-19-000160	1	30-MAR-2018	2524	29
0001721868-19-000158	1	31-DEC-2018	0	0
0001683168-19-000894	1	31-DEC-2018	741	42
0001451950-19-000003	1	16-MAR-2018	401	315
0001451950-19-000003	2	14-SEP-2018	614	469
0001018490-19-000004	9	13-SEP-2018	3	0
0001018490-19-000004	10	02-OCT-2018	1	1
0001018490-19-000004	11	02-NOV-2018	1	0
0001018490-19-000004	12	06-NOV-2018	1	0
0001018490-19-000004	13	07-NOV-2018	5	3
0001018490-19-000004	14	08-NOV-2018	4	3
0001018490-19-000004	15	09-NOV-2018	3	0
0001018490-19-000004	16	13-NOV-2018	16	7
0001018490-19-000004	17	14-NOV-2018	6	3
0001018490-19-000004	18	15-NOV-2018	14	3
0001018490-19-000004	19	16-NOV-2018	14	3
0001018490-19-000004	20	19-NOV-2018	19	8
0001018490-19-000004	21	23-NOV-2018	6	2
0001018490-19-000004	22	26-NOV-2018	7	4
0001018490-19-000004	23	27-NOV-2018	2	0
0001018490-19-000004	24	28-NOV-2018	12	1
0001018490-19-000004	25	29-NOV-2018	9	2
0001018490-19-000004	26	30-NOV-2018	2	0
0001018490-19-000004	32	19-DEC-2018	4	0
0001018490-19-000004	33	20-DEC-2018	13	6
0001018490-19-000004	34	21-DEC-2018	1	1
0001018490-19-000004	35	24-DEC-2018	1	0
0001018490-19-000004	36	27-DEC-2018	1	0
0001007444-19-000008	1		0	0
0000848027-19-000002	1		0	0
0000839097-19-000002	1		0	0
0000927395-19-000001	1	01-MAR-2018	52	18
0000927395-19-000001	2	04-SEP-2018	113	43
0000823579-19-000003	1	24-MAY-2018	137	15
0000823579-19-000003	2	16-NOV-2018	149	38
0001727770-19-000001	1	31-DEC-2018	1	0
0001018490-19-000004	31	14-DEC-2018	1	0
0001018490-19-000004	27	03-DEC-2018	4	2
0001018490-19-000004	8	11-SEP-2018	2	0
0001018490-19-000004	7	10-SEP-2018	4	3
0001018490-19-000004	6	04-SEP-2018	5	2
0001018490-19-000004	5	29-AUG-2018	7	4
0001018490-19-000004	4	01-APR-2018	5	2
0001018490-19-000004	3	06-MAR-2018	5	3
0001018490-19-000004	2	07-FEB-2018	10	4
0001018490-19-000004	1	08-JAN-2018	11	5
0001018490-19-000004	30	12-DEC-2018	3	2
0001018490-19-000004	28	06-DEC-2018	1	1
0001018490-19-000004	29	10-DEC-2018	8	3
