ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001486544-11-000004	asServiceCompany	1	Gemini Fund Services, LLC	084-06083	4020 SOUTH 147TH STREET Suite 2 Omaha  68137
0000817712-11-000016	serviceCompany	1	DST Systems, Inc.	084-00448	301 W. 11th Street  Kansas City  64105
0000769188-11-000006	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	2000 Crown Colony Drive  Quincy  02169
0001018490-11-000015	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3220  New York  10005-2836
0000944496-11-000007	asServiceCompany	1	CIBC Mellon Trust Company	084-06096	320 Bay Street  Toronto  M5H 4A6
0000944496-11-000007	asServiceCompany	2	The Bank of New York Mellon	085-05006	101 Barclay Street  New York  10286
0000944496-11-000007	asServiceCompany	3	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough  01581
0001285911-11-000010	serviceCompany	1	DST Systems, Inc.	084-00448	1055 Broadway  Kansas City  64105
0001277690-11-000012	serviceCompany	1	Mellon Investor Services LLC	084-05579	Newport Office Centre VII 480 Washington Boulevard Jersey City  07310
0001144204-11-035188	serviceCompany	1	FIRST AMERICAN STOCK TRANSFER INC	084-05795	4747 N.7th Street, Suite 170  Phoenix  85014
0001139576-11-000004	serviceCompany	1	DST Systems, Inc.	084-00448	PO Box 219169  Kansas City  64121
0001283467-11-000004	serviceCompany	1	BNY Trust Company of Canada/ Bank of New York	085-05006	Suite 1101 - 4 King Street West  Toronto  M5H 1B6
0001283467-11-000004	serviceCompany	2	Continental Stock Transfer and Trust Company	084-00034	17 Battery Place  New York  10004
0001283467-11-000004	serviceCompany	3	Registrar and Transfer Company	084-00436	10 Commerce Drive  Cranford  07016
0000027048-11-000004	asServiceCompany	1	Thrivent Financial Investor Services Inc.	084-01547	4321 N Ballard Rd  Appleton  54919
0000027048-11-000004	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston  02111-2900
0000027048-11-000004	asServiceCompany	3	DWS Investments Service Company	084-01713	222 South Riverside Plaza  Chicago  60606
0000027048-11-000004	asServiceCompany	4	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington  61709
0000027048-11-000004	asServiceCompany	5	Delaware Service Company, Inc.	084-01640	2005 Market Street  Philadelphia  19103
0000027048-11-000004	asServiceCompany	6	Transamerica Fund Services, Inc.	084-06130	AEGON Purchase Processing 570 Carillon Parkway St Petersburg  33716
0000027048-11-000004	asServiceCompany	7	American Century Services, LLC	084-01406	4500 Main Street  Kansas City  64111
0000027048-11-000004	asServiceCompany	8	Hartford Administrative Services Company	084-00353	500 Bielenberg Drive  Woodbury  55125
0000027048-11-000004	asServiceCompany	9	Morgan Stanley Services Co Inc	084-06270	Harborside Financial Center Plaza Two, Third Floor Jersey City  07311
0000027048-11-000004	asServiceCompany	10	Invesco Investment Services, Inc.	084-05432	11 Greenway Plaza Ste 100 Houston  77046
0000027048-11-000004	asServiceCompany	11	Invesco Trimark Ltd./Invesco Trimark Ltee, DBA Invesco Enterprise Services/Services Enterprise Invesco and Invesco	084-06210	119 Euston Street  Charlottetown  C1A 1W3
0000027048-11-000004	asServiceCompany	12	Leaf Financial Corporation	084-05900	1845 Walnut St Ste 100 Philadelphia  19103
0000027048-11-000004	serviceCompany	1	Boston Financial Data Services, Inc.	084-00896	2000 Crown Colony Drive  Quincy  02169
0000027048-11-000004	serviceCompany	2	National Financial Data Services, Inc.	084-01078	330 west 9th Street  Kansas City  64105
0000027048-11-000004	serviceCompany	3	DST Worldwide Services India Private Limited	084-06342	5th Floor, Block B, Q City Nanakramguda, Gachibowli Hyderabad  500032
0001018490-11-000012	asServiceCompany	1	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street, Mail Stop NYC60-3220  New York  10005-2836
0000216108-11-000001	serviceCompanyTransferAgent	1	JP Investor Services Co.	085-11374	    
0000896852-11-000018	asServiceCompany	1	Invesco Investment Services, Inc	084-05432	11 Greenway Plaza Ste 2500  Houston  77046
