ACCESSION_NUMBER	ENTITYNAME	ACTIVITIESCONDUCTEDENTITYNAME	WITHDRAWALDESCRIPTION	LASTACTIONDATE	FUTURETRANSFERAGENTFUNCTIONS	SUBJECTOFPROCEEDINGSINVOLVED	UNSATISFIEDJUDGEMENTSORLIENINV	SUCCESSORTRANSFERAGENTS
0001462985-16-000007	THE BUSINESS ADVOCATE, INC.	NOT APPLICABLE	NO TRANSFER AGENT ACTIVITY EVER TRANSPIRED OR HAD BEEN UNDERTAKEN BY THE BUSINESS ADVOCATE, INC. OR ITS PRINCIPAL, DANIEL RITCHEY.	04-MAY-2009	N	N	N	N
0000826613-16-000008	Dominion Resources Services, Inc.		Outsource to Broadridge Corporate Issuer Solutions, Inc.	30-MAY-2016	N	N	N	Y
0001634881-16-000002	Eastmain Stock Transfer, Inc.		We never actually performed any transfer agent functions and have no intention in the future of performing such functions.	24-FEB-2015	N	N	N	N
0001128769-16-000012	Jackson National Asset Management, LLC		See attachment.	10-JAN-2001	N	N	N	N
