ACCESSION_NUMBER	DBSEARCH_ID	DATABASESEARCHDATE	NUMBERLOSTACCOUNTSSEARCHED	NUMBERADDRESSESFROMSEARCH
0001010549-21-000262	1	15-DEC-2020	97	65
0001789750-21-000003	1	31-DEC-2020	0	0
0001807695-21-000004	1		0	0
0001104659-21-127131	1	01-JAN-2020	0	0
0001665086-21-000003	1	14-OCT-2021	0	0
0000027048-21-000005	8	22-APR-2020	513	168
0000027048-21-000005	30	22-DEC-2020	505	76
0000027048-21-000005	29	21-DEC-2020	0	0
0000027048-21-000005	28	15-DEC-2020	4	0
0000027048-21-000005	27	23-NOV-2020	326	30
0000027048-21-000005	26	16-NOV-2020	1	0
0000027048-21-000005	25	23-OCT-2020	1	0
0000027048-21-000005	24	22-OCT-2020	651	109
0000027048-21-000005	23	15-OCT-2020	5	0
0000027048-21-000005	22	23-SEP-2020	2	0
0000027048-21-000005	21	22-SEP-2020	138	26
0000027048-21-000005	20	15-SEP-2020	3	0
0000027048-21-000005	19	24-AUG-2020	491	122
0000027048-21-000005	18	17-AUG-2020	3	0
0000027048-21-000005	17	22-JUL-2020	609	122
0000027048-21-000005	16	15-JUL-2020	4	0
0000027048-21-000005	15	23-JUN-2020	1	0
0000027048-21-000005	14	22-JUN-2020	430	125
0000027048-21-000005	13	15-JUN-2020	1	0
0000027048-21-000005	12	26-MAY-2020	1	1
0000027048-21-000005	1	15-JAN-2020	2	0
0000027048-21-000005	2	22-JAN-2020	1356	319
0000027048-21-000005	3	23-JAN-2020	1	1
0000027048-21-000005	4	18-FEB-2020	3	0
0000027048-21-000005	5	24-FEB-2020	777	199
0000027048-21-000005	6	23-MAR-2020	749	261
0000027048-21-000005	7	15-APR-2020	3	0
0000027048-21-000005	9	23-APR-2020	2	0
0000027048-21-000005	10	15-MAY-2020	1	0
0000027048-21-000005	11	22-MAY-2020	526	125
0000027048-21-000004	1	22-JAN-2019	350	124
0000027048-21-000004	6	25-MAR-2019	2	1
0000027048-21-000004	5	22-MAR-2019	409	142
0000027048-21-000004	3	22-FEB-2019	1339	591
0000027048-21-000004	4	25-FEB-2019	2	1
0000027048-21-000004	20	23-DEC-2019	481	56
0000027048-21-000004	19	25-NOV-2019	2	2
0000027048-21-000004	18	22-NOV-2019	514	106
0000027048-21-000004	17	23-OCT-2019	1	0
0000027048-21-000004	16	22-OCT-2019	547	124
0000027048-21-000004	15	23-SEP-2019	944	218
0000027048-21-000004	14	23-AUG-2019	2	0
0000027048-21-000004	13	22-AUG-2019	936	351
0000027048-21-000004	12	22-JUL-2019	998	240
0000027048-21-000004	11	24-JUN-2019	1365	363
0000027048-21-000004	10	23-MAY-2019	1	1
0000027048-21-000004	9	22-MAY-2019	377	215
0000027048-21-000004	8	23-APR-2019	3	3
0000027048-21-000004	7	22-APR-2019	772	291
0000027048-21-000004	2	23-JAN-2019	1	0
0000275143-21-000006	40	16-NOV-2020	967	232
0000275143-21-000006	41	23-NOV-2020	58	18
0000275143-21-000006	1	10-JAN-2020	20	0
0000275143-21-000006	2	15-JAN-2020	3418	805
