ACCESSION_NUMBER	ENTITY_TYPE	ENTITY_ID	ENTITYNAME	SUCCESSORREGISTERED	ADDRESS
0001202944-11-000009	tawCustodians	1	Alliance Shareholder Communications		200 Broadacres Drive 3rd Fl  Bloomfield  07003
0001202944-11-000009	tawSuccessors	1	Alliance Shareholder Communications	N	200 Broadacres Drive 3rd FL  Bloomfield  07003
0001202944-11-000009	tawRegistrant	1	Vista Fiduciary Services, Inc.		1200 Wall Street West  Lyndhurst  07071
0000092122-11-000118	tawCustodians	1	Cary Lee		Southern Company 30 Ivan Allen Jr. Blvd Atlanta  30308
0000092122-11-000118	tawRegistrant	1	Southern Company Services, Inc.		30 Ivan Allen Jr. Blvd  Atlanta  30308
0000092122-11-000118	tawSuccessors	1	Mellon Investor Services, LLC	Y	480 Wasington Blvd  Jersey City  07310
0001136830-11-000012	tawRegistrant	1	Investors Real Estate Trust		1400 31st Ave SW Ste 60  Minot  58701
0001136830-11-000012	tawCustodians	1	Investors Real Estate Trust		1400 31st Ave SW Ste 60  Minot  58701
0001136830-11-000012	tawSuccessors	1	American Stock Transfer & Trust Company, LLC	Y	6201 15th Ave  Brooklyn  11219
